,MAP1LC3B2 (643246)
ACH-000004,-0.446472092605
ACH-000007,-0.175073002681
ACH-000009,-0.196260836794
ACH-000011,-0.303761545273
ACH-000012,-0.128942344185
ACH-000013,-0.033948257179400004
ACH-000014,-0.00485679384971
ACH-000015,-0.0580458740867
ACH-000017,-0.0733276689927
ACH-000018,-0.18461303066100002
ACH-000019,0.198205819791
ACH-000021,-0.21391471578899998
ACH-000022,-0.139265626318
ACH-000025,-0.0723119008753
ACH-000028,0.0145596954443
ACH-000030,0.011802847812999999
ACH-000035,-0.194640350944
ACH-000036,-0.142803132357
ACH-000037,-0.20595550692200001
ACH-000039,-0.081315196131
ACH-000040,-0.10264883402899999
ACH-000041,-0.18314636567200002
ACH-000042,-0.25226987284499997
ACH-000045,0.0492690885098
ACH-000047,-0.09303119250189999
ACH-000052,-0.21443268127999998
ACH-000053,-0.0842641127185
ACH-000054,-0.061907205121599994
ACH-000055,-0.106023480754
ACH-000060,-0.0746512814532
ACH-000067,-0.113038086911
ACH-000070,0.155492633579
ACH-000075,-0.0897984352627
ACH-000078,-0.143765411862
ACH-000082,-0.0899150308292
ACH-000085,-0.057140026556400006
ACH-000086,-0.204160504149
ACH-000087,-0.021117859731400002
ACH-000092,0.031664705384499996
ACH-000095,-0.128178071137
ACH-000097,-0.0749167917865
ACH-000098,-0.167116113117
ACH-000099,-0.204697818775
ACH-000108,-0.181543225971
ACH-000113,0.052941197919500006
ACH-000115,-0.24697327437600003
ACH-000116,0.0339527155179
ACH-000118,-0.111027270288
ACH-000120,-0.10870610411699999
ACH-000123,-0.0490942823443
ACH-000127,-0.10912288226299999
ACH-000128,-0.0219071206177
ACH-000132,-0.167298844593
ACH-000133,-0.0285212688304
ACH-000137,-0.252037118977
ACH-000138,-0.101893219452
ACH-000142,-0.0295667563313
ACH-000143,-0.15282844572999998
ACH-000146,-0.0708174072432
ACH-000148,-0.14994811040300002
ACH-000150,-0.21104586761900002
ACH-000152,-0.012183305905799998
ACH-000153,-0.00193084153833
ACH-000159,-0.085520997182
ACH-000160,-0.0908218257492
ACH-000163,-0.11509019322799999
ACH-000167,-0.126835768243
ACH-000168,0.051397514926000004
ACH-000169,-0.046886399301000005
ACH-000178,-0.100666033034
ACH-000182,-0.296494882271
ACH-000183,-0.15017459663799998
ACH-000188,0.0353289045418
ACH-000189,-0.315071687408
ACH-000190,-0.23220514246800003
ACH-000198,-0.053281064183800006
ACH-000204,-0.212448611085
ACH-000206,-0.0794500872264
ACH-000207,-0.025924843322400002
ACH-000211,-0.211771381778
ACH-000215,-0.279758681195
ACH-000221,-0.25600198025299997
ACH-000222,-0.280586875009
ACH-000223,-0.20764751362
ACH-000226,0.0061346957085699995
ACH-000227,-0.35567678685000004
ACH-000228,-0.0998556722119
ACH-000231,0.0381151460427
ACH-000232,-0.225436538277
ACH-000233,-0.14898298172
ACH-000234,0.15919106862500002
ACH-000235,-0.117088348572
ACH-000237,-0.122391144098
ACH-000238,-0.180344809863
ACH-000243,-0.0772451835999
ACH-000244,-0.18109658311299998
ACH-000246,-0.0870983218367
ACH-000248,0.08987035288039999
ACH-000250,-0.146586625094
ACH-000251,-0.0638267502903
ACH-000253,-0.0622003374766
ACH-000255,-0.176475956632
ACH-000256,0.14296238561799998
ACH-000257,0.0227840761099
ACH-000258,-0.171721790341
ACH-000259,-0.100612011565
ACH-000260,-0.124840007767
ACH-000261,-0.11869028533800001
ACH-000262,-0.22582827712499998
ACH-000263,-0.0565554820637
ACH-000264,-0.111018443937
ACH-000265,-0.286181812722
ACH-000266,-0.120227242659
ACH-000272,-0.0317475604805
ACH-000273,-0.136775445827
ACH-000274,-0.133584403046
ACH-000277,-0.22920026827799997
ACH-000278,-0.332358341563
ACH-000279,-0.110560915737
ACH-000280,-0.0408428017281
ACH-000281,-0.351711909192
ACH-000288,-0.161723402537
ACH-000291,-0.0404514663003
ACH-000293,0.03637034093080001
ACH-000294,-0.187026096236
ACH-000295,-0.18401438577399998
ACH-000296,0.047487480594100004
ACH-000302,-0.155355586568
ACH-000304,0.249417348954
ACH-000307,-0.17005855652
ACH-000308,-0.037023222802199995
ACH-000310,-0.250922762889
ACH-000311,-0.0630244989356
ACH-000312,-0.220122126791
ACH-000315,-0.134851459758
ACH-000316,-0.06687797827229999
ACH-000317,0.054354749657399996
ACH-000318,-0.057874022327300004
ACH-000319,-0.211048175539
ACH-000320,-0.181040874824
ACH-000322,0.15301077270400001
ACH-000323,-0.0022073960663400003
ACH-000324,-0.173945111699
ACH-000329,-0.147179724895
ACH-000330,0.0131347911188
ACH-000331,-0.0733358413512
ACH-000332,-0.0831109677323
ACH-000334,-0.0699308964269
ACH-000335,-0.024672513205800002
ACH-000336,0.314793266675
ACH-000337,-0.26851654031800004
ACH-000339,-0.308374943354
ACH-000341,-0.231688996664
ACH-000348,-0.19606345557100002
ACH-000350,-0.063585984658
ACH-000352,-0.120786845388
ACH-000356,0.131560929845
ACH-000361,0.0107922109576
ACH-000362,-0.190078216157
ACH-000363,-0.1901988593
ACH-000364,-0.182639513823
ACH-000365,-0.145338273793
ACH-000366,-0.16429323913
ACH-000368,-0.051699064447999994
ACH-000374,0.0502207123557
ACH-000375,-0.40469165589
ACH-000376,0.00335977861411
ACH-000381,-0.0993843678613
ACH-000383,0.0174781372603
ACH-000387,-0.26132559115
ACH-000389,-0.100493147704
