,PDF (64146)
ACH-000004,-0.128937501007
ACH-000007,0.0329218271991
ACH-000009,0.0541678443736
ACH-000011,-0.0540468430423
ACH-000012,-0.193883642044
ACH-000013,-0.0706157999774
ACH-000014,0.12090443423000001
ACH-000015,0.0627104659752
ACH-000017,-0.103036163729
ACH-000018,0.0463692507549
ACH-000019,-0.306523810955
ACH-000021,-0.0490810383139
ACH-000022,-0.128633584805
ACH-000025,-0.16938319229
ACH-000028,0.0536743957785
ACH-000030,-0.0558034236561
ACH-000035,-0.11051696203
ACH-000036,-0.232229528547
ACH-000037,-0.558068338083
ACH-000039,-0.10191582672800001
ACH-000040,-0.161521603526
ACH-000041,0.0481956774438
ACH-000042,-0.11363557234
ACH-000045,0.025132644505799998
ACH-000047,0.053419049832800006
ACH-000052,-0.115642052127
ACH-000053,-0.165078664426
ACH-000054,-0.16367332221
ACH-000055,-0.155122062545
ACH-000060,0.0180027753254
ACH-000067,-0.205768022138
ACH-000070,0.0140655802838
ACH-000075,-0.150577309911
ACH-000078,-0.023064863650500003
ACH-000082,-0.09441290510539999
ACH-000085,-0.164280722244
ACH-000086,-0.042116534425
ACH-000087,0.0330896315238
ACH-000092,-0.0489934827449
ACH-000095,-0.0808276722085
ACH-000097,-0.058328268765
ACH-000098,-0.056326271203199996
ACH-000099,-0.00708479474901
ACH-000108,-0.0245577846855
ACH-000113,-0.154958749838
ACH-000115,-0.145152772923
ACH-000116,0.0827594977622
ACH-000118,-0.0444689778867
ACH-000120,-0.138343986452
ACH-000123,-0.012566622906899999
ACH-000127,-0.220791067621
ACH-000128,0.179137723802
ACH-000132,-0.34463736524899996
ACH-000133,-0.27782463349
ACH-000137,-0.127807759248
ACH-000138,-0.0408078018801
ACH-000142,-0.0745091926109
ACH-000143,-0.192112197134
ACH-000146,0.039490178452300004
ACH-000148,-0.06628210142919999
ACH-000150,-0.07807219582489999
ACH-000152,-0.26085195952
ACH-000153,-0.188814587359
ACH-000159,-0.0927582587043
ACH-000160,0.016893649433
ACH-000163,0.0988246320277
ACH-000167,-0.138149661249
ACH-000168,-0.233123678072
ACH-000169,-0.0245318548801
ACH-000178,-0.16259137868100002
ACH-000182,-0.243945932117
ACH-000183,-0.130754507809
ACH-000188,-0.0131260104736
ACH-000189,-0.14326158399
ACH-000190,-0.39459338548399997
ACH-000198,-0.021971569626
ACH-000204,-0.23989331151999999
ACH-000206,-0.387199359979
