,ELFN2 (114794)
ACH-000004,-0.06895663555619999
ACH-000007,0.0127678939906
ACH-000009,0.35692961061800005
ACH-000011,0.0296277339958
ACH-000012,-0.0395600144554
ACH-000013,-0.0916214712131
ACH-000014,-0.045388146922500004
ACH-000015,-0.102645017392
ACH-000017,0.08235593755989999
ACH-000018,0.160514320442
ACH-000019,-0.052395705661699994
ACH-000021,0.019222190520299998
ACH-000022,-0.14260651323100001
ACH-000025,-0.0323670937432
ACH-000028,0.16848719577399998
ACH-000030,-0.050468762145499994
ACH-000035,0.0032721963274600003
ACH-000036,0.046921592467800005
ACH-000037,0.0472501467453
ACH-000039,0.466240119039
ACH-000040,-0.0879860398113
ACH-000041,0.122287345546
ACH-000042,-0.442106982331
ACH-000045,0.014530898276799998
ACH-000047,0.046249899739
ACH-000052,-0.0419550722638
ACH-000053,0.0209575624594
ACH-000054,0.0513742202136
ACH-000055,-0.09668460131110002
ACH-000060,-0.31685978454
ACH-000067,-0.018451712262
ACH-000070,-0.0859352240373
ACH-000075,0.006307416631670001
ACH-000078,0.198050953689
ACH-000082,0.143174805565
ACH-000085,0.167838935178
ACH-000086,0.07547417090469999
ACH-000087,0.0772208914812
ACH-000092,-0.157134389221
ACH-000095,-0.00522202110943
ACH-000097,0.026692016859999997
ACH-000098,0.033984392508400005
ACH-000099,0.100484251295
ACH-000108,0.021653921412800002
ACH-000113,0.0506666530447
ACH-000115,0.0171664659629
ACH-000116,0.134010613715
ACH-000118,-0.0160873781507
ACH-000120,-0.0326270627177
ACH-000123,0.21864560528299998
ACH-000127,0.06519485013989999
ACH-000128,-0.0169047918336
ACH-000132,0.00467599473322
ACH-000133,-0.17186753055799997
ACH-000137,0.027867003944200004
ACH-000138,0.204487220178
ACH-000142,-0.0164385791659
ACH-000143,-0.0479905189334
ACH-000146,0.006413563199850001
ACH-000148,0.0195888562011
ACH-000150,0.0504572419291
ACH-000152,-0.0145899865491
ACH-000153,0.42315163385300003
ACH-000159,-0.004672254454439999
ACH-000160,0.00204751006188
ACH-000163,-0.185901704714
ACH-000167,-0.034440905796199996
ACH-000168,-0.0305891305468
ACH-000169,0.021288182879499996
ACH-000178,0.07635391739939999
ACH-000182,0.011598218974799998
ACH-000183,-0.06879304512180001
ACH-000188,-0.039800382305699995
ACH-000189,0.0907682016539
ACH-000190,0.12623869799100002
ACH-000198,0.029760477535700002
ACH-000204,-0.257236263016
ACH-000206,-0.0850317527286
ACH-000207,-0.08973031623649999
ACH-000211,-0.0366974593516
ACH-000215,-0.010223204461600001
ACH-000221,0.026743821979400003
ACH-000222,-0.330917101961
ACH-000223,-0.045402861865
ACH-000226,-0.0498475718028
ACH-000227,-0.018206172264000002
ACH-000228,-0.09959758575889999
