,UQCR10 (29796)
ACH-000004,-0.363854207307
ACH-000007,-0.507667115775
ACH-000009,-0.22774814154800002
ACH-000011,-0.116947349595
ACH-000012,-0.26100198134799996
ACH-000013,-0.283008207351
ACH-000014,-0.40089802631399996
ACH-000015,-0.702906929395
ACH-000017,-0.058226136337599994
ACH-000018,0.06983891141750001
ACH-000019,-0.48737215547300006
ACH-000021,-0.423015560559
ACH-000022,-0.290688259048
ACH-000025,-0.655323735806
ACH-000028,-0.5966456117100001
ACH-000030,-0.5882428443419999
ACH-000035,-0.363328286879
ACH-000036,0.309510944824
ACH-000037,-0.125060478935
ACH-000039,-0.5211340437049999
ACH-000040,-0.007786174765079999
ACH-000041,-0.7820713360439999
ACH-000042,-0.23448316511
ACH-000045,-0.19833819007800002
ACH-000047,-0.6759870303740001
ACH-000052,-0.15415442770999999
ACH-000053,-0.614596351681
ACH-000054,-0.358275157888
ACH-000055,-0.424925052217
ACH-000060,-0.382543613853
ACH-000067,-0.1513031054
ACH-000070,-0.606528550889
ACH-000075,-0.21887330757399998
ACH-000078,-0.53024607641
ACH-000082,-0.165796785051
ACH-000085,0.0652472527322
ACH-000086,-0.12193103185599999
ACH-000087,-0.38961616443400005
ACH-000092,-0.271052756236
ACH-000095,-0.0025804641805199998
ACH-000097,-0.136937298026
ACH-000098,-0.522509844719
ACH-000099,-0.4315085205
ACH-000108,-0.012424253000499999
ACH-000113,-0.439053055885
ACH-000115,0.0488726590137
ACH-000116,-0.476837439471
ACH-000118,-0.7706792444670001
ACH-000120,-0.398056817372
ACH-000123,-0.41657493502400006
ACH-000127,-0.33703507494499996
ACH-000128,-0.5047739577839999
ACH-000132,-0.323291345807
ACH-000133,-0.412787522887
ACH-000137,-0.0989263569203
ACH-000138,-0.36818309099
ACH-000142,-0.08270650783
ACH-000143,-0.335950895739
ACH-000146,-0.7006422340970001
ACH-000148,-0.0754251994961
ACH-000150,-0.35083461212300004
ACH-000152,-0.00831888655335
ACH-000153,-0.47553453587399996
ACH-000159,-0.305819814962
ACH-000160,-0.57703067387
ACH-000163,-0.111279232004
ACH-000167,-0.16886746832000002
ACH-000168,0.10498470774900001
ACH-000169,-0.43478230243
ACH-000178,-0.206154855458
ACH-000182,-0.574895642231
ACH-000183,-0.297138491833
ACH-000188,0.014580932306899998
ACH-000189,-0.125118854614
ACH-000190,-0.47838459146300005
ACH-000198,-0.332705180099
ACH-000204,-0.0654393860774
ACH-000206,-0.7158164813879999
ACH-000207,-0.205777959183
ACH-000211,-0.34950057932800005
ACH-000215,-0.124597258463
ACH-000221,-0.648948144912
ACH-000222,-0.169712885854
ACH-000223,-0.274527210581
ACH-000226,-0.268309535835
ACH-000227,0.25668873616099996
ACH-000228,-0.294092569385
ACH-000231,-0.061620243939199994
ACH-000232,-0.046955846448
ACH-000233,-0.673874773293
ACH-000234,0.24792713130199998
ACH-000235,-0.37753751184699996
ACH-000237,0.07061168335950001
ACH-000238,-0.0849669464728
ACH-000243,-0.270682792632
ACH-000244,-0.140583602676
ACH-000246,-0.34117878160099996
ACH-000248,0.009694572897629998
ACH-000250,0.013547721557400002
ACH-000251,-0.245914233967
ACH-000253,-0.442715662082
ACH-000255,-0.344117746452
ACH-000256,-0.330975601281
ACH-000257,-0.591551108658
ACH-000258,0.0113518244729
ACH-000259,-0.119593833669
ACH-000260,-0.0799708027643
ACH-000261,-0.317566672315
ACH-000262,0.0501585952129
ACH-000263,-0.0715056646622
ACH-000264,-0.266602694267
ACH-000265,-0.43089296280199996
ACH-000266,-0.110747976451
ACH-000272,-0.535560935944
ACH-000273,-0.388339937365
ACH-000274,-0.22471345420299998
ACH-000277,-0.356335568619
ACH-000278,-0.266073722876
