,UBFD1 (56061)
ACH-000004,0.10180162953199999
ACH-000007,-0.666453489671
ACH-000009,-0.147639732153
ACH-000011,-0.410046485462
ACH-000012,-0.34034556061
ACH-000013,-0.235914558714
ACH-000014,-0.12374030005
ACH-000015,-0.444024535589
ACH-000017,-0.37433707641099995
ACH-000018,-0.445452071666
ACH-000019,-0.383005155134
ACH-000021,-0.270222580287
ACH-000022,-0.233021750068
ACH-000025,-0.364110283958
ACH-000028,-0.593605633031
ACH-000030,-0.27584119566
ACH-000035,-0.37992380605400006
ACH-000036,-0.328121821577
ACH-000037,-0.34997515794100004
ACH-000039,-0.185272944047
ACH-000040,-0.352930252262
ACH-000041,-0.493617583729
ACH-000042,-0.19566015241
ACH-000045,-0.35488949838399997
ACH-000047,-0.500302217101
ACH-000052,-0.47910363802
ACH-000053,-0.302080504849
ACH-000054,-0.016943139243
ACH-000055,-0.228790345502
ACH-000060,-0.080735960428
ACH-000067,-0.302354522903
ACH-000070,-0.347536279526
ACH-000075,-0.8066736112620001
ACH-000078,-0.0796655530521
ACH-000082,-0.28084691659
ACH-000085,-0.225384942049
ACH-000086,-0.325905703986
ACH-000087,-0.00537803147718
ACH-000092,-0.29692465760000003
ACH-000095,-0.366532242394
ACH-000097,-0.5849337091619999
ACH-000098,-0.524911587506
ACH-000099,-0.24649259696400003
ACH-000108,-0.387001935414
ACH-000113,-0.45898798644199995
ACH-000115,-0.0831961597731
ACH-000116,-0.475705657222
ACH-000118,-0.349103068025
ACH-000120,-0.45124219303700003
ACH-000123,-0.163155376012
ACH-000127,-0.379852204371
ACH-000128,-0.223462395089
ACH-000132,-0.389720991524
ACH-000133,-0.269765954582
ACH-000137,-0.634258222557
ACH-000138,-0.169922917025
ACH-000142,-0.49397361343999996
ACH-000143,-0.237172357291
ACH-000146,-0.247546603897
ACH-000148,-0.279150608182
ACH-000150,0.029014567643599998
ACH-000152,-0.35560538819799997
ACH-000153,-0.624719948888
ACH-000159,-0.46241482734800005
ACH-000160,-0.07033571125
ACH-000163,-0.390318381463
ACH-000167,-0.341958701859
ACH-000168,-0.261997061651
ACH-000169,-0.341233249298
ACH-000178,-0.239762296115
ACH-000182,-0.235775623202
ACH-000183,-0.283968808508
ACH-000188,-0.21983294748399998
ACH-000189,-0.113889655092
ACH-000190,-0.0828169184933
ACH-000198,-0.380337515687
ACH-000204,-0.364745034066
ACH-000206,-0.412359786964
ACH-000207,-0.34007498175800005
ACH-000211,-0.288696487833
ACH-000215,-0.310145035875
ACH-000221,-0.352271019314
ACH-000222,-0.158263200701
ACH-000223,-0.15538319421900001
ACH-000226,-0.315837964273
ACH-000227,-0.526905951742
ACH-000228,-0.229333926583
ACH-000231,-0.374764649231
ACH-000232,-0.43056714250699996
ACH-000233,-0.253472066124
ACH-000234,-0.45397567012900003
ACH-000235,-0.307904034523
ACH-000237,-0.449364218328
ACH-000238,-0.117545501348
ACH-000243,-0.36105948996200005
ACH-000244,-0.0930625481143
ACH-000246,-0.235582006144
ACH-000248,-0.467835151142
ACH-000250,-0.26632738717099996
ACH-000251,-0.215592723856
ACH-000253,-0.286109872101
ACH-000255,-0.291660993063
ACH-000256,-0.38755605062700005
ACH-000257,-0.14791632202899999
ACH-000258,-0.45493130509999996
ACH-000259,-0.265772783553
ACH-000260,-0.31761832745
ACH-000261,-0.302269356874
ACH-000262,-0.435741675644
ACH-000263,-0.42041569712899995
ACH-000264,-0.555396099526
ACH-000265,-0.37286954831299995
ACH-000266,-0.267706402977
ACH-000272,-0.49005482345299994
ACH-000273,-0.388049047165
ACH-000274,-0.350000366189
ACH-000277,-0.36283508098300005
ACH-000278,-0.448659361678
ACH-000279,-0.37358402035899996
ACH-000280,-0.0208402108692
ACH-000281,-0.0776834967236
ACH-000288,-0.37612689639700003
ACH-000291,-0.348697086809
ACH-000293,-0.271606965515
ACH-000294,-0.236027270738
ACH-000295,-0.19857406644
ACH-000296,-0.695501723413
ACH-000302,-0.250141101733
ACH-000304,-0.276283672947
ACH-000307,-0.20538607675999998
ACH-000308,-0.453663121598
ACH-000310,-0.304867765211
ACH-000311,-0.44496465176399996
ACH-000312,-0.22831864411999997
ACH-000315,-0.22656237439899998
ACH-000316,-0.46898337895400005
ACH-000317,-0.335151247622
ACH-000318,-0.21801415783599998
ACH-000319,-0.40081593402599996
ACH-000320,-0.162991735734
ACH-000322,-0.33903178376800003
ACH-000323,-0.293758139885
ACH-000324,-0.366419688939
ACH-000329,-0.31579118942
ACH-000330,-0.271367211701
ACH-000331,-0.27388441355
ACH-000332,-0.228169104159
ACH-000334,-0.21769823182599998
ACH-000335,-0.552548337523
ACH-000336,-0.205462114173
ACH-000337,-0.553979703675
ACH-000339,-0.228412741936
ACH-000341,-0.492516144869
ACH-000348,-0.28238089307799996
ACH-000350,-0.228438611111
ACH-000352,-0.34827042028000005
ACH-000356,-0.589997623266
ACH-000361,-0.221697791421
ACH-000362,-0.228740757569
ACH-000363,-0.520729950816
ACH-000364,-0.358750424886
ACH-000365,-0.181582113554
ACH-000366,-0.439259921897
ACH-000368,-0.227236334714
ACH-000374,-0.277730749255
ACH-000375,-0.344447802158
ACH-000376,-0.145114562909
ACH-000381,-0.140086286089
ACH-000383,-0.207487812537
ACH-000387,-0.38889036809199995
ACH-000389,-0.311702181314
ACH-000390,-0.28360827598099997
ACH-000393,-0.26167019564
ACH-000395,-0.130563982775
ACH-000397,-0.356661376007
ACH-000401,-0.451339444276
ACH-000402,-0.0484040921057
ACH-000403,-0.257069574491
ACH-000404,-0.650098614531
ACH-000406,-0.44957939325400004
ACH-000407,-0.37418361195699995
ACH-000408,-0.0843904267925
ACH-000410,-0.30354403700599997
ACH-000411,-0.280873758915
ACH-000414,-0.449452982634
ACH-000415,-0.440261630206
ACH-000416,-0.309750590079
ACH-000420,-0.28813340189500003
ACH-000421,-0.532064263089
ACH-000424,-0.27657007718000004
ACH-000425,-0.41676602599
ACH-000426,-0.36224232538
ACH-000427,-0.34872946581200004
ACH-000433,-0.253566301166
ACH-000436,-0.39620112666199997
ACH-000444,-0.312456380735
ACH-000445,-0.35906747773500003
ACH-000448,-0.297574728388
ACH-000450,-0.42845725866400003
ACH-000452,-0.207671319217
