,DIEXF (27042)
ACH-000004,-0.454574442048
ACH-000007,-0.6114331433569999
ACH-000009,-0.8938775807610001
ACH-000011,-0.702989714477
ACH-000012,-0.48824114245399997
ACH-000013,-0.576463875647
ACH-000014,-0.49607577797200003
ACH-000015,-0.6088820798260001
ACH-000017,-0.633275222616
ACH-000018,-0.92317236116
ACH-000019,-0.650774953154
ACH-000021,-0.6936252703300001
ACH-000022,-0.51577719658
ACH-000025,-0.6493584228779999
ACH-000028,-0.797556499818
ACH-000030,-0.596513814663
ACH-000035,-0.784064636558
ACH-000036,-0.726578643258
ACH-000037,-0.58244786985
ACH-000039,-0.609849608873
ACH-000040,-0.7499680127949999
ACH-000041,-0.587514933692
ACH-000042,-0.575713593243
ACH-000045,-0.860557559991
ACH-000047,-0.761176149376
ACH-000052,-0.7070746697560001
ACH-000053,-0.702878196923
ACH-000054,-0.8378336504539999
ACH-000055,-0.26027488651
ACH-000060,-0.612251697271
ACH-000067,-0.730541458353
ACH-000070,-0.515269177838
ACH-000075,-0.724013305874
ACH-000078,-0.520642611948
ACH-000082,-0.64882301202
ACH-000085,-0.524196210745
ACH-000086,-0.909957648087
ACH-000087,-0.7254020480210001
ACH-000092,-0.927791016516
ACH-000095,-0.6314036392629999
ACH-000097,-0.569749696467
ACH-000098,-0.8695912738930001
ACH-000099,-0.609109335752
ACH-000108,-0.604041696667
ACH-000113,-0.807205205512
ACH-000115,-0.441613243032
ACH-000116,-0.566214766434
ACH-000118,-0.5754369332029999
ACH-000120,-0.764616741289
ACH-000123,-0.6086742757370001
ACH-000127,-0.5955002987520001
ACH-000128,-0.482195127126
ACH-000132,-0.834041601328
ACH-000133,-0.630549159219
ACH-000137,-0.920926663079
ACH-000138,-0.545640458469
ACH-000142,-0.622614944034
ACH-000143,-0.562509051106
ACH-000146,-0.635618191336
ACH-000148,-0.745377923546
ACH-000150,-0.47097202790799997
ACH-000152,-0.542197128622
ACH-000153,-0.478909414173
ACH-000159,-0.730640542196
ACH-000160,-0.71230031243
ACH-000163,-0.724498113787
ACH-000167,-0.844650745485
ACH-000168,-0.952028875908
ACH-000169,-0.76487371172
ACH-000178,-0.483990604225
ACH-000182,-0.513728279457
ACH-000183,-0.5291322682
ACH-000188,-0.41212416220799997
ACH-000189,-0.919496160975
ACH-000190,-0.978310707159
ACH-000198,-0.852465292252
ACH-000204,-0.862162034048
ACH-000206,-0.699031046653
ACH-000207,-0.755855863956
ACH-000211,-0.614191667954
ACH-000215,-0.929469611832
ACH-000221,-0.553432741336
ACH-000222,-0.660649073535
ACH-000223,-0.673428359267
ACH-000226,-0.48015926618999993
ACH-000227,-0.7381752088160001
ACH-000228,-0.7295197210780001
ACH-000231,-0.6879313054430001
ACH-000232,-0.564597770965
ACH-000233,-0.5984354368429999
ACH-000234,-0.549421712772
ACH-000235,-0.671253667485
ACH-000237,-0.722183597184
ACH-000238,-0.7197432065880001
ACH-000243,-0.752793765432
ACH-000244,-0.450922072465
ACH-000246,-0.568166025392
ACH-000248,-0.438315648876
ACH-000250,-0.6983840767659999
ACH-000251,-0.591842560775
ACH-000253,-0.704443820756
ACH-000255,-0.6959387387289999
ACH-000256,-0.527872279541
ACH-000257,-0.841309413808
ACH-000258,-0.6732373516419999
ACH-000259,-0.521987290156
ACH-000260,-0.537010179339
ACH-000261,-0.682388016781
ACH-000262,-1.0343406199
ACH-000263,-0.894083986607
ACH-000264,-0.728128521751
ACH-000265,-0.641973818999
ACH-000266,-0.710583140588
ACH-000272,-0.709183427477
ACH-000273,-0.776007346734
ACH-000274,-0.645991856135
ACH-000277,-0.389770885459
ACH-000278,-0.514585928177
ACH-000279,-0.5731033304850001
ACH-000280,-0.708007620762
ACH-000281,-0.521694218298
ACH-000288,-0.710620553608
ACH-000291,-0.779117592347
ACH-000293,-0.527977974984
ACH-000294,-0.851028386607
ACH-000295,-0.6701104588100001
ACH-000296,-0.688317223035
ACH-000302,-0.595302121228
ACH-000304,-0.7429253541509999
ACH-000307,-0.619128316731
ACH-000308,-0.6985101346070001
ACH-000310,-0.77646713994
ACH-000311,-0.644622346196
ACH-000312,-0.66234279299
ACH-000315,-0.441941333624
ACH-000316,-0.595478421272
ACH-000317,-0.47528835048699997
ACH-000318,-0.912895308675
ACH-000319,-0.721299226307
ACH-000320,-0.7201128843350001
ACH-000322,-0.8977982239910001
ACH-000323,-1.06162790209
ACH-000324,-0.612666037935
ACH-000329,-0.7347435433949999
ACH-000330,-0.545763147702
ACH-000331,-0.789177920786
ACH-000332,-0.9009114932369999
ACH-000334,-0.591022853759
ACH-000335,-0.8774682057950001
ACH-000336,-1.0825546518200002
ACH-000337,-0.9099689317640001
