,LRP2BP (55805)
ACH-000004,0.10205792929199999
ACH-000007,-0.365700971151
ACH-000009,-0.0603694336069
ACH-000011,0.12063186336500001
ACH-000012,0.111525843618
ACH-000013,0.10796055995300001
ACH-000014,-0.08344309904639999
ACH-000015,-0.0313363022225
ACH-000017,-0.070382820821
ACH-000018,0.220216959589
ACH-000019,0.213869512176
ACH-000021,0.08442621038560001
ACH-000022,-0.0711857401415
ACH-000025,0.015529890432100001
ACH-000028,0.176172474446
ACH-000030,0.06841447842180001
ACH-000035,0.061931634660099995
ACH-000036,-0.027406338338900004
ACH-000037,-0.00892794884563
ACH-000039,0.164976833411
ACH-000040,0.065281998435
ACH-000041,0.0699236730723
ACH-000042,-0.0314305479037
ACH-000045,-0.0774377319792
ACH-000047,-0.142546844742
ACH-000052,0.0032335685605999996
ACH-000053,0.017670043241299997
ACH-000054,-0.012228095593700002
ACH-000055,-0.132522539024
ACH-000060,0.0776162463933
ACH-000067,-0.08916627061560001
ACH-000070,0.0424713806309
ACH-000075,-0.184339098347
ACH-000078,-0.0641116055515
ACH-000082,-0.14411381178899998
ACH-000085,-0.0714539586925
ACH-000086,0.0906003309834
ACH-000087,-0.0663605648795
ACH-000092,-0.058476964302500004
ACH-000095,-0.106000682231
ACH-000097,-0.08536192632789999
ACH-000098,-0.0849985497977
ACH-000099,-0.165706785218
ACH-000108,0.0397845789609
ACH-000113,0.117043355561
ACH-000115,0.0327635211334
ACH-000116,0.0959542549402
ACH-000118,0.138854070546
ACH-000120,-0.104493086607
ACH-000123,-0.08294691058239999
ACH-000127,-0.0897317296427
ACH-000128,-0.08054198020039999
ACH-000132,0.0181367068928
ACH-000133,-0.00780726043526
ACH-000137,0.156746130192
ACH-000138,0.024229519614499997
ACH-000142,0.264605109859
ACH-000143,0.00570657345826
ACH-000146,0.0573209945971
ACH-000148,-0.042724348932499996
ACH-000150,0.118876572091
ACH-000152,0.020274526627599997
ACH-000153,0.112238625427
ACH-000159,0.0344163226573
ACH-000160,0.00116344139498
ACH-000163,0.125837281079
ACH-000167,-0.184616774225
ACH-000168,-0.134408872602
ACH-000169,0.11288588376499999
ACH-000178,0.0946357958425
ACH-000182,0.0059883637812
ACH-000183,-0.07357016214289999
ACH-000188,0.142708443113
ACH-000189,0.162403397513
ACH-000190,0.016940586860100002
ACH-000198,0.0492241860932
ACH-000204,0.109203997112
ACH-000206,-0.13521983429099999
ACH-000207,-0.391395448644
ACH-000211,-0.1403324374
ACH-000215,-0.0826668911742
ACH-000221,0.076460002685
ACH-000222,-0.14472409031199998
ACH-000223,-0.132519306067
ACH-000226,0.092048662894
ACH-000227,-0.09476631823130001
ACH-000228,0.042121050019199996
ACH-000231,0.0695245275589
ACH-000232,-0.0629200051284
ACH-000233,-0.0104377154442
ACH-000234,-0.137564248345
ACH-000235,-0.0340310375605
ACH-000237,-0.023539300175200003
ACH-000238,0.0532963182223
ACH-000243,-0.020785628696
ACH-000244,-0.203764538246
ACH-000246,0.08955735946589999
ACH-000248,-0.0108715126812
ACH-000250,0.0185559862527
ACH-000251,0.0156733722102
ACH-000253,-0.043630335682600004
ACH-000255,0.131701802037
ACH-000256,0.0982794778491
ACH-000257,0.0285664233507
ACH-000258,0.16918002622
ACH-000259,0.04712330080109999
ACH-000260,-0.018501505793400003
ACH-000261,0.036664885126199996
ACH-000262,-0.198663779197
ACH-000263,-0.156467770395
ACH-000264,-0.04006199267669999
ACH-000265,0.024857036632400003
ACH-000266,-0.0780134262351
ACH-000272,0.0375729432532
ACH-000273,-0.110274864532
ACH-000274,-0.052033694139099994
ACH-000277,-0.262744508386
ACH-000278,-0.133841442387
ACH-000279,-0.12697440986400002
ACH-000280,-0.0121613848606
ACH-000281,-0.0685217133073
ACH-000288,0.046836855290400006
ACH-000291,0.0005675459648339999
ACH-000293,0.062151802268599995
ACH-000294,-0.006013916038060001
ACH-000295,-0.0147084792454
ACH-000296,-0.0672408120732
ACH-000302,-0.05122106911
ACH-000304,0.256638592894
ACH-000307,0.0956397845454
ACH-000308,0.06832693213010001
ACH-000310,-0.19447399578400001
ACH-000311,-0.08167579780050001
ACH-000312,-0.08975718619449999
ACH-000315,0.160455383197
ACH-000316,0.00994426380612
ACH-000317,0.37759384642300003
ACH-000318,-0.026482628865099996
ACH-000319,0.0681599099077
ACH-000320,-0.018236004878
ACH-000322,-0.12202348335999999
ACH-000323,-0.015364361112799998
ACH-000324,0.0416522172176
ACH-000329,-0.125411371607
ACH-000330,0.120878288397
ACH-000331,0.07819930161830001
ACH-000332,0.0051563494281
ACH-000334,0.0892775352575
ACH-000335,-0.0192759601014
ACH-000336,0.352864231186
ACH-000337,0.317139331452
ACH-000339,0.0838143998858
ACH-000341,-0.139198753268
ACH-000348,-0.0104669334168
ACH-000350,0.035788342499300005
ACH-000352,0.0157922567239
ACH-000356,0.204807361193
ACH-000361,0.00997550602701
ACH-000362,-0.051303136907
ACH-000363,0.014572267608199999
ACH-000364,0.115737224978
ACH-000365,-0.09033670329669999
ACH-000366,-0.0488352727745
ACH-000368,0.0324236042104
ACH-000374,-0.12532404870799999
ACH-000375,-0.0862526918224
ACH-000376,0.0484845487531
