,TNRC6B (23112)
ACH-000004,-0.24168074013500002
ACH-000007,-0.110380340606
ACH-000009,-0.210967512363
ACH-000011,-0.13346026311599998
ACH-000012,-0.17005585984299998
ACH-000013,-0.26358057634599996
ACH-000014,-0.103273211076
ACH-000015,-0.412706826344
ACH-000017,-0.166777174714
ACH-000018,-0.1749670391
ACH-000019,-0.124603800306
ACH-000021,-0.243095113706
ACH-000022,-0.0778115553571
ACH-000025,-0.194102636627
ACH-000028,-0.25169022527
ACH-000030,-0.314705917125
ACH-000035,-0.248994805428
ACH-000036,-0.130132049406
ACH-000037,0.0133414663673
ACH-000039,-0.105977611168
ACH-000040,-0.23728174299199997
ACH-000041,-0.173639216451
ACH-000042,-0.475658665701
ACH-000045,-0.0221228182361
ACH-000047,-0.12331345493200001
ACH-000052,-0.392005166316
ACH-000053,-0.185849345665
ACH-000054,-0.18666714482000002
ACH-000055,-0.306328114983
ACH-000060,-0.29317052476100003
ACH-000067,-0.09645016278610001
ACH-000070,-0.245568743688
ACH-000075,-0.233229958526
ACH-000078,-0.217151473254
ACH-000082,-0.0814604220655
ACH-000085,-0.640806715587
ACH-000086,0.139779382752
ACH-000087,-0.255512708048
ACH-000092,-0.33698797539399994
ACH-000095,-0.0472037000636
ACH-000097,-0.0954034412105
ACH-000098,-0.137101668174
ACH-000099,-0.19616607711599998
ACH-000108,-0.351845130895
ACH-000113,-0.0581883646746
ACH-000115,0.351609846093
ACH-000116,-0.204123192725
ACH-000118,-0.236566074485
ACH-000120,-0.227882051306
ACH-000123,-0.0907676317582
ACH-000127,-0.100098013335
ACH-000128,-0.37198876048199997
ACH-000132,-0.259495213524
ACH-000133,-0.0545899338279
ACH-000137,-0.199859414047
ACH-000138,0.28325154120900004
ACH-000142,-0.0955224641744
ACH-000143,-0.145489931974
ACH-000146,-0.165113415698
ACH-000148,0.0255529012558
ACH-000150,-0.15516936416899998
ACH-000152,-0.10217020576199999
ACH-000153,-0.0375095930082
ACH-000159,0.0513071448998
ACH-000160,-0.196342605347
ACH-000163,-0.307922755802
ACH-000167,-0.12604367094900001
ACH-000168,-0.22656408309
ACH-000169,-0.22829093664
ACH-000178,-0.21407059489500002
ACH-000182,0.0425010162365
ACH-000183,-0.20447172401299998
ACH-000188,-0.0503998572853
ACH-000189,0.24694039702599999
ACH-000190,-0.207470849263
ACH-000198,0.0733210952502
ACH-000204,-0.0366942608335
ACH-000206,-0.263333341412
ACH-000207,-0.240782882435
ACH-000211,-0.27178672664500003
ACH-000215,-0.135446377603
ACH-000221,-0.354791697443
ACH-000222,-0.320513324809
ACH-000223,-0.180337087058
ACH-000226,-0.174351911166
ACH-000227,-0.281433151484
ACH-000228,-0.134967077431
ACH-000231,-0.44117683132799995
ACH-000232,-0.186280051882
ACH-000233,-0.495657029139
ACH-000234,-0.058144311849699995
ACH-000235,-0.185334306751
ACH-000237,-0.131363445941
ACH-000238,-0.170813642755
ACH-000243,-0.19844982537099998
ACH-000244,-0.336820509129
ACH-000246,0.023421073992900002
ACH-000248,-0.138114410465
ACH-000250,-0.141438276057
ACH-000251,-0.24654007072200002
ACH-000253,-0.37401193292499996
ACH-000255,-0.10212746644099999
ACH-000256,-0.409786093885
ACH-000257,0.028799543319200004
ACH-000258,-0.271173073279
ACH-000259,-0.0850513962835
ACH-000260,-0.0449164955273
ACH-000261,-0.311971692941
ACH-000262,-0.0490538102553
ACH-000263,0.3116103272
ACH-000264,-0.250232442336
ACH-000265,-0.370824254407
ACH-000266,-0.22411756228
ACH-000272,-0.202423066549
ACH-000273,-0.024413418549700003
ACH-000274,-0.123593348909
ACH-000277,0.0324795341927
ACH-000278,-0.11828490955999998
ACH-000279,-0.280647656585
ACH-000280,-0.131510151105
ACH-000281,-0.38675650935500006
ACH-000288,-0.162623695374
ACH-000291,-0.290479098965
ACH-000293,-0.172882929347
ACH-000294,0.0338856881677
ACH-000295,-0.139582346755
ACH-000296,-0.022963426743900003
ACH-000302,-0.40342778614200003
ACH-000304,-0.741984342686
ACH-000307,-0.0538905567587
ACH-000308,-0.256597601738
ACH-000310,-0.128500121189
ACH-000311,-0.164377984576
ACH-000312,-0.131262340752
ACH-000315,-0.33428492111900004
ACH-000316,-0.22652687135299998
ACH-000317,0.09348004739289999
ACH-000318,0.0496577128695
ACH-000319,-0.25218892368
ACH-000320,-0.39757376585500004
ACH-000322,-0.125021600582
ACH-000323,-0.18717990741700002
ACH-000324,-0.042055947191000004
ACH-000329,0.010049440638
ACH-000330,-0.289245273625
ACH-000331,0.0223097480014
ACH-000332,-0.23295651962400002
ACH-000334,-0.170979892647
ACH-000335,-0.133971456089
ACH-000336,-0.16334741075099998
ACH-000337,-0.423744154099
ACH-000339,-0.117843046349
ACH-000341,-0.169436705766
ACH-000348,-0.27163858471
ACH-000350,-0.189772573616
ACH-000352,-0.1472064006
ACH-000356,0.0170967693915
ACH-000361,-0.122289199887
ACH-000362,-0.175064021477
ACH-000363,-0.09220562144919998
ACH-000364,-0.26327452383600003
ACH-000365,-0.09895736322599999
ACH-000366,-0.126870522978
ACH-000368,-0.334469457069
ACH-000374,-0.023602742309
ACH-000375,-0.340315430299
ACH-000376,-0.157118636909
ACH-000381,-0.31455860779
ACH-000383,-0.0759263542967
ACH-000387,-0.33925515488499997
ACH-000389,-0.33631609486599995
ACH-000390,-0.151406738247
ACH-000393,-0.329690483396
ACH-000395,-0.194685002676
ACH-000397,-0.191764322556
ACH-000401,-0.157158997851
ACH-000402,-0.328823874371
ACH-000403,-0.214946021581
ACH-000404,-0.467444791866
ACH-000406,-0.219683885354
ACH-000407,-0.162258402806
ACH-000408,-0.276475023319
ACH-000410,-0.0591983670338
ACH-000411,0.0499496337223
ACH-000414,-0.18163177947099998
ACH-000415,-0.207746852799
ACH-000416,-0.19898137803100002
ACH-000420,-0.27399551095400004
ACH-000421,-0.145572954938
ACH-000424,-0.00707877765475
ACH-000425,-0.356129921771
ACH-000426,-0.00974875352338
ACH-000427,-0.37588334670999995
ACH-000433,-0.240483781741
ACH-000436,0.053749790756099994
ACH-000444,-0.029129720595
ACH-000445,-0.618493698745
ACH-000448,-0.243250469995
ACH-000450,-0.0633892555269
ACH-000452,-0.356099487383
ACH-000454,-0.389027340964
ACH-000458,-0.421046270154
ACH-000459,0.258477243251
ACH-000460,-0.233099238732
ACH-000461,-0.37374052076700004
ACH-000463,-0.0790295787413
ACH-000464,-0.0108594334654
ACH-000466,-0.475450283652
