,PREB (10113)
ACH-000004,-0.8565558700329999
ACH-000007,-0.862174288392
ACH-000009,-0.821718023936
ACH-000011,-0.545702592104
ACH-000012,-0.873813624097
ACH-000013,-0.935569945482
ACH-000014,-0.9035122748569999
ACH-000015,-0.763403577493
ACH-000017,-0.784246229324
ACH-000018,-1.0212059305
ACH-000019,-0.880426553369
ACH-000021,-0.790935845777
ACH-000022,-0.797187635598
ACH-000025,-0.7300551642059999
ACH-000028,-0.742772524291
ACH-000030,-0.8901852559029999
ACH-000035,-0.9136089671909999
ACH-000036,-0.769533354551
ACH-000037,-1.28896716339
ACH-000039,-0.838344153604
ACH-000040,-1.2274327777299998
ACH-000041,-1.08385742137
ACH-000042,-0.8313610484939999
ACH-000045,-0.987064447605
ACH-000047,-0.7689856779979999
ACH-000052,-1.4392084733500001
ACH-000053,-0.888883104825
ACH-000054,-0.877033997764
ACH-000055,-1.02599023907
ACH-000060,-0.7162570789380001
ACH-000067,-1.12368851339
ACH-000070,-0.937760770044
ACH-000075,-1.11049509721
ACH-000078,-0.841604007182
ACH-000082,-0.92292092188
ACH-000085,-0.647961742102
ACH-000086,-1.04231927013
ACH-000087,-1.0229059245899998
ACH-000092,-1.04478165535
ACH-000095,-1.05609607266
ACH-000097,-0.9397837472280001
ACH-000098,-1.05514013658
ACH-000099,-0.8311359652770001
ACH-000108,-0.684535777968
ACH-000113,-0.7287893375900001
ACH-000115,-1.5305525685499999
ACH-000116,-0.954250439664
ACH-000118,-0.840728104235
ACH-000120,-1.12224170291
ACH-000123,-0.7758394628499999
ACH-000127,-1.00639693456
ACH-000128,-1.1510283406200001
ACH-000132,-1.4360287505899998
ACH-000133,-1.00373815372
ACH-000137,-0.879517087043
ACH-000138,-0.7919525209620001
ACH-000142,-0.8888180399619999
ACH-000143,-0.996859110688
ACH-000146,-0.65185284613
ACH-000148,-0.847787212063
ACH-000150,-0.7667731988070001
ACH-000152,-1.13943114766
ACH-000153,-1.0976931848
ACH-000159,-1.067146306
ACH-000160,-0.883624885054
ACH-000163,-0.712238088126
ACH-000167,-1.47867034505
ACH-000168,-1.04867972221
ACH-000169,-1.06480874448
ACH-000178,-0.8298884206730001
ACH-000182,-0.6482418426950001
ACH-000183,-0.9080724477240001
ACH-000188,-0.751161640049
ACH-000189,-0.650811031922
ACH-000190,-1.18689697746
ACH-000198,-0.759211638753
ACH-000204,-0.770526304433
ACH-000206,-0.844335439659
ACH-000207,-0.928736588321
ACH-000211,-0.7716197522179999
ACH-000215,-0.967884991418
ACH-000221,-0.810714117474
ACH-000222,-0.861723816593
ACH-000223,-1.21029436012
ACH-000226,-0.896759552652
ACH-000227,-0.7016681213770001
ACH-000228,-1.02580571885
ACH-000231,-1.06274163974
ACH-000232,-0.873659230252
ACH-000233,-0.91707811139
ACH-000234,-0.764487494527
ACH-000235,-0.838202654215
ACH-000237,-0.741346659583
ACH-000238,-0.690786940929
ACH-000243,-0.685929404179
ACH-000244,-0.9766736229449999
ACH-000246,-0.8765939908050001
ACH-000248,-0.855754844143
ACH-000250,-1.08219006889
ACH-000251,-0.9100701408059999
ACH-000253,-0.982414801606
ACH-000255,-0.751164406596
ACH-000256,-1.13916240113
ACH-000257,-1.31606392729
ACH-000258,-0.787919869447
ACH-000259,-0.720197561917
ACH-000260,-0.84447039275
ACH-000261,-0.975560509012
ACH-000262,-0.9070406471979999
ACH-000263,-0.591239176124
ACH-000264,-1.1839394759200002
ACH-000265,-0.680414910018
ACH-000266,-0.976637664024
ACH-000272,-1.0304633942299999
ACH-000273,-0.903953632953
ACH-000274,-1.1164671677299998
ACH-000277,-1.00985764121
ACH-000278,-0.838976874158
ACH-000279,-0.991974570282
ACH-000280,-0.9712905690729999
ACH-000281,-0.7826686354469999
ACH-000288,-0.992525677736
ACH-000291,-0.985040729911
ACH-000293,-1.0580260764899998
ACH-000294,-0.677378405363
ACH-000295,-1.1313955948899999
ACH-000296,-1.16529756156
ACH-000302,-0.8867291101029999
ACH-000304,-0.973570165239
ACH-000307,-0.8354294722579999
ACH-000308,-0.88995001064
ACH-000310,-0.44260901779399997
ACH-000311,-0.6899991479440001
ACH-000312,-0.7364026800669999
ACH-000315,-0.8786045508570001
ACH-000316,-1.0046397256
ACH-000317,-0.8176510072059999
ACH-000318,-0.64625905092
ACH-000319,-1.0486339784
ACH-000320,-0.743627502998
ACH-000322,-0.612877890927
ACH-000323,-1.1077392256799998
ACH-000324,-0.8869641517669999
ACH-000329,-1.21001415004
ACH-000330,-0.9178443776559999
ACH-000331,-0.795148023764
ACH-000332,-0.828502528406
ACH-000334,-0.724031421293
ACH-000335,-0.8579045391769999
ACH-000336,-0.6952365316269999
ACH-000337,-0.826462733907
ACH-000339,-0.9266112810160001
ACH-000341,-0.629924091137
ACH-000348,-1.06245576881
ACH-000350,-0.8796063244490001
ACH-000352,-0.681359695468
ACH-000356,-0.8331970064650001
ACH-000361,-0.638542387449
ACH-000362,-0.8618429056290001
ACH-000363,-0.855285058374
ACH-000364,-0.6177058072420001
ACH-000365,-0.835674893652
ACH-000366,-1.0589696609700001
ACH-000368,-0.9191285362299999
ACH-000374,-0.85102164373
ACH-000375,-0.694969431348
ACH-000376,-0.961217570421
ACH-000381,-0.927303835781
ACH-000383,-0.8950616720829999
ACH-000387,-0.920247165333
ACH-000389,-1.06659896119
ACH-000390,-0.9547566677439999
ACH-000393,-1.11729920721
ACH-000395,-0.9678893324200001
ACH-000397,-0.670913682713
ACH-000401,-0.8389157201790001
ACH-000402,-1.25420167919
ACH-000403,-0.968822433289
ACH-000404,-0.81997397479
ACH-000406,-0.722047293329
ACH-000407,-0.662785654766
ACH-000408,-0.760947285737
ACH-000410,-0.8844455172810001
ACH-000411,-0.940205225829
ACH-000414,-0.692929453379
ACH-000415,-0.784109583099
ACH-000416,-1.00219716184
ACH-000420,-1.2533534062
ACH-000421,-0.7503849334649999
ACH-000424,-1.04079813607
ACH-000425,-0.86290573585
ACH-000426,-1.14376664035
ACH-000427,-0.6761708661049999
ACH-000433,-0.7747916322849999
ACH-000436,-0.7199086280600001
ACH-000444,-0.804186536066
ACH-000445,-1.06376035384
ACH-000448,-0.794375236833
ACH-000450,-0.7055666326279999
ACH-000452,-0.8430120850210001
ACH-000454,-0.766711870298
ACH-000458,-0.9286220549429999
ACH-000459,-0.7008681182430001
ACH-000460,-0.97047633802
ACH-000461,-0.912775374723
ACH-000463,-0.7896208268970001
ACH-000464,-1.2922737352
ACH-000466,-1.03578179597
ACH-000467,-0.825944336473
ACH-000468,-0.7609632217110001
ACH-000469,-0.991127333985
ACH-000470,-0.8350464440790001
ACH-000471,-1.01937133736
ACH-000472,-0.933834498681
ACH-000473,-0.9655206579350001
ACH-000475,-0.9657236072390001
ACH-000476,-0.563357383786
ACH-000477,-0.9033468316500001
ACH-000480,-0.879486265494
ACH-000481,-1.1753145475799998
ACH-000483,-0.6067112805039999
ACH-000484,-1.1110954251
ACH-000485,-1.04027164577
ACH-000486,-0.710993378495
ACH-000487,-0.879832930335
ACH-000488,-0.773181120536
ACH-000490,-0.634865274959
ACH-000491,-1.0507033484700001
ACH-000495,-1.03153012897
ACH-000496,-0.859403536404
ACH-000499,-0.7570373172149999
ACH-000500,-0.885393435144
ACH-000502,-0.649402117157
ACH-000503,-1.02894669091
ACH-000505,-1.02045367861
ACH-000507,-0.8391111332269999
ACH-000510,-1.08664873951
ACH-000511,-0.7213615869769999
ACH-000512,-0.883391329284
ACH-000516,-1.102857713
ACH-000517,-0.909344245438
ACH-000518,-0.791485496832
ACH-000520,-0.86125006374
ACH-000521,-0.7625236050290001
ACH-000522,-1.13720522577
ACH-000524,-1.27451197134
ACH-000527,-0.6927514932850001
ACH-000528,-0.6546669536349999
ACH-000537,-0.670835264941
ACH-000541,-1.22951670991
ACH-000542,-0.8742709657250001
ACH-000544,-0.865557950393
ACH-000545,-0.950242742357
ACH-000547,-0.7984425538429999
ACH-000548,-0.619215243641
ACH-000549,-0.45197792466200004
ACH-000550,-0.673134396554
ACH-000552,-0.9329226427770001
ACH-000556,-1.0302248732200001
ACH-000557,-0.80498843122
ACH-000570,-1.15778166316
ACH-000571,-1.5837915472400002
ACH-000573,-1.03378214929
ACH-000576,-0.9916681982109999
ACH-000580,-1.08272664486
