,SERF2 (10169)
ACH-000004,-0.204378866255
ACH-000007,-0.32117603710000003
ACH-000009,-0.41843628959299994
ACH-000011,-0.5081246429190001
ACH-000012,-0.406037059802
ACH-000013,-0.297826918226
ACH-000014,0.013607029097400001
ACH-000015,-0.26881093973299997
ACH-000017,-0.145766001594
ACH-000018,-0.491767313599
ACH-000019,-0.481473895672
ACH-000021,-0.353039732857
ACH-000022,-0.326745641316
ACH-000025,-0.5959192961249999
ACH-000028,-0.505062852576
ACH-000030,-0.39459545253600004
ACH-000035,-0.278292562774
ACH-000036,-0.287785020121
ACH-000037,-0.354963663518
ACH-000039,-0.0699645864127
ACH-000040,-0.48240642834299996
ACH-000041,-0.248927409501
ACH-000042,-0.46874163935
ACH-000045,-0.309455899774
ACH-000047,-0.407464977556
ACH-000052,0.0858518034887
ACH-000053,-0.523764495161
ACH-000054,-0.395679573037
ACH-000055,0.21544658591899998
ACH-000060,-0.448809386659
ACH-000067,-0.415558385034
ACH-000070,-0.42441048967600004
ACH-000075,-0.581955700697
ACH-000078,-0.17292756779899998
ACH-000082,-0.445755253952
ACH-000085,-0.10332871251
ACH-000086,-0.43068088755500006
ACH-000087,-0.369430061057
ACH-000092,-0.651336775621
ACH-000095,-0.5807547213300001
ACH-000097,-0.7025350260359999
ACH-000098,-0.441902804436
ACH-000099,-0.547573680791
ACH-000108,-0.31742510704300003
ACH-000113,-0.297745429168
ACH-000115,-0.284936461527
ACH-000116,-0.388366178912
ACH-000118,-0.249525006292
ACH-000120,-0.467702592649
ACH-000123,-0.376575953065
ACH-000127,-0.161105268603
ACH-000128,-0.186384934984
ACH-000132,-0.627868386273
ACH-000133,-0.322133264275
ACH-000137,-0.0913814953316
ACH-000138,-0.22134081298
ACH-000142,-0.410497285031
ACH-000143,-0.418591628473
ACH-000146,-0.187397809512
ACH-000148,-0.23500289798300003
ACH-000150,-0.283323882791
ACH-000152,0.07078427179060001
ACH-000153,-0.290119969189
ACH-000159,-0.40007625785800005
ACH-000160,-0.322437121163
ACH-000163,0.047558849698800004
ACH-000167,0.543264777524
ACH-000168,-0.546602371722
ACH-000169,-0.37242341015299996
ACH-000178,-0.372232443171
ACH-000182,-0.35527881244099996
ACH-000183,-0.289226107993
ACH-000188,-0.12925971395400002
ACH-000189,-0.315452624545
ACH-000190,-0.549891332685
ACH-000198,-0.35027237651199994
ACH-000204,-0.377285751313
ACH-000206,-0.44497024048999995
ACH-000207,-0.256702817831
ACH-000211,-0.145320288469
ACH-000215,-0.289758329549
ACH-000221,-0.33971647204000005
ACH-000222,-0.338806388723
ACH-000223,-0.445465177945
ACH-000226,-0.506683865224
ACH-000227,-0.7564564015180001
ACH-000228,-0.428612069375
ACH-000231,-0.34774231598800004
ACH-000232,-0.6060687360220001
ACH-000233,-0.395107529172
ACH-000234,-0.62102681371
ACH-000235,-0.329934334691
ACH-000237,-0.220528866133
ACH-000238,-0.23354617079999998
ACH-000243,-0.713570732323
ACH-000244,-0.660219437249
ACH-000246,-0.35272672285800005
ACH-000248,-0.179920073796
ACH-000250,-0.5303662529
ACH-000251,-0.46954181702
ACH-000253,-0.315209977172
ACH-000255,-0.489285940806
ACH-000256,-0.384837647689
ACH-000257,-0.139034560872
ACH-000258,-0.387397555098
ACH-000259,-0.484412985206
ACH-000260,-0.422580420365
ACH-000261,-0.398818540376
ACH-000262,-0.3403094923800001
ACH-000263,-0.335946678966
ACH-000264,-0.622669971631
ACH-000265,-0.612479116815
ACH-000266,-0.734832480704
ACH-000272,-0.578479431205
ACH-000273,-0.250640553554
ACH-000274,-0.513555056985
ACH-000277,-0.60856410631
ACH-000278,-0.562524466071
ACH-000279,-0.36038714692
ACH-000280,-0.015969468611299997
ACH-000281,-0.480169012872
ACH-000288,-0.438041498688
ACH-000291,-0.6133203940399999
ACH-000293,-0.337826732804
ACH-000294,-0.23238645664700003
ACH-000295,-0.12929324531300002
ACH-000296,-0.40658456523100006
ACH-000302,-0.500991594949
ACH-000304,-0.22883566031
ACH-000307,-0.413924109205
ACH-000308,-0.37193462501100005
ACH-000310,-0.46131429839599997
ACH-000311,-0.366143252464
ACH-000312,-0.46841654626400003
ACH-000315,-0.216356955753
ACH-000316,-0.374106697931
ACH-000317,-0.51976341376
ACH-000318,-0.35785102156
ACH-000319,-0.281811947686
ACH-000320,-0.573319940967
ACH-000322,-0.232630289919
ACH-000323,-0.350716507922
ACH-000324,-0.424610508088
ACH-000329,-0.165236696787
ACH-000330,-0.404148000377
ACH-000331,-0.816483703197
ACH-000332,-0.18044380555700001
ACH-000334,-0.279890046116
ACH-000335,-0.619817728317
ACH-000336,-0.027914213920299996
ACH-000337,-0.42189895181599996
ACH-000339,-0.531453046722
ACH-000341,-0.520558373157
ACH-000348,-0.369711469085
ACH-000350,-0.377948729573
ACH-000352,-0.411816164182
ACH-000356,-0.365898061333
ACH-000361,-0.71632357874
