,TIPRL (261726)
ACH-000004,-0.43649793683
ACH-000007,-0.8198124034759999
ACH-000009,-0.988171809799
ACH-000011,-0.870021033528
ACH-000012,-0.846717127641
ACH-000013,-0.676242434259
ACH-000014,-0.7260992677949999
ACH-000015,-0.460256460272
ACH-000017,-0.559537279016
ACH-000018,-0.528556084903
ACH-000019,-0.78682326222
ACH-000021,-0.52154728668
ACH-000022,-0.765010462719
ACH-000025,-0.6731338854979999
ACH-000028,-1.0047577494600002
ACH-000030,-0.308545068159
ACH-000035,-0.111844957236
ACH-000036,-0.803840177789
ACH-000037,-0.315883532427
ACH-000039,-0.5394377973510001
ACH-000040,-0.473884333387
ACH-000041,-0.636954751049
ACH-000042,-0.6894078819949999
ACH-000045,-0.29492618342099997
ACH-000047,-0.44924704073999994
ACH-000052,-0.843375456035
ACH-000053,-0.495810951291
ACH-000054,-0.38843189696999997
ACH-000055,-0.7604857363609999
ACH-000060,-0.254112596807
ACH-000067,-0.207537857529
ACH-000070,-0.5412315359440001
ACH-000075,-0.382828988658
ACH-000078,-0.40773352980800004
ACH-000082,-0.418339675736
ACH-000085,-1.02379323565
ACH-000086,-0.46580239448399996
ACH-000087,-0.5073348164720001
ACH-000092,-0.635496398888
ACH-000095,-0.345896454603
ACH-000097,-0.829163197298
ACH-000098,-0.142844741564
ACH-000099,-0.552306922952
ACH-000108,-0.565431408855
ACH-000113,-0.348745991017
ACH-000115,-0.344230369329
ACH-000116,-0.5903328975150001
ACH-000118,-0.8547174799339999
ACH-000120,-0.517357568722
ACH-000123,-0.605790634278
ACH-000127,-0.385478632191
ACH-000128,-0.18625852532099998
ACH-000132,-0.4986844297
ACH-000133,-0.693264892136
ACH-000137,-0.314976404832
ACH-000138,-0.461382925687
ACH-000142,-0.438528679842
ACH-000143,-0.328726462753
ACH-000146,-0.492391842475
ACH-000148,-0.773734959121
ACH-000150,-0.23841464863899997
ACH-000152,-0.6780505314640001
ACH-000153,-0.687456223084
ACH-000159,-0.78224985559
ACH-000160,-0.201696528537
ACH-000163,-0.9868289376639999
ACH-000167,-0.507484720346
ACH-000168,-0.505337515872
ACH-000169,-0.373711795206
ACH-000178,-0.6551191008
ACH-000182,-0.499547253628
ACH-000183,-0.39794140800300004
ACH-000188,-0.459228116906
ACH-000189,-0.559542415549
ACH-000190,-0.603422175556
ACH-000198,-0.752585279604
ACH-000204,-0.898616308202
ACH-000206,-0.33009537270100003
ACH-000207,-0.27095362414
ACH-000211,-1.16703003991
ACH-000215,-0.789745716882
ACH-000221,-0.368908339466
ACH-000222,-0.964488144947
ACH-000223,-0.9866050367550001
ACH-000226,-0.452714820204
ACH-000227,-0.178079432694
ACH-000228,-0.481864459949
ACH-000231,-0.41859187973000006
ACH-000232,-0.16989638966899998
ACH-000233,-0.42101651510399996
ACH-000234,-0.542101045117
ACH-000235,-0.73428066678
ACH-000237,-0.19241409846700003
