,NAPRT (93100)
ACH-000004,-0.235072694921
ACH-000007,0.00596115103041
ACH-000009,-0.22614223580499998
ACH-000011,-0.185743498075
ACH-000012,-0.315106581629
ACH-000013,-0.22948556599
ACH-000014,-0.46599309956100005
ACH-000015,-0.158197282347
ACH-000017,-0.26688335593
ACH-000018,-0.185603483479
ACH-000019,-0.308398747634
ACH-000021,-0.279632828775
ACH-000022,-0.0669246827496
ACH-000025,-0.157715534802
ACH-000028,-0.136891898193
ACH-000030,-0.258288036396
ACH-000035,-0.10942357551
ACH-000036,-0.40075719431999995
ACH-000037,-0.239229191152
ACH-000039,-0.198434839129
ACH-000040,-0.337230211442
ACH-000041,-0.159842133661
ACH-000042,-0.5391611465680001
ACH-000045,-0.129991866248
ACH-000047,-0.132870304316
ACH-000052,-0.170535239842
ACH-000053,-0.28407916338000005
ACH-000054,-0.148165617524
ACH-000055,-0.139616164883
ACH-000060,-0.437816933248
ACH-000067,-0.0807012775416
ACH-000070,-0.250838499407
ACH-000075,-0.530288403623
ACH-000078,-0.34657800879100004
ACH-000082,-0.254815138152
ACH-000085,-0.181785446128
ACH-000086,-0.252010393888
ACH-000087,0.127378606959
ACH-000092,-0.213090156993
ACH-000095,-0.209787038012
ACH-000097,-0.332112068492
ACH-000098,-0.083871227104
ACH-000099,-0.221107207601
ACH-000108,-0.287990500508
ACH-000113,-0.4882029627100001
ACH-000115,-0.28248440536200004
ACH-000116,-0.191817798124
ACH-000118,-0.199733885792
ACH-000120,-0.10971736931399999
ACH-000123,-0.366332012352
ACH-000127,-0.121220965714
ACH-000128,-0.16438095374199999
ACH-000132,-0.444330636198
ACH-000133,-0.16277533229399999
ACH-000137,-0.015778455700700002
ACH-000138,-0.09818042137489999
ACH-000142,-0.24078313788800002
ACH-000143,-0.130004287695
ACH-000146,-0.34511681137500005
ACH-000148,-0.285330261325
ACH-000150,-0.682401142147
ACH-000152,-0.274088051163
ACH-000153,0.0534671463509
ACH-000159,-0.22735444157200002
ACH-000160,-0.16779799816399998
ACH-000163,-0.258598768083
ACH-000167,-0.23964317565999999
ACH-000168,-0.0660838175056
ACH-000169,-0.187841455435
ACH-000178,-0.48292388952799997
ACH-000182,-0.285709794969
ACH-000183,-0.155888548323
ACH-000188,-0.33316735523
ACH-000189,-0.016867534357200002
ACH-000190,-0.28057063996599996
ACH-000198,-0.28657837209000003
ACH-000204,-0.138274399486
ACH-000206,-0.21873619228
ACH-000207,-0.149083832034
ACH-000211,-0.356697607388
ACH-000215,-0.382113651279
ACH-000221,-0.0568301684951
ACH-000222,-0.561420022409
ACH-000223,-0.4473146263100001
ACH-000226,-0.10402426505699999
ACH-000227,-0.30583604702100003
ACH-000228,0.026738633499300002
ACH-000231,-0.268956442371
ACH-000232,-0.36411783829000005
ACH-000233,-0.179553139873
ACH-000234,-0.524686809256
ACH-000235,-0.325684827391
ACH-000237,-0.21539496061500002
ACH-000238,-0.485911618288
ACH-000243,-0.289624928884
ACH-000244,-0.031531583494199995
ACH-000246,-0.268345306334
ACH-000248,-0.106362922629
ACH-000250,-0.343830575383
ACH-000251,-0.0602717218111
ACH-000253,-0.168510085372
ACH-000255,-0.121561134248
ACH-000256,-0.143027477431
ACH-000257,-0.147317726428
ACH-000258,-0.5058257594860001
ACH-000259,-0.365320761656
ACH-000260,-0.295504747573
ACH-000261,-0.34404746588
ACH-000262,-0.0679443792369
ACH-000263,-0.176744655492
ACH-000264,-0.29700001579
ACH-000265,-0.25945958008299996
ACH-000266,-0.358878276241
ACH-000272,-0.286939281272
ACH-000273,-0.10136059673
ACH-000274,-0.271697453818
