,CRIPT (9419)
ACH-000004,-0.208607390306
ACH-000007,-0.489174814838
ACH-000009,-0.40226866649099996
ACH-000011,-0.25747111273699996
ACH-000012,-0.342090397883
ACH-000013,-0.322586240395
ACH-000014,-0.475224670052
ACH-000015,-0.297075780029
ACH-000017,-0.349616121594
ACH-000018,-0.508817430206
ACH-000019,-0.111080829012
ACH-000021,-0.363307067769
ACH-000022,-0.182581885594
ACH-000025,-0.359915687685
ACH-000028,-0.24565702908599998
ACH-000030,-0.274238738113
ACH-000035,-0.40619704529899997
ACH-000036,-0.784170643734
ACH-000037,-0.534062544701
ACH-000039,-0.34975642504500004
ACH-000040,-0.46223460156199997
ACH-000041,-0.5022247806100001
ACH-000042,-0.398504342254
ACH-000045,-0.19682029268399998
ACH-000047,-0.385282306879
ACH-000052,-0.534111626106
ACH-000053,-0.774430380926
ACH-000054,-0.28639379338599996
ACH-000055,-0.294254948307
ACH-000060,-0.521362389376
ACH-000067,-0.27388524791900004
ACH-000070,-0.478611576255
ACH-000075,-0.342318571847
ACH-000078,-0.362090290773
ACH-000082,-0.42990127053800004
ACH-000085,-0.359751563218
ACH-000086,-0.357824455166
ACH-000087,-0.120355499659
ACH-000092,-0.394073307689
ACH-000095,-0.290496639421
ACH-000097,-0.259403299504
ACH-000098,-0.190915612504
ACH-000099,-0.260041611526
ACH-000108,-0.398033123591
ACH-000113,-0.49317419101599996
ACH-000115,-0.349913869771
ACH-000116,-0.373886113711
ACH-000118,-0.6755857934999999
ACH-000120,-0.464981760475
ACH-000123,-0.37009620217100003
ACH-000127,-0.382956977785
ACH-000128,-0.22612103851
ACH-000132,-0.325663402439
ACH-000133,-0.377678703046
ACH-000137,-0.297803755898
ACH-000138,-0.29042132951099997
ACH-000142,-0.279119009975
ACH-000143,-0.244001103561
ACH-000146,-0.223812374775
ACH-000148,-0.305153456926
ACH-000150,-0.300225991358
ACH-000152,-0.466045293489
ACH-000153,-0.400890225284
ACH-000159,-0.288720744947
ACH-000160,-0.257662088325
ACH-000163,-0.32983141386799997
ACH-000167,-0.40729778741800005
ACH-000168,-0.040225615684500005
ACH-000169,-0.187723194536
ACH-000178,-0.290823247083
ACH-000182,-0.187389131641
ACH-000183,-0.305535309772
ACH-000188,-0.562774817893
ACH-000189,-0.48436311321099995
ACH-000190,-0.776143934771
ACH-000198,-0.0984899532724
ACH-000204,-0.32814997000999996
ACH-000206,-0.36713947579800005
ACH-000207,-0.47087923215000005
ACH-000211,-0.24506768271899998
ACH-000215,-0.303493001831
ACH-000221,-0.208555407812
ACH-000222,-0.205483407618
ACH-000223,-0.35336595678800004
ACH-000226,-0.9186822577399999
ACH-000227,-0.424914996659
ACH-000228,-0.39172433353299996
ACH-000231,-0.37787938509900004
ACH-000232,-0.103228775161
ACH-000233,-0.323948649184
ACH-000234,-0.32708914345400003
ACH-000235,-0.23280334682599998
ACH-000237,-0.47539518064099995
ACH-000238,-0.32093902888500003
ACH-000243,-0.417198863761
ACH-000244,-0.516811834385
ACH-000246,-0.291989546011
ACH-000248,-0.166545979092
ACH-000250,-0.452436266899
ACH-000251,-0.5480776464399999
ACH-000253,-0.32871455047200004
ACH-000255,-0.361933668274
ACH-000256,-0.102131729333
ACH-000257,-0.366562038873
ACH-000258,-0.457736434481
ACH-000259,-0.169154913637
ACH-000260,-0.35728447317699996
ACH-000261,-0.374551559191
ACH-000262,-0.490712879723
ACH-000263,-0.319519106289
ACH-000264,-0.41313159086499995
ACH-000265,-0.457091036862
ACH-000266,-0.34070782039499997
ACH-000272,-0.135328576487
ACH-000273,-0.192606184293
ACH-000274,-0.44792316627400003
ACH-000277,-0.159272464728
ACH-000278,-0.298841883071
ACH-000279,-0.45550424351499996
ACH-000280,-0.410306449046
ACH-000281,-0.33662400566699996
ACH-000288,-0.366842501245
ACH-000291,-0.0440667901095
ACH-000293,-0.44301211692299997
ACH-000294,-0.372574162072
ACH-000295,-0.338739515685
ACH-000296,-0.257936741486
ACH-000302,-0.33080830606600004
ACH-000304,0.09620894469289999
ACH-000307,-0.42863237276199995
ACH-000308,-0.388033916846
ACH-000310,-0.35002635063500004
ACH-000311,-0.388876416632
ACH-000312,-0.46677365076000005
ACH-000315,-0.529157761937
ACH-000316,-0.311188963554
ACH-000317,-0.621051893156
ACH-000318,-0.350081813171
ACH-000319,-0.534943770231
ACH-000320,-0.316254165024
ACH-000322,-0.41047134012500003
ACH-000323,-0.554044538093
ACH-000324,-0.188239090827
ACH-000329,-0.35205247648500004
ACH-000330,-0.17841057496100002
ACH-000331,-0.34811381636999994
ACH-000332,-0.41395670009700003
ACH-000334,-0.31232625601999997
ACH-000335,-0.435501660745
ACH-000336,-0.430849778517
ACH-000337,-0.286068130739
