,ZSCAN5A (79149)
ACH-000004,-0.370710913022
ACH-000007,0.110621162259
ACH-000009,-0.00056305812343
ACH-000011,0.059009083963
ACH-000012,-0.10660363231799999
ACH-000013,-0.171645331473
ACH-000014,-0.136975802397
ACH-000015,-0.09816515789110002
ACH-000017,-0.057876171396
ACH-000018,0.234400418873
ACH-000019,0.0734452280283
ACH-000021,-0.133006572091
ACH-000022,-0.270151787791
ACH-000025,0.0268922887573
ACH-000028,-0.12025759237400001
ACH-000030,-0.353014766512
ACH-000035,0.13719788533299998
ACH-000036,0.059367687697700004
ACH-000037,0.057589907121400004
ACH-000039,0.0699374201562
ACH-000040,-0.159492010107
ACH-000041,0.0578690371369
ACH-000042,0.048688026513400005
ACH-000045,-0.126464716379
ACH-000047,-0.05233324421
ACH-000052,-0.360993813707
ACH-000053,-0.0765139841911
ACH-000054,-0.224424222336
ACH-000055,-0.0371508852306
ACH-000060,0.037578960181
ACH-000067,-0.0608201389694
ACH-000070,-0.19384799313099998
ACH-000075,0.0261347802446
ACH-000078,-0.0431359072525
ACH-000082,-0.18421482113600002
ACH-000085,0.120021630651
ACH-000086,-0.0753048828212
ACH-000087,-0.093910849463
ACH-000092,-0.08969939225299998
ACH-000095,-0.12317595620100001
ACH-000097,-0.056082453456699995
ACH-000098,-0.057406699236500006
ACH-000099,-0.202468030984
ACH-000108,-0.182700210175
ACH-000113,-0.0988507006148
ACH-000115,-0.317647465666
ACH-000116,-0.0724738763008
ACH-000118,-0.0212364559767
ACH-000120,0.118403902171
ACH-000123,-0.0679493948164
ACH-000127,-0.19063371494000003
ACH-000128,-0.14801523796399998
ACH-000132,-0.078004728646
ACH-000133,-0.0329173746812
ACH-000137,0.245298489604
ACH-000138,-0.27354986752599997
ACH-000142,-0.16838175907900002
ACH-000143,-0.099958225929
ACH-000146,-0.011506119878799998
ACH-000148,-0.08996491723729999
ACH-000150,-0.245990593683
ACH-000152,-0.0562401857148
ACH-000153,-0.282871885471
ACH-000159,-0.17174973157099999
ACH-000160,-0.128084959243
ACH-000163,-0.0518627135855
ACH-000167,-0.130226742969
ACH-000168,0.043625201946300006
ACH-000169,-0.0104613066554
ACH-000178,0.00271173916484
ACH-000182,-0.140731927577
ACH-000183,-0.00710712392192
ACH-000188,0.00254338620247
ACH-000189,0.261573358548
ACH-000190,0.0119475417552
ACH-000198,0.0883304175343
ACH-000204,-0.246562972044
ACH-000206,0.0934422779525
ACH-000207,0.150014175506
ACH-000211,-0.0909765208532
ACH-000215,-0.11809609847500001
ACH-000221,-0.103092651191
ACH-000222,-0.014326982774
ACH-000223,-0.0703540113498
ACH-000226,0.0274882053872
ACH-000227,0.00867982902651
ACH-000228,-0.0670578436325
ACH-000231,-0.0545174862973
ACH-000232,-0.14199932744000002
ACH-000233,-0.19688709255399997
ACH-000234,0.029154037936299997
ACH-000235,-0.024286664755700002
ACH-000237,-0.295217419087
ACH-000238,-0.0935456525344
ACH-000243,-0.269672794993
ACH-000244,-0.17234822876400002
ACH-000246,-0.149314179749
ACH-000248,0.014017373338
ACH-000250,-0.0823975835927
ACH-000251,-0.07673369041980001
ACH-000253,-0.0870668365429
ACH-000255,-0.0360764740396
ACH-000256,-0.202181835394
ACH-000257,-0.12111480145999999
ACH-000258,-0.0141022340799
ACH-000259,-0.0435541961959
ACH-000260,0.029169849885299998
ACH-000261,-0.0429841622997
ACH-000262,-0.15382474830999998
ACH-000263,-0.29235920390000003
ACH-000264,0.00908727812468
ACH-000265,-0.225066106349
ACH-000266,-0.0667449256973
ACH-000272,-0.0766602198334
ACH-000273,-0.234636608092
ACH-000274,0.029051134602099998
ACH-000277,-0.047946568847099996
ACH-000278,0.07418136268089999
ACH-000279,-0.07721477403730001
ACH-000280,-0.17668920338799998
ACH-000281,-0.250916330517
ACH-000288,0.0187048897413
ACH-000291,-0.30096879652499997
ACH-000293,0.08215103694889998
ACH-000294,0.00701308450668
ACH-000295,0.10867786556
ACH-000296,0.026260425645
ACH-000302,-0.278248264641
ACH-000304,-0.109298709538
ACH-000307,-0.07446961586569999
ACH-000308,-0.0118345048871
ACH-000310,-0.0833451755211
ACH-000311,-0.296033566171
ACH-000312,-0.00652786610474
ACH-000315,0.0319499167579
ACH-000316,0.0248832128552
ACH-000317,-0.04717381558019999
ACH-000318,-0.08653775791380001
ACH-000319,0.029193424778299996
ACH-000320,-0.080302585582
ACH-000322,0.217920789638
ACH-000323,-0.058983046947999995
ACH-000324,-0.285480770143
ACH-000329,-0.112624377509
ACH-000330,-0.0211750864121
ACH-000331,-0.00154362839257
ACH-000332,-0.16850950239300003
ACH-000334,-0.224771906117
ACH-000335,-0.0679260503365
ACH-000336,0.0262479256233
ACH-000337,-0.0865060200096
ACH-000339,-0.111638730116
ACH-000341,-0.157532318893
ACH-000348,0.106672881677
ACH-000350,-0.142107773163
ACH-000352,-0.202185302632
ACH-000356,0.0804238294048
ACH-000361,-0.158789226835
ACH-000362,-0.184052562062
ACH-000363,-0.12018201539699999
ACH-000364,-0.157698009134
ACH-000365,-0.050232815294699994
ACH-000366,-0.257930960084
ACH-000368,-0.045422717468900004
ACH-000374,0.00952153355547
ACH-000375,-0.032544185811400006
ACH-000376,-0.0920721631287
ACH-000381,-0.13081727918
ACH-000383,-0.0703089324693
ACH-000387,9.03418331273e-05
