,INO80C (125476)
ACH-000004,-0.0292762470897
ACH-000007,-0.300945269206
ACH-000009,-0.156418181486
ACH-000011,-0.13956326254
ACH-000012,-0.032120119815
ACH-000013,-0.278057426261
ACH-000014,-0.381430920832
ACH-000015,-0.18422050727400002
ACH-000017,-0.0537777986011
ACH-000018,-0.344174998996
ACH-000019,-0.21680472679
ACH-000021,0.0356663256198
ACH-000022,0.030252942331500002
ACH-000025,-0.458002316368
ACH-000028,-0.198832218142
ACH-000030,0.06969027274299999
ACH-000035,-0.16537447096
ACH-000036,-0.364842711538
ACH-000037,-0.536530850137
ACH-000039,0.0563154479669
ACH-000040,0.06783092969480001
ACH-000041,-0.299666369508
ACH-000042,-0.0644863959205
ACH-000045,-0.222348003041
ACH-000047,0.286384506878
ACH-000052,-0.131930210109
ACH-000053,-0.152899389753
ACH-000054,-0.0212543166609
ACH-000055,-0.0969339380608
ACH-000060,-0.13507868603599998
ACH-000067,0.0178945349996
ACH-000070,0.0130028356556
ACH-000075,0.0833149587719
ACH-000078,-0.109486263073
ACH-000082,0.032412094382199996
ACH-000085,-0.28344863841699997
ACH-000086,-0.20018949207000003
ACH-000087,-0.049970092983599994
ACH-000092,-0.32913644066
ACH-000095,-0.13986207205099999
ACH-000097,-0.10132125997000001
ACH-000098,-0.36289822227799995
ACH-000099,-0.00117770348243
ACH-000108,-0.0374286361193
ACH-000113,-0.40771955964900003
ACH-000115,-0.38066523491
ACH-000116,-0.167140809324
ACH-000118,0.218524813919
ACH-000120,0.0548204673775
ACH-000123,-0.06033342924880001
ACH-000127,-0.00513957505541
ACH-000128,0.0411206182744
ACH-000132,-0.245560177165
ACH-000133,-0.0118301360466
ACH-000137,-0.137191674653
ACH-000138,-0.175635569656
ACH-000142,-0.114769819735
ACH-000143,-0.44609290964599996
ACH-000146,-0.0647539805301
ACH-000148,-0.187402850907
ACH-000150,0.432002689253
ACH-000152,-0.0739045877727
ACH-000153,-0.43498271760300006
