,EVI5L (115704)
ACH-000004,-0.473107166878
ACH-000007,-0.162490281066
ACH-000009,-0.0204363657207
ACH-000011,-0.000328440842264
ACH-000012,-0.215569288424
ACH-000013,-0.409417241043
ACH-000014,-0.273496950702
ACH-000015,-0.23625213289299998
ACH-000017,-0.191523093011
ACH-000018,-0.245649073723
ACH-000019,-0.513033505472
ACH-000021,-0.232775682821
ACH-000022,-0.178448764297
ACH-000025,-0.282525218998
ACH-000028,-0.315991665082
ACH-000030,-0.24936178966800002
ACH-000035,-0.140231778818
ACH-000036,-0.122880263561
ACH-000037,-0.209398031453
ACH-000039,-0.10552317090399999
ACH-000040,-0.132890949829
ACH-000041,-0.172870111915
ACH-000042,-0.112415806731
ACH-000045,-0.26931637573
ACH-000047,-0.292885922077
ACH-000052,0.0478407291108
ACH-000053,-0.10899360181399999
ACH-000054,-0.115749688816
ACH-000055,-0.426953494343
ACH-000060,0.09709471493899999
ACH-000067,-0.12443722925
ACH-000070,-0.284000813694
ACH-000075,-0.34742022836900005
ACH-000078,-0.0187815981196
ACH-000082,-0.0732380098989
ACH-000085,-0.00321738661087
ACH-000086,-0.284875475326
ACH-000087,-0.447673527025
ACH-000092,-0.218737310727
ACH-000095,-0.221469041507
ACH-000097,-0.215561384815
ACH-000098,-0.357577095299
ACH-000099,-0.303391000379
ACH-000108,-0.13848999185
ACH-000113,-0.132980871875
ACH-000115,-0.37475253900300004
ACH-000116,-0.272641000086
ACH-000118,-0.308378323398
ACH-000120,-0.029242453964800002
ACH-000123,-0.06123837738869999
ACH-000127,-0.281507212597
ACH-000128,-0.346699676387
ACH-000132,-0.0821748883294
ACH-000133,-0.0365145321654
ACH-000137,-0.49719163559699997
ACH-000138,-0.163190495849
ACH-000142,-0.28030933927900004
ACH-000143,-0.47618077846900003
ACH-000146,-0.185942089401
ACH-000148,-0.141427108381
ACH-000150,-0.11434244233799999
ACH-000152,-0.264398549865
ACH-000153,0.347510471313
ACH-000159,-0.30960557546100004
ACH-000160,-0.10265092836100001
ACH-000163,0.049975950077599994
ACH-000167,-0.16893276146800001
ACH-000168,-0.19470442568399998
ACH-000169,-0.22745974975000002
ACH-000178,-0.159092463888
ACH-000182,-0.147518845802
ACH-000183,-0.225476894891
ACH-000188,-0.37608447337800005
ACH-000189,-0.311304437674
ACH-000190,-0.131091591271
ACH-000198,-0.059209258678400004
ACH-000204,-0.467743785021
ACH-000206,-0.22295844245000002
ACH-000207,-0.30593825797400004
ACH-000211,-0.21208548084000003
ACH-000215,-0.09481477649900001
ACH-000221,-0.12157699609400001
ACH-000222,-0.301098448835
ACH-000223,-0.308943066256
ACH-000226,-0.248507945312
ACH-000227,-0.06462139559840001
ACH-000228,-0.112850571563
ACH-000231,-0.142573245255
ACH-000232,-0.101913468953
ACH-000233,-0.343381745681
ACH-000234,-0.0972980155714
ACH-000235,-0.138796549651
ACH-000237,-0.273819539914
ACH-000238,-0.07078906578139998
ACH-000243,-0.189594922357
ACH-000244,-0.135129875454
ACH-000246,-0.296088738199
ACH-000248,-0.302106634505
ACH-000250,-0.165486053917
ACH-000251,0.034762755012
ACH-000253,-0.237668164083
ACH-000255,-0.128819564925
ACH-000256,-0.153014033544
ACH-000257,-0.0718713967511
ACH-000258,-0.112648838126
ACH-000259,-0.06501316661859999
ACH-000260,-0.176031050302
ACH-000261,-0.19397850300299999
ACH-000262,-0.156127869903
ACH-000263,-0.256664918094
ACH-000264,-0.117169917303
ACH-000265,-0.156542064592
ACH-000266,-0.0888116302943
ACH-000272,-0.144319593747
ACH-000273,-0.0949746634572
ACH-000274,-0.185196377008
ACH-000277,-0.117302237558
ACH-000278,-0.134822676387
ACH-000279,0.018554173202
ACH-000280,-0.129107213583
ACH-000281,-0.00682274946592
ACH-000288,-0.157458189633
ACH-000291,-0.180814617668
ACH-000293,-0.344443317804
ACH-000294,-0.17355805894999998
ACH-000295,-0.0007120645799949999
ACH-000296,-0.151077835511
ACH-000302,-0.413578554158
ACH-000304,0.00972891055476
ACH-000307,-0.10498871542400001
ACH-000308,-0.235086777788
ACH-000310,-0.0658802000693
ACH-000311,-0.028897217046
ACH-000312,-0.08686384661299999
ACH-000315,-0.43041098496200003
ACH-000316,-0.177032030533
ACH-000317,-0.24177092828699998
ACH-000318,-0.11931581137
ACH-000319,-0.471481368922
ACH-000320,-0.183625171189
ACH-000322,-0.241470200911
ACH-000323,-0.10617319424100001
ACH-000324,0.0329623945819
ACH-000329,-0.0633416048083
ACH-000330,-0.196003436854
ACH-000331,-0.388670342586
ACH-000332,-0.0852899602595
ACH-000334,-0.310457909854
ACH-000335,-0.184222122107
ACH-000336,0.06883294911230001
ACH-000337,-0.20170564586599998
ACH-000339,-0.20686220511300002
ACH-000341,-0.558905174185
ACH-000348,-0.303132717269
ACH-000350,-0.000631891998942
ACH-000352,-0.152148412298
ACH-000356,-0.210389607599
ACH-000361,-0.266611922735
ACH-000362,-0.254102541911
ACH-000363,-0.358573591643
ACH-000364,-0.312326313521
ACH-000365,-0.08939082062889998
ACH-000366,-0.11624637588600001
ACH-000368,-0.005506307760000001
ACH-000374,-0.004421386448630001
ACH-000375,-0.0634289594206
ACH-000376,0.0055697996343699995
ACH-000381,-0.132103895231
ACH-000383,-0.14397272049499998
ACH-000387,-0.153383451185
ACH-000389,-0.189026024106
ACH-000390,-0.1389223863
ACH-000393,-0.255502021852
ACH-000395,-0.1351334197
ACH-000397,-0.029563312270299996
ACH-000401,-0.20450319517499999
ACH-000402,-0.140921896234
ACH-000403,-0.1381849295
ACH-000404,-0.507704732685
ACH-000406,-0.14064771234
ACH-000407,-0.144537774535
ACH-000408,-0.00672672074656
ACH-000410,-0.185382621667
ACH-000411,-0.355690887553
ACH-000414,0.0060602257814
ACH-000415,-0.201798559417
ACH-000416,-0.253910429198
ACH-000420,-0.179270494023
ACH-000421,-0.0681455844307
ACH-000424,-0.24390419647300002
ACH-000425,-0.247247482726
ACH-000426,0.150567825243
ACH-000427,-0.307683324998
ACH-000433,-0.379560773806
ACH-000436,0.09612079120230001
ACH-000444,-0.190574705546
ACH-000445,-0.222048543297
ACH-000448,-0.20828901346999998
ACH-000450,-0.289059492997
ACH-000452,-0.21438660443399998
ACH-000454,-0.420478490863
