,MEIOB (254528)
ACH-000004,0.0850395656815
ACH-000007,0.130601598648
ACH-000009,-0.034607538037300004
ACH-000011,-0.129876271775
ACH-000012,0.0221997514072
ACH-000013,-0.024098651393800002
ACH-000014,-0.130271774276
ACH-000015,0.0024035906347800004
ACH-000017,-0.13679596918
ACH-000018,-0.00581959677221
ACH-000019,0.0277914613075
ACH-000021,-0.0948164764177
ACH-000022,-0.101128781615
ACH-000025,-0.137324735865
ACH-000028,-0.0831194245346
ACH-000030,-0.051210195745800005
ACH-000035,-0.0896545893588
ACH-000036,-0.261926681949
ACH-000037,-0.168971448528
ACH-000039,-0.104581813357
ACH-000040,-0.0594825278957
ACH-000041,-0.0346622129942
ACH-000042,-0.008852759258879999
ACH-000045,-0.125610846817
ACH-000047,0.00493516794157
ACH-000052,0.148015742917
ACH-000053,-0.023514116055799998
ACH-000054,-0.116907986045
ACH-000055,-0.0585947849914
ACH-000060,-0.107202162133
ACH-000067,0.121109379994
ACH-000070,-0.0062781606377299995
ACH-000075,-0.137046117809
ACH-000078,-0.17698401063799998
ACH-000082,-0.0641883662643
ACH-000085,-0.20457734280900003
ACH-000086,-0.020029706369999997
ACH-000087,-0.0258590823147
ACH-000092,-0.097150246634
ACH-000095,-0.08555293163750001
ACH-000097,0.110545723926
ACH-000098,-0.133726161057
ACH-000099,-0.10598605690400001
ACH-000108,-0.0378226965325
ACH-000113,-0.132067941051
ACH-000115,-0.127291640659
ACH-000116,-0.163737259692
ACH-000118,-0.14776007574799999
ACH-000120,-0.130697180857
ACH-000123,-0.013242334800200001
ACH-000127,-0.0609212578058
ACH-000128,0.0659990731775
ACH-000132,-0.21516586880199998
ACH-000133,-0.215272636234
ACH-000137,-0.10134705861300002
ACH-000138,-0.11073085666200001
ACH-000142,-0.285169481258
ACH-000143,0.07548028013180001
ACH-000146,-0.061906715363499995
ACH-000148,-0.0760840792164
ACH-000150,-0.107950994699
ACH-000152,0.0827705645017
ACH-000153,0.07609496039210001
ACH-000159,-0.0368332184447
ACH-000160,-0.11696605119999999
ACH-000163,-0.0990738539567
ACH-000167,-0.175104487952
ACH-000168,-0.0550292855415
ACH-000169,-0.139005768576
ACH-000178,-0.107702298582
ACH-000182,0.0210133549352
ACH-000183,-0.039792443251199995
ACH-000188,-0.00759674780054
ACH-000189,0.155506991504
ACH-000190,-0.0447492771733
ACH-000198,-0.204171095064
ACH-000204,-0.238081310472
ACH-000206,0.11888407177999999
ACH-000207,-0.181419846878
ACH-000211,-0.0029883804560199997
ACH-000215,-0.16629442384600002
ACH-000221,-0.0188668833229
ACH-000222,-0.120151377256
ACH-000223,0.0334158244504
ACH-000226,-0.121760706242
ACH-000227,-0.200352152479
ACH-000228,0.0641510523336
ACH-000231,-0.0546024018597
ACH-000232,-0.0717318978065
ACH-000233,-0.0896734423638
ACH-000234,0.00090579245499
