,YAE1D1 (57002)
ACH-000004,-0.751732692969
ACH-000007,-0.448403889409
ACH-000009,-0.7869559101989999
ACH-000011,-0.504458961868
ACH-000012,-0.623597156147
ACH-000013,-0.910648391354
ACH-000014,-0.779319347561
ACH-000015,-0.8012195981319999
ACH-000017,-0.763977663285
ACH-000018,-0.800079376724
ACH-000019,-0.5946591618029999
ACH-000021,-0.636051708546
ACH-000022,-0.677757211573
ACH-000025,-0.637093224638
ACH-000028,-0.59979267561
ACH-000030,-0.5999675456369999
ACH-000035,-0.910291131619
ACH-000036,-0.61226604698
ACH-000037,-0.821839987025
ACH-000039,-0.435104290652
ACH-000040,-0.829600218863
ACH-000041,-0.8740303898459999
ACH-000042,-0.68960414844
ACH-000045,-0.6974649902879999
ACH-000047,-0.629952721416
ACH-000052,-0.789296762701
ACH-000053,-0.902299199348
ACH-000054,-0.9409110465080001
ACH-000055,-0.6763807644900001
ACH-000060,-0.536928996152
ACH-000067,-0.825535535585
ACH-000070,-0.814890765356
ACH-000075,-1.1820849058
ACH-000078,-0.645684427038
ACH-000082,-0.951990585125
ACH-000085,-1.07308533017
ACH-000086,-0.648263073402
ACH-000087,-0.364421097224
ACH-000092,-0.869799386693
ACH-000095,-0.878321987568
ACH-000097,-0.581281268539
ACH-000098,-0.87181578741
ACH-000099,-0.783745662672
ACH-000108,-0.546953782014
ACH-000113,-1.02079464323
ACH-000115,-0.663630231847
ACH-000116,-0.8345350285340001
ACH-000118,-0.5614910603190001
ACH-000120,-0.501107138536
ACH-000123,-0.765309583776
ACH-000127,-0.765374527461
ACH-000128,-0.867284785926
ACH-000132,-0.75605535872
ACH-000133,-0.856087148032
ACH-000137,-1.0336883474
ACH-000138,-0.688748336373
ACH-000142,-0.5993222321530001
ACH-000143,-0.883427859273
ACH-000146,-0.7619495161759999
ACH-000148,-0.7482209341230001
ACH-000150,-0.667846782864
ACH-000152,-0.92147989787
ACH-000153,-0.628583284781
ACH-000159,-0.9681903381460001
ACH-000160,-0.663876282871
ACH-000163,-0.769993371363
ACH-000167,-1.20089749529
ACH-000168,-0.852180353709
ACH-000169,-0.850969184348
ACH-000178,-0.8155878840369999
ACH-000182,-0.8092556262780001
ACH-000183,-0.637866465136
ACH-000188,-0.625583123197
ACH-000189,-0.720369808645
ACH-000190,-0.9892173058120001
ACH-000198,-0.814673244104
ACH-000204,-0.7541303395569999
ACH-000206,-1.1737222765000002
ACH-000207,-0.240457333754
ACH-000211,-0.764810129909
ACH-000215,-0.869412487225
ACH-000221,-0.8603386310050001
ACH-000222,-0.28742888531800004
ACH-000223,-0.96005553265
ACH-000226,-0.81118662579
ACH-000227,-0.960983799059
ACH-000228,-0.674684914804
ACH-000231,-0.917623601675
ACH-000232,-0.974688837325
ACH-000233,-0.84693684266
ACH-000234,-0.949108278572
ACH-000235,-0.655550538469
ACH-000237,-1.0346508158299998
ACH-000238,-0.7523313659790001
ACH-000243,-0.636319155221
ACH-000244,-0.614711337605
ACH-000246,-0.7554231053300001
ACH-000248,-0.681420536864
ACH-000250,-0.9394181225499999
ACH-000251,-0.317008673465
ACH-000253,-0.841289165562
ACH-000255,-0.662970531628
ACH-000256,-0.7942750825049999
ACH-000257,-0.44009766736999995
ACH-000258,-0.584107114834
ACH-000259,-0.650222710236
ACH-000260,-0.510525199308
ACH-000261,-0.9147790579
ACH-000262,-0.9191583995039999
ACH-000263,-0.756739918372
ACH-000264,-0.9307815143520001
ACH-000265,-0.529302584266
ACH-000266,-0.817570604224
ACH-000272,-0.8555050941
ACH-000273,-0.8175874954919999
ACH-000274,-0.811536760619
ACH-000277,-0.648652176844
ACH-000278,-0.915057054217
ACH-000279,-0.914871440742
ACH-000280,-0.9444370764229999
ACH-000281,-0.881123149651
ACH-000288,-0.765279430936
ACH-000291,-0.8621911816500001
ACH-000293,-0.998498298538
ACH-000294,-0.49569659192599996
