,CCDC144NL (339184)
ACH-000004,-0.154416887911
ACH-000007,-0.367089525184
ACH-000009,-0.7011896925509999
ACH-000011,-0.479343167145
ACH-000012,-0.529475129037
ACH-000013,-0.618760153341
ACH-000014,-0.307838153663
ACH-000015,-0.526246468757
ACH-000017,-0.37964623437399997
ACH-000018,-0.5263228704940001
ACH-000019,-0.6846078349179999
ACH-000021,-0.556180771772
ACH-000022,-0.690065666708
ACH-000025,-0.40290390461099995
ACH-000028,-0.531268420559
ACH-000030,-0.420549641376
ACH-000035,-0.178059959089
ACH-000036,-0.435363155323
ACH-000037,-0.657790612155
ACH-000039,-0.37667019908699995
ACH-000040,-0.550690123207
ACH-000041,-0.5012508219340001
ACH-000042,-0.6556591776139999
ACH-000045,-0.36218295421400004
ACH-000047,-0.31042354810899997
ACH-000052,-0.34659514627800003
ACH-000053,-0.275941944891
ACH-000054,-0.466505777748
ACH-000055,-0.131174295786
ACH-000060,-0.660380096006
ACH-000067,-0.728866464817
ACH-000070,-0.41844855986699997
ACH-000075,-0.60942759633
ACH-000078,-0.600622046706
ACH-000082,-0.9319321575830001
ACH-000085,-0.462945094617
ACH-000086,-0.625699080447
ACH-000087,-0.8053869740590001
ACH-000092,-0.39853598298799997
ACH-000095,-0.630280735304
ACH-000097,-0.646942425567
ACH-000098,-0.398381430362
ACH-000099,-0.6647652571670001
ACH-000108,-0.46750659651500004
ACH-000113,-0.5455366627780001
ACH-000115,-0.536555577854
ACH-000116,-0.270398216494
ACH-000118,-0.333182738215
ACH-000120,-0.522531245121
ACH-000123,-0.5862335336300001
ACH-000127,-0.39027489905699997
ACH-000128,-0.283598895207
ACH-000132,-0.498665731542
ACH-000133,-0.524259441774
ACH-000137,-0.256849016925
ACH-000138,-0.382236063173
ACH-000142,-0.562669447751
ACH-000143,-0.465812457219
ACH-000146,-0.322709100139
ACH-000148,-0.5703142767539999
ACH-000150,-0.846198676506
ACH-000152,-0.786703307061
ACH-000153,-1.1446838481100001
ACH-000159,-0.312713945857
ACH-000160,-0.335290249923
ACH-000163,-0.44356510828900003
ACH-000167,-0.728929107474
ACH-000168,-0.40201075358599997
ACH-000169,-0.28294413768800003
ACH-000178,-0.328547634855
ACH-000182,-0.6628361532670001
ACH-000183,-0.15897098692199998
ACH-000188,-0.726416731925
ACH-000189,-0.236057283239
ACH-000190,-0.33643318362499997
ACH-000198,-0.41107372755800003
ACH-000204,-0.374557741641
ACH-000206,-0.125774104404
ACH-000207,-0.621126284321
ACH-000211,-0.547447155898
ACH-000215,-0.318044083576
ACH-000221,-0.446182082732
ACH-000222,-0.244463220215
ACH-000223,-0.485222458191
ACH-000226,-0.410885599567
ACH-000227,-0.436816754718
ACH-000228,-0.352041514544
ACH-000231,-0.44419131910899995
ACH-000232,-0.456009562038
ACH-000233,-0.348775334505
ACH-000234,-0.197019792789
ACH-000235,-0.471790639984
ACH-000237,-0.268839938495
ACH-000238,-0.769635458221
ACH-000243,-0.443600975559
ACH-000244,-0.8608480018189999
ACH-000246,-0.4474822206600001
ACH-000248,-0.609188914235
ACH-000250,-0.5171869647199999
ACH-000251,-0.7704798014450001
ACH-000253,-0.50884432581
ACH-000255,-0.435444530946
ACH-000256,-0.6950828455820001
ACH-000257,-0.465635923806
ACH-000258,-0.34414617203599995
ACH-000259,-0.425096905762
ACH-000260,-0.37499196996
ACH-000261,-0.29087081855999997
ACH-000262,-0.365007078596
ACH-000263,-0.371062451297
ACH-000264,-0.45662386531599997
ACH-000265,-0.276095227677
ACH-000266,-0.469233771769
ACH-000272,-0.432337556711
ACH-000273,-0.53833848692
ACH-000274,-0.579728185558
ACH-000277,-0.710909527614
ACH-000278,-0.47317321162
ACH-000279,-0.416475370702
ACH-000280,-0.42457545744499997
ACH-000281,-0.307233270954
ACH-000288,-0.6779644316869999
ACH-000291,-0.333221353399
ACH-000293,-0.40103622915200005
ACH-000294,-0.40875173729000003
ACH-000295,-0.33178253098
ACH-000296,-0.629191649521
ACH-000302,-0.33369471153999997
ACH-000304,-0.165119546679
ACH-000307,-0.275364399283
ACH-000308,-0.273615764481
ACH-000310,-0.58459950322
ACH-000311,-0.34392657745300004
ACH-000312,-0.593298803351
ACH-000315,-0.223980762203
ACH-000316,-0.310878614861
ACH-000317,-0.127532836766
ACH-000318,-0.393028015519
ACH-000319,-0.470174852615
ACH-000320,-0.461451600696
ACH-000322,-0.640454011656
ACH-000323,-0.389158299377
ACH-000324,-0.488013739107
ACH-000329,-0.578261317249
ACH-000330,-0.19040968483399998
ACH-000331,-0.6834343872059999
ACH-000332,-0.423773437266
ACH-000334,-0.834953850508
ACH-000335,-0.09748362143210001
ACH-000336,-0.498603715561
ACH-000337,-0.308334129032
ACH-000339,-0.7199602508349999
ACH-000341,-0.682288571108
ACH-000348,-0.34191219559600006
ACH-000350,-0.643867053771
ACH-000352,-0.31459178798099996
ACH-000356,-0.5578364645889999
ACH-000361,-0.218439880716
ACH-000362,-0.44823432122
ACH-000363,-0.387415684959
ACH-000364,-0.49939112081799997
ACH-000365,-0.34770024812
