,RSPH4A (345895)
ACH-000004,0.0843955790834
ACH-000007,0.24009911220400001
ACH-000009,0.138600935322
ACH-000011,-0.136245966056
ACH-000012,8.361260041600001e-05
ACH-000013,0.00292317119644
ACH-000014,-0.154736157936
ACH-000015,0.07602979721269999
ACH-000017,-0.0321140486414
ACH-000018,-0.0656774779895
ACH-000019,0.0869192353417
ACH-000021,0.0126364467967
ACH-000022,0.07940624245450001
ACH-000025,0.0372819032596
ACH-000028,-0.006900478154390001
ACH-000030,0.08686483984179999
ACH-000035,0.10960551687799999
ACH-000036,-0.105622488636
ACH-000037,0.173068957844
ACH-000039,-0.24944670948699998
ACH-000040,0.015781893217700002
ACH-000041,0.190785974819
ACH-000042,0.049842366301300005
ACH-000045,0.189964448649
ACH-000047,-0.026738582224
ACH-000052,-0.164798411979
ACH-000053,0.09980840243519999
ACH-000054,0.0844191047368
ACH-000055,0.047559462186000004
ACH-000060,-0.161310269039
ACH-000067,0.0312376657056
ACH-000070,0.20923818182300002
ACH-000075,-0.116354734452
ACH-000078,0.325647807954
ACH-000082,0.018221991505
ACH-000085,0.0484272826963
ACH-000086,0.030617493403500003
ACH-000087,-0.060649127357900005
ACH-000092,-0.103674365116
ACH-000095,0.0726773527977
ACH-000097,-0.049452584233599994
ACH-000098,0.029915426548599997
ACH-000099,0.0903553288367
ACH-000108,0.00954848340657
ACH-000113,0.09613680995719999
ACH-000115,0.0051732198149999995
ACH-000116,-0.0199421646
ACH-000118,0.0726955013783
ACH-000120,0.009982536793889999
ACH-000123,0.136787624029
ACH-000127,-0.0530694791144
ACH-000128,-0.0743966533609
ACH-000132,-0.096038180497
ACH-000133,0.0333305939576
ACH-000137,0.150772401577
ACH-000138,0.178216327741
ACH-000142,0.151820241976
ACH-000143,-0.13717769909299998
ACH-000146,0.203734871064
ACH-000148,0.08925980657430001
ACH-000150,-0.000668824965007
ACH-000152,0.0401987917193
ACH-000153,-0.268493232343
ACH-000159,-0.025704097051599997
ACH-000160,-0.102130486011
ACH-000163,0.134030112993
ACH-000167,-0.271183693842
ACH-000168,0.106551238312
ACH-000169,-0.0540407717875
ACH-000178,-0.0101632107482
ACH-000182,0.016336186401200003
ACH-000183,-0.144162156273
ACH-000188,0.026958362832800002
ACH-000189,0.245836319443
ACH-000190,0.11145500305600001
ACH-000198,-0.0207544873816
ACH-000204,-0.482540168516
ACH-000206,-0.0895215083282
ACH-000207,-0.0539162447547
ACH-000211,0.0866625631267
ACH-000215,0.143945678938
ACH-000221,0.0899887662689
ACH-000222,0.243298523362
ACH-000223,0.0264809803039
ACH-000226,-0.17539782642
ACH-000227,-0.0606999777826
ACH-000228,0.11511618600700001
ACH-000231,0.0977539571005
ACH-000232,0.091043601326
ACH-000233,0.043154104706699996
ACH-000234,0.03862187652
ACH-000235,0.132635568972
ACH-000237,0.0506729905134
ACH-000238,-0.103681810103
ACH-000243,0.142022335892
ACH-000244,-0.062819379314
ACH-000246,-0.157804717042
ACH-000248,-0.110444981131
ACH-000250,0.0571853092408
ACH-000251,-0.134199566915
ACH-000253,-0.0811704555207
ACH-000255,-0.0125159624235
ACH-000256,-0.225507837428
ACH-000257,-0.046254198942599994
ACH-000258,0.394940989684
ACH-000259,0.053847776495000006
ACH-000260,0.119313513474
ACH-000261,-0.04988952183519999
ACH-000262,0.019081970287900003
ACH-000263,-0.272141875265
ACH-000264,0.0300819278592
ACH-000265,0.0881889527561
ACH-000266,0.07430264983610001
ACH-000272,0.0675778079178
ACH-000273,-0.0046621105141
ACH-000274,0.0176448079077
ACH-000277,0.0188131962317
ACH-000278,0.06523430929280001
