,CCM2L (140706)
ACH-000004,-0.210521888731
ACH-000007,0.229552168627
ACH-000009,-0.0643020678833
ACH-000011,0.262071905308
ACH-000012,0.16149987178300002
ACH-000013,0.0745761326324
ACH-000014,0.194648608646
ACH-000015,0.133445634309
ACH-000017,0.26113410511999996
ACH-000018,-0.07104347480499999
ACH-000019,0.20576055733800003
ACH-000021,0.0758072278144
ACH-000022,0.0508573626365
ACH-000025,-0.0326777732153
ACH-000028,0.122522865725
ACH-000030,0.0100227427775
ACH-000035,0.165837268839
ACH-000036,0.0758977727653
ACH-000037,0.142187993737
ACH-000039,0.0475996426607
ACH-000040,0.15518966361199998
ACH-000041,0.374835889468
ACH-000042,-0.0311107142204
ACH-000045,0.07553610620489999
ACH-000047,0.190318113809
ACH-000052,0.175076970134
ACH-000053,0.0161123882959
ACH-000054,0.10906108745200001
ACH-000055,0.09456775756760001
ACH-000060,0.14051451379000002
ACH-000067,0.118048714338
ACH-000070,0.139797694563
ACH-000075,-0.20926087447
ACH-000078,0.121310855318
ACH-000082,0.05639177193659999
ACH-000085,0.19702565841699998
ACH-000086,-0.079327228975
ACH-000087,0.170832607335
ACH-000092,-0.055926541913400005
ACH-000095,0.113714885917
ACH-000097,0.09301370253529999
ACH-000098,0.183392484652
ACH-000099,0.16220498448100001
ACH-000108,-0.0553301633837
ACH-000113,0.122679978002
ACH-000115,0.09216686096969999
ACH-000116,0.0868489446711
ACH-000118,0.0382704175271
ACH-000120,0.06631241703139999
ACH-000123,0.08053373968189999
ACH-000127,0.22542551268000002
ACH-000128,0.182327779566
ACH-000132,0.213735678593
ACH-000133,0.0712533821854
ACH-000137,0.12600256383300001
ACH-000138,0.179659773449
ACH-000142,0.0779504858742
ACH-000143,0.15435836052899998
ACH-000146,0.0656840665211
ACH-000148,0.000265691580964
ACH-000150,0.166585303541
ACH-000152,0.142384047446
ACH-000153,-0.242237901286
ACH-000159,0.19151625439199998
ACH-000160,0.14360546694499998
ACH-000163,-0.082086318278
ACH-000167,0.332533437389
ACH-000168,0.275442284506
ACH-000169,0.0617886251987
ACH-000178,0.055670455749900004
ACH-000182,0.0635782524343
ACH-000183,0.136970478651
ACH-000188,0.24113284210799998
ACH-000189,-0.00830357432595
ACH-000190,-0.0923298583488
ACH-000198,0.210989571003
ACH-000204,0.013141616899899998
ACH-000206,-0.0656652561689
ACH-000207,0.463963198107
ACH-000211,0.167563429015
ACH-000215,0.00545833635629
ACH-000221,0.05662811803719999
ACH-000222,-0.05092156136440001
ACH-000223,0.233901737916
ACH-000226,-0.04139965982
ACH-000227,0.11790367658600001
ACH-000228,0.134236985325
ACH-000231,-0.0324785629657
ACH-000232,0.131243022184
ACH-000233,-0.0870228442771
ACH-000234,0.045835152416900005
ACH-000235,0.0464589411895
ACH-000237,0.038430003092300005
ACH-000238,0.32683827091699996
ACH-000243,0.0606130012035
ACH-000244,-0.180040395805
ACH-000246,0.0006952814449369999
ACH-000248,0.174575188785
ACH-000250,0.0766279361423
ACH-000251,0.317281883991
ACH-000253,0.20444586654599997
ACH-000255,-0.281652295903
ACH-000256,-0.040158773999300006
ACH-000257,-0.168826231118
ACH-000258,-0.0474645571126
ACH-000259,0.0560937909461
ACH-000260,0.006090676509369999
ACH-000261,0.12920250853499998
ACH-000262,0.10368134205
ACH-000263,-0.243106448059
ACH-000264,0.0647162964327
ACH-000265,-0.040000653786699994
ACH-000266,0.15505946664200002
ACH-000272,0.038829683721800005
ACH-000273,0.039897976385800005
ACH-000274,-0.07817090583689999
ACH-000277,-0.229097446778
ACH-000278,0.0228873409202
ACH-000279,0.200289914585
ACH-000280,0.188330040726
ACH-000281,0.553978848882
ACH-000288,0.172263028963
ACH-000291,0.00475289226397
ACH-000293,0.260623800162
ACH-000294,-0.0309293755884
ACH-000295,0.34047096525799997
ACH-000296,0.0046170081011000005
ACH-000302,0.12856590891300002
ACH-000304,0.502931421969
ACH-000307,0.025115613788
ACH-000308,0.120067570411
ACH-000310,0.0455766445484
ACH-000311,0.026001568478200003
ACH-000312,0.0602897115396
ACH-000315,0.422381053002
ACH-000316,0.0536028685447
ACH-000317,0.214436137634
ACH-000318,0.0433390940305
ACH-000319,0.109779416198
ACH-000320,0.23403517505899998
ACH-000322,0.269869422829
ACH-000323,0.170916994391
ACH-000324,0.067173364898
ACH-000329,-0.0674294912794
ACH-000330,0.188305799324
ACH-000331,-0.0330446309188
ACH-000332,0.123007405093
ACH-000334,0.00809450621222
ACH-000335,-0.0879091757099
