,HSPD1 (3329)
ACH-000004,-1.32557266756
ACH-000007,-1.22797393345
ACH-000009,-1.26745954426
ACH-000011,-1.42273678726
ACH-000012,-1.09315815403
ACH-000013,-1.21877081282
ACH-000014,-1.0002602050799998
ACH-000015,-1.19041548365
ACH-000017,-1.17511941721
ACH-000018,-1.49821133825
ACH-000019,-0.9231220351880001
ACH-000021,-0.9584112046200002
ACH-000022,-1.14196163364
ACH-000025,-1.02257538235
ACH-000028,-1.22176214881
ACH-000030,-1.18885966501
ACH-000035,-1.1060298228299998
ACH-000036,-0.883873232624
ACH-000037,-0.571615754831
ACH-000039,-1.14285001731
ACH-000040,-1.4836531507
ACH-000041,-1.20712756126
ACH-000042,-0.936922045467
ACH-000045,-1.34870343247
ACH-000047,-1.3620108806600002
ACH-000052,-1.24771508585
ACH-000053,-1.2576445639
ACH-000054,-1.16351837231
ACH-000055,-1.28250713274
ACH-000060,-1.3606475065099999
ACH-000067,-1.07939496666
ACH-000070,-1.4215340644999999
ACH-000075,-1.10640965958
ACH-000078,-1.15010947377
ACH-000082,-1.30998702809
ACH-000085,-1.38333236581
ACH-000086,-1.26561419329
ACH-000087,-1.20620233756
ACH-000092,-1.11947429782
ACH-000095,-1.25220355677
ACH-000097,-1.17426063516
ACH-000098,-1.24649612455
ACH-000099,-1.08409835687
ACH-000108,-0.931124213239
ACH-000113,-1.13785167361
ACH-000115,-1.3455591119900001
ACH-000116,-1.0542884125299998
ACH-000118,-1.11553334575
ACH-000120,-0.9413048875299999
ACH-000123,-1.1433471025
ACH-000127,-1.16491947775
ACH-000128,-1.4589975966100002
ACH-000132,-1.21133655685
ACH-000133,-1.0809757388299999
ACH-000137,-1.1656673519299998
ACH-000138,-1.15484406528
ACH-000142,-1.263548608
ACH-000143,-1.15426090456
ACH-000146,-0.9952238654790001
ACH-000148,-1.3863952365999999
ACH-000150,-1.21230048028
ACH-000152,-1.2844781811900001
ACH-000153,-1.1016121194600001
ACH-000159,-1.21307288735
ACH-000160,-1.47992059128
ACH-000163,-1.11644162814
ACH-000167,-1.3707173060299997
ACH-000168,-1.0545288961100001
ACH-000169,-1.23047511185
ACH-000178,-1.14795439429
ACH-000182,-1.19404869698
ACH-000183,-1.01182893234
ACH-000188,-1.1877051065000002
ACH-000189,-1.15311695925
ACH-000190,-1.25271538053
ACH-000198,-1.35308984284
ACH-000204,-1.18815366505
ACH-000206,-1.1715808350399999
ACH-000207,-0.914266847815
ACH-000211,-1.36150338685
ACH-000215,-1.22588627606
ACH-000221,-1.142340654
ACH-000222,-1.30664414214
ACH-000223,-1.17514013979
ACH-000226,-0.9002891111839999
ACH-000227,-1.09999165625
ACH-000228,-1.18689175087
ACH-000231,-1.34003807689
ACH-000232,-1.16010323505
ACH-000233,-1.27400388315
ACH-000234,-1.22254043326
ACH-000235,-1.0590388854600001
ACH-000237,-1.13881081388
ACH-000238,-1.19150011004
ACH-000243,-1.11136495901
ACH-000244,-1.25257999907
ACH-000246,-1.04705029368
ACH-000248,-1.35796400456
ACH-000250,-1.24549855158
ACH-000251,-1.2990448832200001
ACH-000253,-1.08796385385
ACH-000255,-0.934108810044
ACH-000256,-1.3194824454799998
ACH-000257,-1.51432899874
ACH-000258,-1.40404695602
ACH-000259,-1.14073735343
ACH-000260,-1.08320262875
ACH-000261,-1.3269741398600001
ACH-000262,-1.60894796093
ACH-000263,-1.32211911134
ACH-000264,-1.07158897584
ACH-000265,-1.1309091790799999
ACH-000266,-0.91448134934
ACH-000272,-1.0302528852500001
ACH-000273,-1.3399981900700002
ACH-000274,-1.2394854638400001
ACH-000277,-1.22277161434
ACH-000278,-1.17007874921
ACH-000279,-1.21582142298
ACH-000280,-1.26788724226
ACH-000281,-1.1615389355299999
ACH-000288,-1.39730779141
ACH-000291,-1.11987246841
ACH-000293,-1.40959094857
ACH-000294,-0.692083717963
ACH-000295,-1.0865846953
ACH-000296,-1.2965146669499998
ACH-000302,-1.5801762034399998
ACH-000304,-1.4584701179700001
ACH-000307,-1.12305569606
ACH-000308,-1.02771308692
ACH-000310,-1.06210499838
ACH-000311,-1.1192027279999999
ACH-000312,-1.12480645391
ACH-000315,-1.2258846352700001
ACH-000316,-1.12055505722
ACH-000317,-1.1715344717899998
ACH-000318,-1.17626131782
ACH-000319,-1.30825738068
ACH-000320,-1.00619452935
ACH-000322,-1.52608632747
ACH-000323,-1.47199727882
ACH-000324,-1.29227236891
ACH-000329,-1.35903997377
ACH-000330,-1.00664862922
ACH-000331,-1.1598057746100001
ACH-000332,-1.0339968151299999
ACH-000334,-0.934339597661
ACH-000335,-1.44850872766
