,ECT2 (1894)
ACH-000004,-1.30973359493
ACH-000007,-1.6527374332299998
ACH-000009,-1.55748718802
ACH-000011,-1.12023654021
ACH-000012,-1.3909665046700002
ACH-000013,-1.26363200971
ACH-000014,-1.46918685835
ACH-000015,-1.09684721256
ACH-000017,-1.3710596618700002
ACH-000018,-1.52385095848
ACH-000019,-1.62323738335
ACH-000021,-1.46036352626
ACH-000022,-1.21764084012
ACH-000025,-1.3582899485
ACH-000028,-1.2274895805
ACH-000030,-1.39253546909
ACH-000035,-1.28208451322
ACH-000036,-1.4138844808200002
ACH-000037,-1.96426642042
ACH-000039,-1.59222033556
ACH-000040,-0.912735861821
ACH-000041,-1.5962069142
ACH-000042,-1.38592263165
ACH-000045,-1.4108892627399998
ACH-000047,-1.27679132801
ACH-000052,-1.58036099259
ACH-000053,-1.50433200768
ACH-000054,-1.3823325785299998
ACH-000055,-1.17593905739
ACH-000060,-1.42082408415
ACH-000067,-1.37842952387
ACH-000070,-1.45127100758
ACH-000075,-1.58042376921
ACH-000078,-1.5846720296799999
ACH-000082,-1.06260456019
ACH-000085,-1.12680976148
ACH-000086,-1.26280868777
ACH-000087,-1.14259884517
ACH-000092,-1.5349514903700001
ACH-000095,-1.5848353315900001
ACH-000097,-1.28411909371
ACH-000098,-1.36448160718
ACH-000099,-1.4613496438100002
ACH-000108,-1.3745253058200002
ACH-000113,-1.3604545125799998
ACH-000115,-1.46890144331
ACH-000116,-1.07556734516
ACH-000118,-0.9563498501540001
ACH-000120,-1.25801685169
ACH-000123,-1.44247799259
ACH-000127,-1.52572156897
ACH-000128,-1.18097492606
ACH-000132,-1.23055146359
ACH-000133,-1.19811917969
ACH-000137,-1.2314898477299998
ACH-000138,-1.7008890095299998
ACH-000142,-1.31438196026
ACH-000143,-1.2601795954600001
ACH-000146,-1.06075206018
ACH-000148,-1.00833317631
ACH-000150,-1.71794411437
ACH-000152,-1.52028430481
ACH-000153,-1.38232416711
ACH-000159,-1.8106891976099997
ACH-000160,-1.67272954347
ACH-000163,-1.28583767559
ACH-000167,-1.19458914297
ACH-000168,-0.965850633116
ACH-000169,-1.4496820640299999
ACH-000178,-1.4616050882499998
ACH-000182,-1.36325368221
ACH-000183,-1.5231007439300002
ACH-000188,-1.3711421680700002
ACH-000189,-1.0645894096100001
ACH-000190,-1.29752043393
ACH-000198,-1.4649618433899998
ACH-000204,-1.5258682069799998
ACH-000206,-1.2726512291399998
ACH-000207,-1.38136444973
