,OR8B12 (219858)
ACH-000460,0.0133715395908
ACH-000461,-0.654521936911
ACH-000463,-0.281059348855
ACH-000464,-0.0634983880157
ACH-000466,0.00196843337912
ACH-000467,-0.236073444499
ACH-000468,-0.11215204110600001
ACH-000469,-0.287158484157
ACH-000470,0.164679923335
ACH-000471,-0.25858588729299997
ACH-000472,-0.161987449982
ACH-000473,-0.166756799144
ACH-000475,-0.202632662225
ACH-000476,-0.304906040425
ACH-000477,-0.17906550731899998
ACH-000480,-0.182518092661
ACH-000481,-0.010709263168
ACH-000483,-0.046821417923600006
ACH-000484,-0.0299806856415
ACH-000485,-0.24398603762499999
ACH-000486,-0.186315166902
ACH-000487,-0.0527632024251
ACH-000488,-0.151674674613
ACH-000490,0.00745998993791
ACH-000491,0.10129559278799999
ACH-000495,-0.462622076837
ACH-000496,-0.202246523721
ACH-000499,-0.192713313384
ACH-000500,-0.527672059222
ACH-000502,-0.062443226856000004
ACH-000503,0.255482293296
ACH-000505,-0.145452844815
ACH-000507,-0.10119525748199999
ACH-000510,-0.039969290955
ACH-000511,0.024569695605
ACH-000512,-0.318429006016
ACH-000516,-0.121167495549
ACH-000517,-0.239293793536
ACH-000518,-0.124682365386
ACH-000520,-0.13168190872000002
ACH-000521,-0.289112922762
ACH-000522,-0.18628554477899997
ACH-000524,-0.14212831725199998
ACH-000527,-0.0958342483351
ACH-000528,-0.0973134704823
ACH-000537,-0.038522576662699995
ACH-000541,-0.404717982206
ACH-000542,-0.07777485214489999
ACH-000544,-0.180467274115
ACH-000545,-0.198285240995
ACH-000547,-0.15737390272600002
ACH-000548,-0.0497479022413
ACH-000549,0.0821724280976
ACH-000550,-0.0208535752524
ACH-000552,-0.06583149066709999
ACH-000556,-0.254318233614
ACH-000557,-0.472125559402
ACH-000570,-0.228319687617
ACH-000571,-0.239776253738
ACH-000573,-0.183555043911
ACH-000576,-0.497652460286
ACH-000580,-0.152849869015
ACH-000584,-0.160841907678
ACH-000585,-0.17702247670899998
ACH-000588,-0.249100623614
ACH-000589,0.00271850777869
ACH-000591,-0.025488239525
ACH-000593,-0.12758242001599998
ACH-000600,-0.31212262849100003
ACH-000601,-0.156978105472
ACH-000604,-0.238790189142
ACH-000605,0.00505632712515
ACH-000606,-0.106189105132
ACH-000608,-0.206271568471
ACH-000614,-0.413593063061
ACH-000616,-0.11017140057600001
ACH-000618,-0.367454703306
ACH-000619,-0.301914984519
ACH-000620,-0.028253819887200004
ACH-000621,-0.378586876545
ACH-000622,0.066788723337
ACH-000623,-0.17356421699299998
ACH-000624,-0.109539072225
ACH-000627,-0.188895100647
ACH-000630,-0.152490194457
