,NUTM2A (728118)
ACH-000004,-0.0781007166763
ACH-000007,-0.20565524026
ACH-000009,-0.23359869489100002
ACH-000011,-0.280900909334
ACH-000012,-0.104050468826
ACH-000013,-0.152599553639
ACH-000014,-0.119305365258
ACH-000015,-0.26526765439800004
ACH-000017,-0.0789474299887
ACH-000018,-0.327763400159
ACH-000019,-0.24942299437100002
ACH-000021,-0.025880184055599997
ACH-000022,-0.17559549922000003
ACH-000025,-0.40163658684299997
ACH-000028,-0.221834617294
ACH-000030,-0.38904495874899997
ACH-000035,-0.3184202814
ACH-000036,-0.192551885224
ACH-000037,0.033979211305299996
ACH-000039,-0.10775741092800001
ACH-000040,-0.47944280683799995
ACH-000041,-0.0596219404911
ACH-000042,-0.302439804439
ACH-000045,0.0301086206886
ACH-000047,-0.10061402059499999
ACH-000052,-0.282062929867
ACH-000053,-0.20234206316
ACH-000054,-0.195230335284
ACH-000055,-0.0260644215514
ACH-000060,-0.08530758920199999
ACH-000067,-0.232137782298
ACH-000070,-0.200317270058
ACH-000075,-0.058427650169699995
ACH-000078,-0.240074278295
ACH-000082,-0.16239204795
ACH-000085,-0.13650669825300002
ACH-000086,-0.402774560997
ACH-000087,0.012925726869099999
ACH-000092,-0.10225824984300001
ACH-000095,-0.203281838663
ACH-000097,-0.37485056343900003
ACH-000098,-0.298957946271
ACH-000099,-0.340210898472
ACH-000108,-0.24100057645
ACH-000113,-0.0449467855293
ACH-000115,-0.209657091702
ACH-000116,-0.20540590912099999
ACH-000118,-0.18368474724800002
ACH-000120,-0.09550401601320001
ACH-000123,-0.0827375602003
ACH-000127,-0.246370836394
ACH-000128,-0.136355139641
ACH-000132,-0.23184603750500002
ACH-000133,-0.381322472794
ACH-000137,-0.034454842442800004
ACH-000138,-0.10840995756300001
ACH-000142,-0.272564932525
ACH-000143,-0.31668745417
ACH-000146,-0.0923412600079
ACH-000148,-0.373661042595
ACH-000150,-0.196025468039
ACH-000152,-0.41902698090499996
ACH-000153,0.042544086110000004
ACH-000159,-0.133990998502
ACH-000160,-0.16335360804500001
ACH-000163,-0.232862654764
ACH-000167,-0.289956514916
ACH-000168,-0.208609502816
ACH-000169,-0.364794842068
ACH-000178,-0.12524488428799999
ACH-000182,-0.2609539481
ACH-000183,-0.0634451881512
ACH-000188,-0.320649693051
ACH-000189,-0.295975212588
ACH-000190,-0.20012097978100002
ACH-000198,-0.18495075527199997
ACH-000204,-0.165032335432
ACH-000206,-0.245090834831
ACH-000207,0.06382559728659999
ACH-000211,-0.322032223847
ACH-000215,-0.245306337899
ACH-000221,-0.00209223684098
ACH-000222,-0.195106270458
ACH-000223,-0.275221500682
ACH-000226,-0.163834586119
ACH-000227,-0.38357309136100004
ACH-000228,-0.43190872361999993
ACH-000231,-0.239686211494
ACH-000232,-0.136971805429
ACH-000233,-0.16790316079300002
ACH-000234,-0.0637591474337
ACH-000235,-0.104250184469
ACH-000237,-0.26641565434799996
ACH-000238,0.0323849487942
ACH-000243,-0.0870047434043
ACH-000244,-0.33733558453400003
ACH-000246,-0.07167305997060001
ACH-000248,-0.244701182583
ACH-000250,-0.310920323263
ACH-000251,-0.248333998898
ACH-000253,-0.284282224826
ACH-000255,-0.334496597637
ACH-000256,-0.0773135060875
ACH-000257,0.0111707601532
ACH-000258,-0.187772368819
ACH-000259,-0.18761210958799998
ACH-000260,-0.236298947058
ACH-000261,-0.34540944166299997
ACH-000262,-0.309158061444
ACH-000263,-0.319855791273
ACH-000264,-0.111036105546
ACH-000265,-0.288594474805
ACH-000266,-0.126684458311
ACH-000272,-0.0864734036503
ACH-000273,-0.18102935583000002
ACH-000274,-0.10680442887700001
ACH-000277,0.10401171473300001
ACH-000278,0.136581892953
ACH-000279,-0.228880591204
ACH-000280,-0.0677624984757
ACH-000281,-0.131124574139
ACH-000288,-0.16153863588099998
ACH-000291,-0.21962611703899998
ACH-000293,-0.38123973455
ACH-000294,-0.20484298461300002
ACH-000295,-0.36968878580799996
ACH-000296,-0.261558294914
ACH-000302,-0.228843466765
ACH-000304,-0.147324585388
ACH-000307,-0.37198157501100004
ACH-000308,-0.233814520155
ACH-000310,-0.442354887013
ACH-000311,-0.33806721997
ACH-000312,-0.281941301838
ACH-000315,-0.017308267538599997
ACH-000316,-0.0944677966617
ACH-000317,-0.21273440901299998
ACH-000318,-0.156697299473
ACH-000319,-0.26907043019099997
ACH-000320,-0.48618509438199997
ACH-000322,-0.234660055769
ACH-000323,-0.35934606229500005
ACH-000324,-0.36876743591300004
ACH-000329,-0.256202225889
ACH-000330,-0.15699533925999998
ACH-000331,-0.39524034930600005
ACH-000332,-0.20034738572900002
ACH-000334,-0.151314579483
ACH-000335,-0.314816570608
ACH-000336,-0.0510814032614
ACH-000337,-0.269275623538
ACH-000339,-0.25241502136300004
ACH-000341,-0.376551686834
ACH-000348,-0.237160344058
ACH-000350,-0.35718427868600006
ACH-000352,0.019221458144200003
ACH-000356,-0.193117312308
ACH-000361,-0.16524482812000002
ACH-000362,-0.151658179005
ACH-000363,0.0715119646045
ACH-000364,-0.17083747854800002
ACH-000365,-0.129162403393
ACH-000366,-0.245250174665
ACH-000368,-0.428170689417
ACH-000374,-0.35313913914800005
ACH-000375,-0.249037161824
ACH-000376,-0.35450762360699994
ACH-000381,-0.19042056524599998
ACH-000383,0.13570023680600002
ACH-000387,-0.13046706229900001
ACH-000389,-0.191444752123
ACH-000390,-0.215476558634
ACH-000393,-0.273277476254
ACH-000395,-0.108791573709
ACH-000397,-0.129495129865
ACH-000401,-0.313918622887
ACH-000402,-0.156344217201
ACH-000403,-0.0668755261137
ACH-000404,0.117551964072
ACH-000406,-0.201088724058
ACH-000407,-0.214350609093
ACH-000408,-0.310666954062
ACH-000410,-0.260080892534
ACH-000411,-0.0551420734832
ACH-000414,-0.296742462462
ACH-000415,-0.306544988978
ACH-000416,-0.0893158747978
ACH-000420,-0.207400642385
ACH-000421,-0.0925541256955
ACH-000424,-0.0987777982235
ACH-000425,-0.202704602135
ACH-000426,-0.440121195862
ACH-000427,-0.204342917384
ACH-000433,-0.230110207981
ACH-000436,-0.219649847412
ACH-000444,-0.217379053712
ACH-000445,-0.206939759971
ACH-000448,-0.234355100977
ACH-000450,-0.21314423954599998
ACH-000452,-0.151352043676
ACH-000454,-0.00447530813775
ACH-000458,-0.304150903674
ACH-000459,-0.12849732469900002
ACH-000460,-0.239137557654
ACH-000461,-0.12159076320999998
ACH-000463,-0.22515033839899998
ACH-000464,-0.271696279991
ACH-000466,-0.20968496421900001
ACH-000467,-0.248677893473
ACH-000468,-0.136612043503
ACH-000469,-0.21362411771200002
ACH-000470,-0.0797789024946
ACH-000471,-0.0702906918196
ACH-000472,-0.158855702475
ACH-000473,-0.265632373139
ACH-000475,-0.272099411232
ACH-000476,-0.25938244431999996
ACH-000477,-0.3433020107
ACH-000480,-0.31947239701499996
ACH-000481,-0.42554350842
ACH-000483,-0.37868891163900004
ACH-000484,-0.045781446063999996
ACH-000485,-0.023437656732900002
ACH-000486,-0.176590420959
ACH-000487,-0.080247757367
ACH-000488,-0.05284319365119999
ACH-000490,-0.196876346864
ACH-000491,-0.46324034908
ACH-000495,-0.5232165213910001
ACH-000496,-0.446196542421
ACH-000499,-0.183908718273
ACH-000500,0.0351180771175
ACH-000502,-0.18103359533799998
ACH-000503,-0.14491949081
ACH-000505,-0.21082380637000003
ACH-000507,-0.254090796347
ACH-000510,-0.196937989155
ACH-000511,-0.214745162433
ACH-000512,-0.530778429616
ACH-000516,-0.151266560513
ACH-000517,-0.196731709149
ACH-000518,-0.16468080655
