,SV2A (9900)
ACH-000004,-0.46514309060000003
ACH-000007,-0.43695461237800004
ACH-000009,-0.5765073867930001
ACH-000011,-0.313736862964
ACH-000012,-0.309127595395
ACH-000013,-0.252448797482
ACH-000014,-0.179939544366
ACH-000015,-0.43304083409500005
ACH-000017,-0.205271008084
ACH-000018,-0.280667227544
ACH-000019,-0.49946879842
ACH-000021,-0.32616216138799997
ACH-000022,-0.346582995114
ACH-000025,-0.394059746712
ACH-000028,-0.597187629107
ACH-000030,-0.287460040995
ACH-000035,-0.49591130723399995
ACH-000036,-0.415048677585
ACH-000037,-0.429998888441
ACH-000039,-0.561545613997
ACH-000040,-0.307109874836
ACH-000041,-0.18034383275199997
ACH-000042,-0.329652619024
ACH-000045,-0.201086332267
ACH-000047,-0.291253528622
ACH-000052,-0.40032122208400006
ACH-000053,-0.425071678496
ACH-000054,-0.21295187751400002
ACH-000055,-0.326276601053
ACH-000060,-0.451445445721
ACH-000067,-0.207039498711
ACH-000070,-0.375166435923
ACH-000075,-0.241529814623
ACH-000078,-0.181886241082
ACH-000082,-0.489610871148
ACH-000085,-0.30811189871399997
ACH-000086,-0.542014726552
ACH-000087,-0.650148918425
ACH-000092,-0.41820891711400004
ACH-000095,-0.324411654182
ACH-000097,-0.494944757475
ACH-000098,-0.333009269842
ACH-000099,-0.156139657374
ACH-000108,-0.31365602739500004
ACH-000113,-0.447513932685
ACH-000115,-0.502293430785
ACH-000116,-0.297583376394
ACH-000118,-0.42287344339599997
ACH-000120,-0.355741272948
ACH-000123,-0.39618343033799996
ACH-000127,-0.351427447886
ACH-000128,-0.34411670836499997
ACH-000132,-0.29934302840599997
ACH-000133,-0.47854790422700005
ACH-000137,-0.47973691200199997
ACH-000138,-0.341758598756
ACH-000142,-0.354353560615
ACH-000143,-0.48636941397600003
ACH-000146,-0.23227144091600002
ACH-000148,-0.527697700402
ACH-000150,-0.38678976125200004
ACH-000152,-0.424828599739
ACH-000153,-0.21764250913199998
ACH-000159,-0.38559141016500004
ACH-000160,-0.17297935456900002
ACH-000163,-0.267210107282
ACH-000167,-0.132378410928
