,POLR2M (81488)
ACH-000004,-0.218806882253
ACH-000007,-0.0287473424059
ACH-000009,-0.260312673987
ACH-000011,-0.15059947849400002
ACH-000012,-0.020289730851599998
ACH-000013,-0.116891576907
ACH-000014,-0.26064236348700004
ACH-000015,-0.27309122118900003
ACH-000017,-0.314301657034
ACH-000018,-0.41706272788300003
ACH-000019,-0.264925449382
ACH-000021,-0.119637917979
ACH-000022,-0.158346843111
ACH-000025,-0.222827553033
ACH-000028,-0.286704884524
ACH-000030,-0.211335791726
ACH-000035,-0.28936269324700004
ACH-000036,-0.0204268806693
ACH-000037,-0.350900582569
ACH-000039,-0.169906363231
ACH-000040,0.118936791621
ACH-000041,-0.375754109035
ACH-000042,-0.17230091011799997
ACH-000045,-0.09869292906400001
ACH-000047,-0.0169323664881
ACH-000052,-0.22563850238699998
ACH-000053,-0.275256771843
ACH-000054,-0.0906050253785
ACH-000055,-0.166055027583
ACH-000060,-0.125282820809
ACH-000067,-0.259719336532
ACH-000070,-0.20179815251299998
ACH-000075,-0.317970866196
ACH-000078,-0.0809176880117
ACH-000082,-0.17438151357099999
ACH-000085,-0.505248030073
ACH-000086,-0.0641320077303
ACH-000087,-0.491137712641
ACH-000092,-0.0364138495265
ACH-000095,-0.0428629183414
ACH-000097,-0.309553779471
ACH-000098,-0.105539844898
ACH-000099,-0.245910034351
ACH-000108,-0.36600915071900003
ACH-000113,-0.3755019827
ACH-000115,-0.0434422166542
ACH-000116,-0.563054779592
ACH-000118,-0.36193515125299996
ACH-000120,-0.306216846647
ACH-000123,0.10251223995200001
ACH-000127,-0.35065844855899997
ACH-000128,-0.10440416341
ACH-000132,-0.334359413895
ACH-000133,-0.0727337468942
ACH-000137,-0.178679425139
ACH-000138,-0.127709752864
ACH-000142,-0.165468302229
ACH-000143,-0.410533016159
ACH-000146,-0.09049290981619999
ACH-000148,-0.17323146101700002
ACH-000150,-0.327615946989
ACH-000152,-0.212502869606
ACH-000153,-0.021940347856400002
ACH-000159,-0.108353294474
ACH-000160,-0.48022322368500003
ACH-000163,0.06325887628740001
ACH-000167,-0.34272352451300003
ACH-000168,-0.0699457447108
ACH-000169,-0.159847045158
ACH-000178,-0.10562318147199999
ACH-000182,-0.49146502277500004
ACH-000183,-0.391311278967
ACH-000188,-0.056694406371400004
ACH-000189,0.161747530619
ACH-000190,-0.389533616254
ACH-000198,0.0350434073699
ACH-000204,-0.4306346986399999
ACH-000206,-0.179936192071
ACH-000207,-0.202232094547
ACH-000211,-0.132493308924
ACH-000215,-0.100035910985
ACH-000221,-0.519445159828
ACH-000222,-0.5040715438669999
ACH-000223,-0.5170114559719999
ACH-000226,-0.26815145506
ACH-000227,-0.255658297458
ACH-000228,-0.223959080746
ACH-000231,-0.113343770902
ACH-000232,-0.156573822391
ACH-000233,-0.23246039575999997
ACH-000234,-0.38381423294600003
ACH-000235,-0.24813252007199998
ACH-000237,-0.178479418631
ACH-000238,-0.13583146289200002
ACH-000243,-0.479209453763
ACH-000244,0.21141826630899999
ACH-000246,-0.00135287856738
ACH-000248,-0.386701605438
ACH-000250,-0.048341343506199994
ACH-000251,0.0827926311888
ACH-000253,-0.200906190289
ACH-000255,-0.0766752618008
ACH-000256,-0.131315190246
ACH-000257,-0.15741277666
ACH-000258,-0.36027081809199996
ACH-000259,-0.0017199425181300002
ACH-000260,-0.22140718037300003
ACH-000261,-0.223626259282
ACH-000262,0.0744079749085
ACH-000263,-0.261019283032
ACH-000264,-0.136961570064
ACH-000265,-0.459007814907
ACH-000266,-0.146523970294
ACH-000272,-0.109485525855
ACH-000273,-0.13646588762
ACH-000274,-0.11305667011800001
ACH-000277,-0.010763450948
ACH-000278,-0.145981404571
ACH-000279,-0.119114103344
ACH-000280,-0.11619363082499999
ACH-000281,-0.435347649068
ACH-000288,-0.07005839365210001
ACH-000291,-0.349421256438
ACH-000293,-0.0397102498831
ACH-000294,-0.0848373164375
ACH-000295,0.0719125082855
ACH-000296,-0.420341258487
ACH-000302,-0.29493298455600003
ACH-000304,-0.09136506803279999
ACH-000307,-0.24119356416700002
ACH-000308,-0.0335800771503
ACH-000310,-0.299051892862
ACH-000311,-0.413869014292
ACH-000312,-0.37631033454999996
ACH-000315,-0.544188275501
ACH-000316,-0.0199003005763
ACH-000317,-0.055932249935
ACH-000318,-0.437639478879
ACH-000319,-0.19388112792800002
ACH-000320,-0.383006628954
ACH-000322,-0.45985300114100003
ACH-000323,-0.266505949445
ACH-000324,-0.0848045932095
ACH-000329,-0.113590757963
ACH-000330,-0.5591621385159999
ACH-000331,-0.107596203073
ACH-000332,0.00390488387462
ACH-000334,0.132776650311
ACH-000335,-0.188109192416
ACH-000336,0.0963946397915
ACH-000337,-0.37966855344000006
ACH-000339,-0.249382056765
ACH-000341,-0.159893129129
ACH-000348,-0.269571734381
ACH-000350,-0.0551491477941
ACH-000352,-0.354759908816
ACH-000356,-0.248491400623
ACH-000361,0.0768961376843
ACH-000362,-0.0243359248396
ACH-000363,-0.20186761981100002
ACH-000364,-0.203356968075
ACH-000365,-0.404938709266
ACH-000366,-0.319238061282
ACH-000368,-0.186837445459
ACH-000374,-0.312517921856
ACH-000375,0.02514220326
ACH-000376,-0.09922628882489999
ACH-000381,-0.33637568685099994
ACH-000383,-0.34119015685099996
ACH-000387,-0.25000779014
ACH-000389,-0.212156820464
ACH-000390,-0.399163263165
ACH-000393,-0.242871090213
ACH-000395,-0.12968381897
ACH-000397,-0.0721344292162
ACH-000401,-0.21979560916299998
ACH-000402,-0.352032034433
ACH-000403,-0.260139956429
ACH-000404,-0.21924914665
ACH-000406,-0.183753909669
ACH-000407,-0.0578029181049
ACH-000408,-0.263478321322
ACH-000410,-0.34541379483199997
ACH-000411,-0.0637712017594
ACH-000414,-0.171678815499
