,EFS (10278)
ACH-000004,-0.27961405452
ACH-000007,-0.12243929288699999
ACH-000009,-0.143808376106
ACH-000011,-0.0407154249778
ACH-000012,-0.0243268878186
ACH-000013,-0.005583076252380001
ACH-000014,-0.333747687045
ACH-000015,-0.159504551574
ACH-000017,-0.27426787838399996
ACH-000018,-0.11944900268400001
ACH-000019,-0.210714905299
ACH-000021,-0.16162016851
ACH-000022,-0.08059854356710001
ACH-000025,-0.0126789666658
ACH-000028,0.0164878345
ACH-000030,-0.09320583151930001
ACH-000035,-0.194747280249
ACH-000036,0.0197109381903
ACH-000037,-0.195579536046
ACH-000039,-0.19254176546399998
ACH-000040,-0.12822220155300001
ACH-000041,-0.00288363184115
ACH-000042,0.0303979142493
ACH-000045,-0.292354290185
ACH-000047,-0.0630710685167
ACH-000052,-0.09945017478430002
ACH-000053,-0.05090878647369999
ACH-000054,-0.0434607688122
ACH-000055,-0.19022062721400002
ACH-000060,-0.335398120805
ACH-000067,-0.00306767745233
ACH-000070,-0.16182280041
ACH-000075,0.00937536974795
ACH-000078,-0.129658287485
ACH-000082,-0.196008352784
ACH-000085,-0.0026529648791600003
ACH-000086,-0.048580475721300004
ACH-000087,-0.028501119391900004
ACH-000092,-0.0337537221243
ACH-000095,-0.083301116415
ACH-000097,-0.164230987006
ACH-000098,-0.30133686057500003
ACH-000099,-0.0985506666359
ACH-000108,0.153308851654
ACH-000113,-0.0521293613086
ACH-000115,-0.0430830114697
ACH-000116,-0.0807742681003
ACH-000118,-0.109530328132
ACH-000120,0.049689848101500005
ACH-000123,-0.11215362978599999
ACH-000127,-0.10612240022
ACH-000128,-0.260831705207
ACH-000132,0.13939587229699998
ACH-000133,-0.180332747957
ACH-000137,-0.12145697580600001
ACH-000138,0.018666973573099998
ACH-000142,0.117268533919
ACH-000143,-0.298888715047
ACH-000146,-0.09883287916439999
ACH-000148,-0.10886542396099999
ACH-000150,-0.00525820636826
ACH-000152,-0.269546937904
ACH-000153,-0.283705363565
ACH-000159,-0.165604622566
ACH-000160,-0.241061410483
ACH-000163,-0.133973677628
ACH-000167,0.00942443434592
ACH-000168,0.021813035345900005
ACH-000169,-0.206677177429
ACH-000178,-0.041005300951
ACH-000182,-0.10371007443800001
ACH-000183,-0.106572943707
ACH-000188,-0.0835517489352
ACH-000189,-0.018236551498
ACH-000190,-0.0296622397393
ACH-000198,-0.107998376822
ACH-000204,-0.19237877663199998
ACH-000206,-0.141869502351
ACH-000207,-0.119328822616
ACH-000211,-0.159034779871
ACH-000215,-0.0816602650235
ACH-000221,-0.08486107135189999
ACH-000222,-0.131729743512
ACH-000223,-0.023275122979299998
ACH-000226,-0.0282369911819
ACH-000227,0.13247519175699998
ACH-000228,-0.122375016734
ACH-000231,-0.207412221294
ACH-000232,-0.102218442194
ACH-000233,-0.00974334560465
ACH-000234,0.12020282376800001
ACH-000235,-0.09017061908639999
ACH-000237,-0.068809379687
ACH-000238,-0.268793465035
ACH-000243,-0.19636257619300002
ACH-000244,0.0478731812555
ACH-000246,-0.157210106219
ACH-000248,-0.317053996729
ACH-000250,-0.18154056994000003
ACH-000251,0.115011640986
ACH-000253,-0.148414988871
ACH-000255,-0.20466473139199998
ACH-000256,0.0571832519389
ACH-000257,-0.265335356533
ACH-000258,0.0313038466548
ACH-000259,-0.0975692090562
ACH-000260,-0.0292439813698
ACH-000261,-0.131134991907
ACH-000262,0.0470960687732
ACH-000263,-0.326261745136
ACH-000264,-0.14679978348099998
ACH-000265,-0.044813862370600005
ACH-000266,-0.117424322088
ACH-000272,-0.23236078091600001
ACH-000273,-0.109384978754
ACH-000274,-0.033456279638099995
ACH-000277,-0.147003395241
ACH-000278,-0.0775277906977
ACH-000279,-0.0835752132158
ACH-000280,-0.103037049285
ACH-000281,-0.174927119674
ACH-000288,-0.208296153885
ACH-000291,-0.013562884772299999
ACH-000293,-0.10909798838500001
ACH-000294,-0.18665005078699998
ACH-000295,-0.131978092462
ACH-000296,0.0364438804215
ACH-000302,0.0176786667856
ACH-000304,-0.155609073398
ACH-000307,-0.273365920547
ACH-000308,-0.0667629461553
ACH-000310,-0.05349020419509999
ACH-000311,-0.230191727936
ACH-000312,-0.103456088296
ACH-000315,-0.21514993796
ACH-000316,0.0711287407274
ACH-000317,-0.153229968708
ACH-000318,-0.280667872074
ACH-000319,-0.057237833849
ACH-000320,-0.12678036915
ACH-000322,-0.16319952249199998
ACH-000323,-0.0477665437242
ACH-000324,-0.245544622882
ACH-000329,-0.0965580898371
ACH-000330,-0.0333539818201
ACH-000331,-0.0462898472548
ACH-000332,-0.0721659252591
ACH-000334,-0.146793018256
ACH-000335,-0.15312290114399998
ACH-000336,-0.313807053737
ACH-000337,-0.274812524603
ACH-000339,-0.0572024658089
ACH-000341,-0.0800182308837
ACH-000348,-0.140489081196
ACH-000350,-0.18018428996
ACH-000352,-0.15723256264000002
ACH-000356,-0.12674896464000002
ACH-000361,-0.160308700734
ACH-000362,-0.022132795567999998
ACH-000363,-0.08679282124780001
ACH-000364,-0.12443102889799999
ACH-000365,-0.157196210118
ACH-000366,-0.303111825825
ACH-000368,-0.285963105989
ACH-000374,-0.030578393176199998
ACH-000375,-0.432502863219
ACH-000376,-0.18307132378199997
ACH-000381,-0.11595707728099999
ACH-000383,-0.0792645075329
ACH-000387,-0.151681214849
ACH-000389,0.0917719545039
ACH-000390,-0.0339547957833
ACH-000393,-0.285794709433
ACH-000395,-0.0325500795181
ACH-000397,-0.123979669705
ACH-000401,-0.133020684567
ACH-000402,-0.00237232558422
ACH-000403,-0.0916502025103
ACH-000404,-0.10783334869899999
ACH-000406,-0.09902203599439999
ACH-000407,-0.17462504684
ACH-000408,0.018671816609599996
ACH-000410,-0.08454206252520001
ACH-000411,0.0102745493475
ACH-000414,-0.0710494206325
ACH-000415,-0.200212514171
ACH-000416,-0.0534067308301
ACH-000420,-0.09904267745639998
ACH-000421,-0.0715984651828
ACH-000424,-0.18887098867600002
ACH-000425,-0.127538583054
ACH-000426,0.0826467511163
ACH-000427,-0.241527957823
ACH-000433,-0.191984180143
ACH-000436,-0.215271935607
ACH-000444,-0.141390376459
ACH-000445,-0.14447709793400001
ACH-000448,-0.0884515126686
ACH-000450,-0.0750705727798
ACH-000452,-0.0714953298825
ACH-000454,-0.253761139627
ACH-000458,-0.130711600235
ACH-000459,-0.22659305812
ACH-000460,-0.142563676423
ACH-000461,-0.026570204825599998
ACH-000463,-0.21759410050099998
ACH-000464,-0.0622091587528
ACH-000466,-0.0152988365576
ACH-000467,-0.115558467848
ACH-000468,-0.000567918007744
ACH-000469,-0.225615958488
ACH-000470,0.015448622985900001
ACH-000471,-0.235194489121
ACH-000472,-0.111998621041
ACH-000473,-0.206167892245
ACH-000475,-0.10136367951400001
ACH-000476,-0.10857918492799999
ACH-000477,-0.0444861016317
ACH-000480,-0.309481816048
ACH-000481,-0.28582977755600003
ACH-000483,-0.160176952721
ACH-000484,-0.17011882554299998
ACH-000485,-0.0829069558483
ACH-000486,-0.13488779656199998
ACH-000487,0.0743762707474
ACH-000488,-0.07020085926589999
ACH-000490,-0.0848054817258
ACH-000491,-0.058226077509500006
ACH-000495,-0.0382940507134
ACH-000496,-0.0982130132881
ACH-000499,-0.231260215873
ACH-000500,-0.116097614503
ACH-000502,-0.136893721828
ACH-000503,-0.0383747709083
ACH-000505,-0.1098520866
ACH-000507,-0.0335021467852
ACH-000510,-0.11777125349300001
ACH-000511,0.027108748213999997
ACH-000512,-0.259261669331
ACH-000516,-0.165935701767
ACH-000517,-0.00492913780883
ACH-000518,0.0666300561682
ACH-000520,-0.120414788597
ACH-000521,-0.18178625832800002
ACH-000522,-0.089745012337
ACH-000524,-0.107802018096
ACH-000527,-0.07189377165239999
ACH-000528,-0.08419363963500001
ACH-000537,-0.135710389679
ACH-000541,-0.0198880402528
ACH-000542,-0.066844493193
ACH-000544,-0.27212399
ACH-000545,-0.096426600468
ACH-000547,-0.39458885544100003
ACH-000548,-0.0971200151496
ACH-000549,0.025297670904599997
ACH-000550,-0.060018494302400006
ACH-000552,-0.12472872009199999
ACH-000556,-0.190807656285
ACH-000557,-0.245629530009
ACH-000570,-0.19116652344500001
ACH-000571,-0.15143923229599998
ACH-000573,-0.0186828995737
ACH-000576,-0.084757069581
ACH-000580,-0.302966389424
ACH-000584,-0.155453513329
ACH-000585,-0.0511546489146
ACH-000588,-0.0590029136689
ACH-000589,-0.249929717561
ACH-000591,-0.163194779066
ACH-000593,-0.0572607231257
ACH-000600,-0.114510987641
ACH-000601,-0.020995376514599998
ACH-000604,-0.433569385175
ACH-000605,0.000833213498598
ACH-000606,-0.15796048013800001
ACH-000608,-0.260017495817
ACH-000614,0.0115827462768
ACH-000616,-0.201552305878
ACH-000618,-0.0932055568542
ACH-000619,-0.240735737523
ACH-000620,-0.186353187068
ACH-000621,-0.113142423048
ACH-000622,-0.12200811345200001
ACH-000623,-0.164484554851
ACH-000624,-0.116089766063
ACH-000627,-0.0843520823814
ACH-000630,-0.11833744848099999
ACH-000632,-0.0875651014507
