,ARFRP1 (10139)
ACH-000004,-0.47856301547700003
ACH-000007,-0.539111018882
ACH-000009,-0.553824126038
ACH-000011,-1.03497602869
ACH-000012,-0.43452963792599997
ACH-000013,-0.478404611321
ACH-000014,-0.6027674823
ACH-000015,-0.7510234664759999
ACH-000017,-0.336648804108
ACH-000018,-0.662979935952
ACH-000019,-0.666650110043
ACH-000021,-1.30428044776
ACH-000022,-0.479080868897
ACH-000025,-0.667805223124
ACH-000028,-0.583730031449
ACH-000030,-0.731109521907
ACH-000035,-0.055765371940199995
ACH-000036,-0.624215751649
ACH-000037,-0.24852478950399998
ACH-000039,-0.9355554222229999
ACH-000040,-0.9705706745530001
ACH-000041,-0.5213418276430001
ACH-000042,-0.614252670894
ACH-000045,-0.907987730354
ACH-000047,-0.849841681768
ACH-000052,-0.850761944111
ACH-000053,-1.24497691908
ACH-000054,-0.9784656128799999
ACH-000055,-0.678485200984
ACH-000060,-1.12081076113
ACH-000067,-0.669898464614
ACH-000070,-0.924008210859
ACH-000075,-0.979189564348
ACH-000078,-0.783862803122
ACH-000082,-1.1301082708399999
ACH-000085,-0.714413187907
ACH-000086,-0.8232270225980001
ACH-000087,-0.919440170939
ACH-000092,-1.13727347488
ACH-000095,-0.840934422498
ACH-000097,-0.37199090776
ACH-000098,-0.7353001374089999
ACH-000099,-0.957792781302
ACH-000108,-0.705662107887
ACH-000113,-0.727116380287
ACH-000115,-0.813891458056
ACH-000116,-0.348219299327
ACH-000118,-0.891423127879
ACH-000120,-0.831932651238
ACH-000123,-0.7996636653120001
ACH-000127,-0.7069691902449999
ACH-000128,-0.953077289137
ACH-000132,-0.542539568155
ACH-000133,-1.0203388100700002
ACH-000137,-0.7124933667669999
ACH-000138,-0.643240983396
ACH-000142,-0.6252418033899999
ACH-000143,-0.7463823407510001
ACH-000146,-0.425042300105
ACH-000148,-0.870722317174
ACH-000150,-1.00191397464
ACH-000152,-0.876298343723
ACH-000153,-0.47669911393799996
ACH-000159,-0.6996541092790001
ACH-000160,-0.8895743822550001
ACH-000163,-0.67941138372
ACH-000167,-0.928216041657
ACH-000168,-0.8104651915350001
ACH-000169,-0.659946150665
ACH-000178,-0.7453873966969999
ACH-000182,-0.42168421361100006
ACH-000183,-1.01222265249
ACH-000188,-0.653374983772
ACH-000189,-0.424160882163
ACH-000190,-1.15030288818
ACH-000198,-0.7781348817939999
ACH-000204,-0.9557785884799999
ACH-000206,-0.828501858099
ACH-000207,-1.11391211087
ACH-000211,-1.0524756125599999
ACH-000215,-0.862164389152
ACH-000221,-0.851604182808
ACH-000222,-0.46282461729400004
ACH-000223,-0.7613199436779999
ACH-000226,-0.748261153108
ACH-000227,-1.14758500581
ACH-000228,-0.47389367540399996
ACH-000231,-1.15297561962
ACH-000232,-0.877012481534
ACH-000233,-0.733460912447
ACH-000234,-0.679501900415
ACH-000235,-0.546671715949
ACH-000237,-0.856155405403
ACH-000238,-0.420491377271
ACH-000243,-0.392016114602
ACH-000244,-1.14060095475
ACH-000246,-0.5303012155219999
ACH-000248,-0.566641787437
ACH-000250,-0.9642165758869999
ACH-000251,-0.871509436812
ACH-000253,-0.521317453371
ACH-000255,-0.8827369430449999
ACH-000256,-0.420772661287
ACH-000257,-0.728494690748
ACH-000258,-0.7181155930099999
ACH-000259,-0.8973370535430001
ACH-000260,-0.7391236106829999
ACH-000261,-1.11624913185
ACH-000262,-0.747296542103
ACH-000263,-0.7843360820540001
ACH-000264,-0.7717400445810001
ACH-000265,-0.914319027271
ACH-000266,-0.557322544142
ACH-000272,-0.647925450916
ACH-000273,-0.8689822954620001
ACH-000274,-0.630353226182
ACH-000277,-0.613318712805
ACH-000278,-0.470439828923
ACH-000279,-0.128993373109
ACH-000280,-0.558685363108
ACH-000281,-0.7275292035359999
ACH-000288,-0.673601302765
ACH-000291,-0.440011454631
ACH-000293,-0.63292111491
ACH-000294,-0.6426736970310001
ACH-000295,-0.637488931646
ACH-000296,-0.7862905562800001
ACH-000302,-0.539582413167
ACH-000304,-1.2020933452
ACH-000307,-0.719127916369
ACH-000308,-0.827682624213
ACH-000310,-1.07579252679
ACH-000311,-0.622507503911
ACH-000312,-1.01277585135
ACH-000315,-0.670219387086
ACH-000316,-0.641466389746
ACH-000317,-0.7504240243420001
ACH-000318,-0.6153030739500001
ACH-000319,-0.929087072715
ACH-000320,-0.872899950987
ACH-000322,-0.47291335349799996
ACH-000323,-0.648489136941
ACH-000324,-0.762197966568
ACH-000329,-0.921212825487
ACH-000330,-0.5414620957249999
ACH-000331,-0.892252112358
ACH-000332,-0.6277972425899999
ACH-000334,-1.04402297234
ACH-000335,-0.683624551195
ACH-000336,-0.632509654741
ACH-000337,-0.357114380181
ACH-000339,-0.725584291422
ACH-000341,-0.6884204121590001
ACH-000348,-0.7124073333509999
ACH-000350,-0.236681842368
ACH-000352,-0.458107239181
ACH-000356,-0.551843314997
ACH-000361,-0.929286587977
ACH-000362,-0.728138244269
ACH-000363,-0.6930376017669999
ACH-000364,-0.6959656211480001
ACH-000365,-0.67805782016
ACH-000366,-0.7874467021889999
ACH-000368,-0.7033318436339999
ACH-000374,-1.04129715566
ACH-000375,-0.77784659881
ACH-000376,-0.9122045638519999
ACH-000381,-0.765628721784
ACH-000383,-0.536166690132
ACH-000387,-0.42211131308300004
ACH-000389,-0.572742069386
ACH-000390,-0.404756109933
ACH-000393,-1.23302517294
ACH-000395,-0.694582034285
ACH-000397,-0.49962898942100004
ACH-000401,-0.682491110821
ACH-000402,-0.580685467175
ACH-000403,-0.626934507896
ACH-000404,-0.658317262225
ACH-000406,-0.320840630392
ACH-000407,-0.7517474633769999
ACH-000408,-0.599155868913
ACH-000410,-1.06457729417
ACH-000411,-0.8213886628129999
ACH-000414,-0.992316617704
ACH-000415,-0.832112203626
ACH-000416,-0.913466404489
ACH-000420,-1.0100752267200002
ACH-000421,-0.47255995825499997
ACH-000424,-0.9371583425
ACH-000425,-0.944617507186
ACH-000426,-0.727886822967
ACH-000427,-0.6297897124899999
ACH-000433,-0.6788808518800001
ACH-000436,-0.9908314514040001
ACH-000444,-0.697995977433
ACH-000445,-0.960430445995
ACH-000448,-0.463676708502
ACH-000450,-0.376160054915
ACH-000452,-0.713700656752
ACH-000454,-0.9145865649670001
ACH-000458,-0.804798329392
ACH-000459,-0.164368584563
ACH-000460,-0.635061037998
ACH-000461,-0.566576860736
ACH-000463,-1.0413171732
ACH-000464,-0.646489497175
ACH-000466,-0.5873252465150001
ACH-000467,-0.905485755596
ACH-000468,-0.811818839758
ACH-000469,-1.0028767786
ACH-000470,-0.447330946764
ACH-000471,-1.01381675574
ACH-000472,-0.786071979459
ACH-000473,-0.376243932648
ACH-000475,-0.930000579871
ACH-000476,-1.05881806497
ACH-000477,-0.732598931144
ACH-000480,-0.648716511274
ACH-000481,-0.37670696671899995
ACH-000483,-0.689280869193
ACH-000484,-0.6334175615500001
ACH-000485,-0.9356133949079999
ACH-000486,-0.594594414402
ACH-000487,-0.431322964151
ACH-000488,-0.717471151134
ACH-000490,-0.8834478992649999
ACH-000491,-0.927442000978
ACH-000495,-0.7708939159010001
ACH-000496,-0.501233529371
ACH-000499,-0.589161054024
ACH-000500,-0.143919848189
ACH-000502,-0.41013188286200003
ACH-000503,-0.635575394037
ACH-000505,-0.7803558555
ACH-000507,-0.463675829315
ACH-000510,-0.871858619073
ACH-000511,-0.94070421578
ACH-000512,-0.972575981842
ACH-000516,-0.610211793412
ACH-000517,-0.774060905125
ACH-000518,-0.49426393826399995
ACH-000520,-0.7745026272750001
ACH-000521,-0.8082809110160001
ACH-000522,-0.833099665742
ACH-000524,-0.786042348565
ACH-000527,-0.792661431084
ACH-000528,-1.02991327871
ACH-000537,-1.15686621125
ACH-000541,-0.734908224932
ACH-000542,-0.7415676295479999
ACH-000544,-0.84174434137
ACH-000545,-0.654751864651
ACH-000547,-0.5415591572649999
ACH-000548,-0.892717324304
ACH-000549,-0.40133289985699994
ACH-000550,-1.00508234519
ACH-000552,-0.638927883838
ACH-000556,-1.03675121177
ACH-000557,-1.15450318385
ACH-000570,-0.881202718451
