,MMS19 (64210)
ACH-000004,-0.813609695335
ACH-000007,-1.54922598896
ACH-000009,-1.23904903097
ACH-000011,-1.47389379719
ACH-000012,-1.2310765292
ACH-000013,-1.28319179794
ACH-000014,-1.4150450145
ACH-000015,-1.05230576308
ACH-000017,-1.34848556256
ACH-000018,-1.4723313123
ACH-000019,-0.54586742139
ACH-000021,-1.01036300515
ACH-000022,-0.89304265623
ACH-000025,-1.36500798775
ACH-000028,-1.18648621234
ACH-000030,-1.22061386806
ACH-000035,-1.52967774479
ACH-000036,-1.08876427385
ACH-000037,-1.32602324114
ACH-000039,-1.3751790320299997
ACH-000040,-1.25000527177
ACH-000041,-1.44664322852
ACH-000042,-1.19460645511
ACH-000045,-1.04196705722
ACH-000047,-0.9136017800309999
ACH-000052,-1.19149473255
ACH-000053,-0.979885285298
ACH-000054,-1.0588032485299999
ACH-000055,-1.3778763536399998
ACH-000060,-1.10956748798
ACH-000067,-1.25712288206
ACH-000070,-1.08352391129
ACH-000075,-1.14345155903
ACH-000078,-1.3225751767
ACH-000082,-0.948769200855
ACH-000085,-1.14822229532
ACH-000086,-1.2396189652399998
ACH-000087,-0.908052864586
ACH-000092,-1.0521182662000002
ACH-000095,-0.723612271152
ACH-000097,-0.8270008433470001
ACH-000098,-1.32440948426
ACH-000099,-1.30177354376
ACH-000108,-0.8216132394589999
ACH-000113,-1.06484229987
ACH-000115,-0.710729904047
ACH-000116,-1.07068821162
ACH-000118,-0.9870198673010001
ACH-000120,-1.23717633005
ACH-000123,-1.08249174351
ACH-000127,-1.2762788858399998
ACH-000128,-0.8438091801819999
ACH-000132,-1.23688339276
ACH-000133,-1.3844114988799998
ACH-000137,-1.18064672559
ACH-000138,-1.0984712395
ACH-000142,-1.21818902259
ACH-000143,-1.15223494216
ACH-000146,-0.8766786100700001
ACH-000148,-1.3568708798
ACH-000150,-1.26701352113
ACH-000152,-1.0623361262200002
ACH-000153,-1.2341101619
ACH-000159,-1.11500460217
ACH-000160,-0.707399840799
ACH-000163,-1.1960902794
ACH-000167,-1.00664965499
ACH-000168,-0.920992384541
ACH-000169,-0.814854052245
ACH-000178,-1.18088467018
ACH-000182,-0.828360441224
ACH-000183,-0.7389477846699999
ACH-000188,-1.44586789609
ACH-000189,-1.1256447454799998
ACH-000190,-0.820006561442
ACH-000198,-0.850563121339
ACH-000204,-0.579972834416
ACH-000206,-0.9354548288500001
ACH-000207,-0.986399871492
ACH-000211,-1.30505841186
ACH-000215,-1.1843780472399998
ACH-000221,-0.9898970199079999
ACH-000222,-1.20023790491
ACH-000223,-0.7877045674250001
ACH-000226,-1.39417133005
ACH-000227,-1.53673347244
ACH-000228,-0.955707581628
ACH-000231,-1.37398482764
ACH-000232,-1.28822488754
ACH-000233,-1.06096421407
ACH-000234,-1.12091502871
ACH-000235,-0.8939355134200001
ACH-000237,-1.3852471041
ACH-000238,-1.2651420428
ACH-000243,-1.17384779698
ACH-000244,-1.37114631975
ACH-000246,-0.995758826584
ACH-000248,-1.3403900685299999
ACH-000250,-1.15102774093
ACH-000251,-1.03961348431
ACH-000253,-1.06933491751
ACH-000255,-1.28627249033
ACH-000256,-1.30939301521
ACH-000257,-0.9810342350839999
ACH-000258,-0.950200901608
ACH-000259,-1.02184566786
ACH-000260,-1.15745237911
ACH-000261,-1.21468485973
ACH-000262,-1.17138310245
ACH-000263,-0.502984754955
ACH-000264,-0.6650423634679999
ACH-000265,-1.05604530782
ACH-000266,-0.67721160917
ACH-000272,-1.05609990469
ACH-000273,-0.920602839368
ACH-000274,-0.805579648568
ACH-000277,-1.04970264171
ACH-000278,-1.1594050053
ACH-000279,-1.49487848593
ACH-000280,-1.33437148024
ACH-000281,-1.27780877156
ACH-000288,-1.19850221989
ACH-000291,-1.29865470925
ACH-000293,-1.00738928515
ACH-000294,-1.02854682952
ACH-000295,-1.19852014514
ACH-000296,-1.5382620797
ACH-000302,-0.8089990691769999
ACH-000304,-1.14283076017
ACH-000307,-1.18295740928
ACH-000308,-0.588550456523
ACH-000310,-0.798926193004
ACH-000311,-0.8546494084
ACH-000312,-0.9663615803219999
ACH-000315,-1.12201169794
ACH-000316,-1.19787988196
ACH-000317,-1.0317702520299998
ACH-000318,-1.1959340496100002
ACH-000319,-0.978113859431
ACH-000320,-1.08741442407
ACH-000322,-1.15825502579
ACH-000323,-1.0004950777700001
ACH-000324,-1.28271798201
ACH-000329,-1.14319039316
ACH-000330,-1.4658431992200003
