,H3F3A (3020)
ACH-000004,-0.61066523483
ACH-000007,-0.5810816895650001
ACH-000009,-0.724675362279
ACH-000011,-0.914098868092
ACH-000012,-0.599912298808
ACH-000013,-0.774537217579
ACH-000014,-0.876402804643
ACH-000015,-0.799032900638
ACH-000017,-0.9325941033840001
ACH-000018,-0.435653491617
ACH-000019,-0.4825784049399999
ACH-000021,-0.46984337129799997
ACH-000022,-0.43941475846
ACH-000025,-0.77671904381
ACH-000028,-0.387979328838
ACH-000030,-0.8693617689
ACH-000035,-0.578376071985
ACH-000036,-0.74710490442
ACH-000037,-0.432742119654
ACH-000039,-0.52146135425
ACH-000040,-0.595766581405
ACH-000041,-0.466255050488
ACH-000042,-0.7844223061
ACH-000045,-0.7607774172380001
ACH-000047,-0.9666427517489999
ACH-000052,-0.563126261168
ACH-000053,-0.766906560564
ACH-000054,-0.8120312186049999
ACH-000055,-0.9823670836700001
ACH-000060,-0.90965922966
ACH-000067,-0.6090074354
ACH-000070,-1.02594837246
ACH-000075,-0.43274855576000004
ACH-000078,-0.34173313113000003
ACH-000082,-0.6945319628929999
ACH-000085,-0.7216976996789999
ACH-000086,-0.708018035536
ACH-000087,-0.947280744331
ACH-000092,-1.0725853582
ACH-000095,-0.788713266637
ACH-000097,-0.776087760893
ACH-000098,-0.8306699293709999
ACH-000099,-0.513644186341
ACH-000108,-0.703888235772
ACH-000113,-1.06867111405
ACH-000115,-1.20132717236
ACH-000116,-0.7067495139910001
ACH-000118,-0.646787073373
ACH-000120,-0.513612188426
ACH-000123,-0.760814982893
ACH-000127,-0.6931332411810001
ACH-000128,-0.627134128998
ACH-000132,-0.5504439767379999
ACH-000133,-0.7681342693800001
ACH-000137,-0.8939232384929999
ACH-000138,-0.5019117306499999
ACH-000142,-0.6412136117189999
ACH-000143,-0.668805490009
ACH-000146,-0.659781553397
ACH-000148,-0.7669640962800001
ACH-000150,-0.52473127425
ACH-000152,-0.9052497543250001
ACH-000153,-0.7782449589470001
ACH-000159,-0.675712866389
ACH-000160,-0.404819826027
ACH-000163,-0.709483550235
ACH-000167,-0.45698207848800004
ACH-000168,-0.5591090918339999
ACH-000169,-0.6774332222660001
ACH-000178,-0.632949676184
ACH-000182,-0.8449445396999999
ACH-000183,-0.659850921526
ACH-000188,-0.654457998598
ACH-000189,-0.8597088604950001
ACH-000190,-0.0241760881869
ACH-000198,-0.872785683137
ACH-000204,-0.545216922657
ACH-000206,-0.982932205702
ACH-000207,-0.8197950634810001
ACH-000211,-0.8742938033259999
ACH-000215,-0.774433585649
ACH-000221,-0.5073356278450001
ACH-000222,-0.24967817308899998
ACH-000223,-0.975374451141
ACH-000226,-0.588056073099
ACH-000227,-0.282996039132
ACH-000228,-0.527179366561
ACH-000231,-0.7585919818179999
ACH-000232,-0.646982480609
ACH-000233,-0.670767570652
ACH-000234,-1.1374796678899999
ACH-000235,-0.6569924023879999
ACH-000237,-0.8230586878039999
ACH-000238,-0.864326833822
ACH-000243,-0.780755774288
ACH-000244,-0.793156815829
ACH-000246,-0.621788693793
ACH-000248,-0.890559534986
ACH-000250,-0.7931018461120001
ACH-000251,-1.50419318326
ACH-000253,-0.439967495893
ACH-000255,-0.6877961811679999
ACH-000256,-0.737960223499
ACH-000257,-0.6940608375849999
ACH-000258,-0.229235485237
ACH-000259,-0.8030528437569999
ACH-000260,-0.6998160562540001
ACH-000261,-0.6763470219859999
ACH-000262,-0.8808866104180001
ACH-000263,-0.416670229823
ACH-000264,-0.5357811354290001
ACH-000265,-0.674325665908
ACH-000266,-0.823514355654
ACH-000272,-0.5346911891130001
ACH-000273,-0.7311824680600001
ACH-000274,-0.7818420746279999
ACH-000277,-0.7836409358769999
ACH-000278,-0.863159966349
ACH-000279,-0.6626469193600001
ACH-000280,-0.498659643307
ACH-000281,-0.645080484033
ACH-000288,-0.478521725436
ACH-000291,-0.762943495019
ACH-000293,-0.7319285445229999
ACH-000294,-0.326119692577
ACH-000295,-0.584994424574
ACH-000296,-0.745218412657
ACH-000302,-0.653106867177
ACH-000304,-1.1807115559299999
ACH-000307,-0.515086236465
ACH-000308,-0.5658739310399999
ACH-000310,-0.665783074608
ACH-000311,-0.9270237233580001
ACH-000312,-0.45700138782399996
ACH-000315,-0.7525859780069999
ACH-000316,-0.521679635812
ACH-000317,-0.7921587835639999
ACH-000318,-0.7603054658939999
ACH-000319,-0.391426184004
ACH-000320,-0.580130344071
ACH-000322,-0.720444053756
ACH-000323,-0.38607642574699996
ACH-000324,-0.607412882712
ACH-000329,-0.780268049772
ACH-000330,-0.5243460717399999
ACH-000331,-0.6546216145570001
ACH-000332,-0.7270094537620001
ACH-000334,-0.5063798129129999
ACH-000335,-0.779122551843
ACH-000336,-0.9763152058969999
ACH-000337,-0.8300473010430001
ACH-000339,-0.574412740577
ACH-000341,-0.880886113063
ACH-000348,-0.537211797008
ACH-000350,-0.610926663223
ACH-000352,-0.741621478886
ACH-000356,-0.770126785246
ACH-000361,-0.812651406598
ACH-000362,-0.9173603186929999
ACH-000363,-0.7903274373289999
ACH-000364,-0.625141111665
ACH-000365,-0.656778566309
ACH-000366,-0.6409841161100001
ACH-000368,-0.605395700009
ACH-000374,-0.8390613145479999
ACH-000375,-0.7077935201250001
ACH-000376,-0.585778904001
ACH-000381,-0.46138488887199997
ACH-000383,-0.8438405569509999
ACH-000387,-0.75742496275
ACH-000389,-0.48019625938500005
ACH-000390,-0.290497243792
ACH-000393,-0.476491655955
ACH-000395,-0.8127967664650001
ACH-000397,-0.7185691583600001
ACH-000401,-0.746971914701
ACH-000402,-1.2639817189700002
ACH-000403,-0.9724123651540001
ACH-000404,-0.687209182388
ACH-000406,-0.673407850784
ACH-000407,-0.7891938686509999
ACH-000408,-0.46427807146000005
ACH-000410,-0.842802249609
ACH-000411,-0.994518934504
ACH-000414,-0.785850918909
ACH-000415,-0.6943248076080001
ACH-000416,-0.602486643971
ACH-000420,-0.6227794570340001
ACH-000421,-0.649362067163
ACH-000424,-0.575685755147
ACH-000425,-0.876994194005
ACH-000426,-1.28804374074
ACH-000427,-0.43468056246500003
ACH-000433,-0.5870963832639999
ACH-000436,-0.9884312492489999
ACH-000444,-0.555480685336
ACH-000445,-0.922140649804
ACH-000448,-0.803850517521
ACH-000450,-0.818572588283
ACH-000452,-0.6598382577499999
ACH-000454,-0.9907026358709999
ACH-000458,-0.8613515914219999
ACH-000459,-1.30776572703
ACH-000460,-0.693312170956
ACH-000461,-0.619815323018
ACH-000463,-0.592204991056
ACH-000464,-0.7040902931209999
ACH-000466,-0.545277406014
ACH-000467,-0.377603044579
ACH-000468,-0.7349156724339999
ACH-000469,-0.626650041631
ACH-000470,-0.531553472944
ACH-000471,-0.7883078153829999
ACH-000472,-0.591067085749
ACH-000473,-0.841819651865
ACH-000475,-0.662175295872
ACH-000476,-0.516807762247
ACH-000477,-0.8841940001080001
ACH-000480,-0.511930758037
ACH-000481,-0.8763725492129999
ACH-000483,-0.355260934437
ACH-000484,-0.773480069011
ACH-000485,-0.768891675004
ACH-000486,-0.75237845627
ACH-000487,-0.8017049526209999
ACH-000488,-0.549400799842
ACH-000490,-0.814858707165
ACH-000491,-0.526869470899
ACH-000495,-0.692199748527
ACH-000496,-0.5875246054159999
ACH-000499,-0.225053425401
ACH-000500,-1.15420328886
ACH-000502,-0.607640692462
ACH-000503,-1.0704687341799999
ACH-000505,-0.6099331840119999
ACH-000507,-0.578718372335
ACH-000510,-0.8965236374940001
ACH-000511,-0.684823304693
ACH-000512,-0.758476986925
ACH-000516,-0.7474097371770001
ACH-000517,-1.02886913304
ACH-000518,-0.6807396622490001
ACH-000520,-0.8520549119949999
ACH-000521,-0.61931281411
ACH-000522,-0.660181839053
ACH-000524,-0.667129154411
ACH-000527,-0.523010052998
ACH-000528,-0.572764694138
ACH-000537,-0.58941890083
ACH-000541,-0.9876641279070001
ACH-000542,-0.545067741525
ACH-000544,-0.778770574461
ACH-000545,-0.8206344491840001
ACH-000547,-0.496452820378
ACH-000548,-0.739615569569
ACH-000549,-0.626928938091
ACH-000550,-0.62094125567
ACH-000552,-0.823999911093
ACH-000556,-0.635837650069
ACH-000557,-0.135417352143
ACH-000570,-0.635927161334
ACH-000571,-0.626246588452
ACH-000573,-0.706676275411
ACH-000576,-0.536916900638
ACH-000580,-0.620745139385
ACH-000584,-0.850864745308
ACH-000585,-0.460320565518
ACH-000588,-0.755042007664
ACH-000589,-0.661454557402
ACH-000591,-0.712490515983
ACH-000593,-0.9936956786929999
ACH-000600,-0.913223687041
ACH-000601,-0.7122310649279999
ACH-000604,-0.770144136641
ACH-000605,-1.09246821745
ACH-000606,-0.6197771651
ACH-000608,-1.1510856707700001
ACH-000614,-0.38233287386500003
ACH-000616,-0.917681598812
ACH-000618,-0.7540683385100001
ACH-000619,-0.484620697157
ACH-000620,-0.7994030485179999
ACH-000621,-0.801120299109
ACH-000622,-0.9465078014210001
ACH-000623,-0.9806930944650001
ACH-000624,-0.713184017821
ACH-000627,-0.622536068534
ACH-000630,-0.762844684288
ACH-000632,-0.7453670278300001
ACH-000633,-0.391674160664
ACH-000637,-0.75808139089
ACH-000638,-0.627985005978
ACH-000646,-0.621162591283
ACH-000647,-0.806954406855
ACH-000648,-0.786650798328
ACH-000649,-0.767016315918
ACH-000651,-0.548975095308
ACH-000652,-0.615413484294
ACH-000653,-0.78064264363
ACH-000657,-0.654820807745
ACH-000658,-0.7726880889040001
