,SYVN1 (84447)
ACH-000004,-0.704600129773
ACH-000007,-0.140328614232
ACH-000009,-0.15098806371200002
ACH-000011,-0.432923824995
ACH-000012,-0.6479035354580001
ACH-000013,-0.293332411251
ACH-000014,-0.37817919136999995
ACH-000015,-0.36476935416
ACH-000017,-0.321547670458
ACH-000018,-0.512528490613
ACH-000019,-0.24420500662900002
ACH-000021,-0.33834856099
ACH-000022,-0.39664074416
ACH-000025,-0.422476310959
ACH-000028,-0.488452056205
ACH-000030,-0.312214135384
ACH-000035,-0.490574631479
ACH-000036,-0.5600684010329999
ACH-000037,-0.617480352073
ACH-000039,-0.780236396077
ACH-000040,-0.416555297621
ACH-000041,-0.162154206923
ACH-000042,-0.23398719102899998
ACH-000045,-0.641235447491
ACH-000047,-0.13522541705399999
ACH-000052,-0.46868604240500006
ACH-000053,-0.463834101816
ACH-000054,-0.209101958955
ACH-000055,-0.314216786596
ACH-000060,-0.458807232265
ACH-000067,-0.40302302340499996
ACH-000070,-0.715884320307
ACH-000075,-0.574824327757
ACH-000078,-0.282443766808
ACH-000082,-0.916534299971
ACH-000085,-0.306242540058
ACH-000086,-0.447436813965
ACH-000087,-0.43730531719800003
ACH-000092,-1.1399717415000001
ACH-000095,-0.37380582493299996
ACH-000097,-0.446918876566
ACH-000098,-0.36799735273699996
ACH-000099,-0.269662829174
ACH-000108,-0.327224525118
ACH-000113,-0.517238980839
ACH-000115,-0.661962579516
ACH-000116,-0.443332725912
ACH-000118,-0.756513398821
ACH-000120,-0.381139052379
ACH-000123,-0.569519213419
ACH-000127,-0.310704320129
ACH-000128,-0.32960250026500004
ACH-000132,-0.485983713834
ACH-000133,-0.784407027851
ACH-000137,-0.20999840817899998
ACH-000138,-0.369370325317
ACH-000142,-0.625065806845
ACH-000143,-0.211978489347
ACH-000146,-0.45168362169799997
ACH-000148,-0.31211734187600004
ACH-000150,-0.15212789252
ACH-000152,-0.34484939796400005
ACH-000153,-0.643430119775
ACH-000159,-0.666661131688
ACH-000160,-0.334344600288
ACH-000163,-0.510147449536
ACH-000167,-0.604321162059
ACH-000168,-0.331035368803
ACH-000169,-0.35697573945100003
ACH-000178,-0.324645243902
ACH-000182,-0.255123994688
ACH-000183,-0.756246240169
ACH-000188,-0.517289483436
ACH-000189,-0.643593028706
ACH-000190,-0.5230520171890001
ACH-000198,-0.663213005515
ACH-000204,-0.768995742134
ACH-000206,-0.163274347172
ACH-000207,-0.429559800733
ACH-000211,-0.292959801571
ACH-000215,-0.33842721382
ACH-000221,-0.48753310695600005
ACH-000222,-0.22879092470400003
ACH-000223,-0.311587519859
ACH-000226,-0.195666252093
ACH-000227,-0.158765750303
ACH-000228,-0.284511241546
ACH-000231,-0.603961000778
ACH-000232,-0.09610551618419999
ACH-000233,-0.824584851117
ACH-000234,-0.731060292016
ACH-000235,-0.384755789793
ACH-000237,-0.394232286063
ACH-000238,-0.41671477275200003
ACH-000243,-0.531585250861
ACH-000244,-0.6881439364390001
ACH-000246,-0.635427267589
ACH-000248,-0.470355915212
ACH-000250,-0.853933012317
ACH-000251,-0.05778918141480001
ACH-000253,-0.257124019805
ACH-000255,-0.40829112305299997
ACH-000256,-0.710388575052
ACH-000257,-0.20930248116900002
ACH-000258,-0.226135234405
ACH-000259,-0.312441431672
ACH-000260,-0.461489827211
ACH-000261,-0.416327446105
ACH-000262,-0.601868350425
ACH-000263,-0.153401831962
ACH-000264,-0.385887538375
ACH-000265,-0.249050673719
ACH-000266,-0.4618689830899999
ACH-000272,-0.52247018879
ACH-000273,-0.8183892570550001
ACH-000274,-0.45998975705
ACH-000277,-0.424667998454
ACH-000278,-0.480996374427
ACH-000279,-0.236718438802
ACH-000280,-0.100223405461
ACH-000281,-0.16575108863
ACH-000288,-0.25106561968
ACH-000291,-0.170164954071
ACH-000293,-0.7900692512890001
ACH-000294,0.0466134935986
ACH-000295,-0.138975229498
ACH-000296,-0.186908347333
ACH-000302,-0.18512683985800002
ACH-000304,-0.49680851739799997
ACH-000307,0.0173991121856
ACH-000308,-0.405191159102
ACH-000310,-0.31802193638799997
ACH-000311,-0.27791578204399997
ACH-000312,-0.284420312178
ACH-000315,-0.0717974272282
ACH-000316,-0.35781645158
ACH-000317,-0.688641936852
