,CELA3B (23436)
ACH-000004,0.29513643088799996
ACH-000007,0.23649764216999997
ACH-000009,0.19776103923500002
ACH-000011,0.055041910167500006
ACH-000012,0.0762390584065
ACH-000013,0.0978406088423
ACH-000014,-0.046910227181
ACH-000015,0.239291527679
ACH-000017,0.09879049146220001
ACH-000018,-0.0070854284450600005
ACH-000019,-0.0636866926828
ACH-000021,0.19430296393399998
ACH-000022,0.113277179621
ACH-000025,0.29725155766600003
ACH-000028,0.165441692931
ACH-000030,0.15271311126599998
ACH-000035,0.430364375074
ACH-000036,0.017809187886700002
ACH-000037,0.415852535819
ACH-000039,0.0298930746637
ACH-000040,0.250195041602
ACH-000041,0.37182822104900004
ACH-000042,0.21637757644699998
ACH-000045,0.0968087328771
ACH-000047,0.147701629209
ACH-000052,0.206600230022
ACH-000053,0.258116587601
ACH-000054,0.32373315485
ACH-000055,0.023176798317
ACH-000060,0.058297756480599996
ACH-000067,0.149960680401
ACH-000070,0.115684810141
ACH-000075,0.258131857628
ACH-000078,0.20915577333500002
ACH-000082,0.03688381713680001
ACH-000085,0.0269119837475
ACH-000086,0.150627011583
ACH-000087,0.204824651193
ACH-000092,0.101069564195
ACH-000095,0.203822868921
ACH-000097,0.129042061451
ACH-000098,0.09783072648389998
ACH-000099,-0.0660705530954
ACH-000108,0.026825045125799998
ACH-000113,0.140376160844
ACH-000115,-0.132582950836
ACH-000116,0.148118866527
ACH-000118,0.142123446871
ACH-000120,0.138678938724
ACH-000123,0.22990662174600002
ACH-000127,0.033547762044299996
ACH-000128,-0.111682608398
ACH-000132,0.25525330564800003
ACH-000133,0.147821083918
ACH-000137,0.156990248875
ACH-000138,0.258189974078
ACH-000142,0.112339728373
ACH-000143,0.242378255909
ACH-000146,0.22047882760499998
ACH-000148,0.19502995658
ACH-000150,-0.0626526961122
ACH-000152,0.0282447704504
ACH-000153,0.10881666829000002
ACH-000159,0.00793325809614
ACH-000160,0.185808614382
ACH-000163,0.149967845262
ACH-000167,0.17869081656599997
ACH-000168,0.24268225844799998
ACH-000169,0.298912989976
ACH-000178,0.11701591049900001
ACH-000182,0.327476995548
ACH-000183,0.250033346868
ACH-000188,0.0864121163902
ACH-000189,0.241680216279
ACH-000190,0.131584771231
ACH-000198,0.099921119584
ACH-000204,-0.05851658003119999
ACH-000206,0.24804303087699997
ACH-000207,0.143240066334
ACH-000211,0.10530725823699999
ACH-000215,0.102310596186
ACH-000221,0.11810897722699999
ACH-000222,0.325720627591
ACH-000223,0.28329627444
ACH-000226,0.204307623806
ACH-000227,0.292238031731
ACH-000228,0.0351869236495
ACH-000231,0.194488042958
ACH-000232,0.143863792662
ACH-000233,0.136336626541
ACH-000234,0.0713994554676
ACH-000235,0.148163888137
ACH-000237,0.235528658826
ACH-000238,0.143764263414
ACH-000243,0.119427892393
