,SBNO1 (55206)
ACH-000004,-1.6055250478
ACH-000007,-1.4181560646
ACH-000009,-1.25727255779
ACH-000011,-1.28325048912
ACH-000012,-1.21313482109
ACH-000013,-1.51452270152
ACH-000014,-1.30744044553
ACH-000015,-1.47961355285
ACH-000017,-1.00005065669
ACH-000018,-1.0153824361
ACH-000019,-1.34202408821
ACH-000021,-1.41338367361
ACH-000022,-1.19493004486
ACH-000025,-1.24944129199
ACH-000028,-1.2829542161399998
ACH-000030,-1.2537660466399998
ACH-000035,-1.3226440213500001
ACH-000036,-1.47139572938
ACH-000037,-1.34261461111
ACH-000039,-1.6254491354799998
ACH-000040,-1.5443224979499999
ACH-000041,-1.4075208465399998
ACH-000042,-1.2891406997200001
ACH-000045,-1.47133791352
ACH-000047,-1.2589519932200002
ACH-000052,-1.5234367536200002
ACH-000053,-1.5535341014
ACH-000054,-1.0622896683499998
ACH-000055,-1.32434413826
ACH-000060,-1.25480202865
ACH-000067,-1.19142913636
ACH-000070,-1.44726143558
ACH-000075,-1.35698943321
ACH-000078,-1.45556432685
ACH-000082,-1.2231299395
ACH-000085,-1.29170881877
ACH-000086,-1.0426811788400001
ACH-000087,-1.2465969052299999
ACH-000092,-1.51670974731
ACH-000095,-1.49626056492
ACH-000097,-1.26281461656
ACH-000098,-1.55045633964
ACH-000099,-1.3585396258899998
ACH-000108,-1.3397061574200002
ACH-000113,-1.6602731406400002
ACH-000115,-1.7487496726400003
ACH-000116,-1.29582920015
ACH-000118,-1.25558291713
ACH-000120,-1.2226425341299998
ACH-000123,-1.48365060727
ACH-000127,-1.3239952847299998
ACH-000128,-1.21500665689
ACH-000132,-1.5356458242
ACH-000133,-1.28335515074
ACH-000137,-1.14183958711
ACH-000138,-1.27139747809
ACH-000142,-1.1354064875499998
ACH-000143,-1.5784101711
ACH-000146,-1.2706455126799998
ACH-000148,-1.49571775192
ACH-000150,-1.26549186403
ACH-000152,-1.2854603498200001
ACH-000153,-1.13629444036
ACH-000159,-1.1836502522
ACH-000160,-1.7593845109200001
ACH-000163,-1.05755179968
ACH-000167,-1.51347774869
ACH-000168,-1.4001593437
ACH-000169,-1.39422634197
ACH-000178,-1.4865518557799997
ACH-000182,-1.39690226424
ACH-000183,-1.6558150548700001
ACH-000188,-1.25488132455
ACH-000189,-0.957461191222
ACH-000190,-1.68623881037
ACH-000198,-1.50115123963
ACH-000204,-1.09822535063
