,PCNT (5116)
ACH-000004,-0.38584402181500005
ACH-000007,-0.305442150142
ACH-000009,-0.331482817707
ACH-000011,-0.156699370052
ACH-000012,-0.375147935126
ACH-000013,-0.197728164119
ACH-000014,-0.0244094454439
ACH-000015,-0.579730028589
ACH-000017,-0.260603778762
ACH-000018,-0.620052706099
ACH-000019,-0.648720150525
ACH-000021,-0.267915027558
ACH-000022,-0.164919459981
ACH-000025,-0.26727162008099997
ACH-000028,-0.638743305237
ACH-000030,-0.41770943987400005
ACH-000035,-0.337018808675
ACH-000036,-0.391927313544
ACH-000037,-0.484599177367
ACH-000039,-0.504063563496
ACH-000040,-0.20750704125799999
ACH-000041,-0.324170117805
ACH-000042,-0.651327749376
ACH-000045,-0.138544194886
ACH-000047,0.0011604945116199998
ACH-000052,-0.527527374937
ACH-000053,-0.602469661695
ACH-000054,-0.137777761435
ACH-000055,-0.5028496269730001
ACH-000060,-0.632433284135
ACH-000067,-0.23695877814199998
ACH-000070,-0.264311995485
ACH-000075,-0.38235188647
ACH-000078,-0.565821857679
ACH-000082,-0.463541161424
ACH-000085,-0.293243004325
ACH-000086,-0.290482362395
ACH-000087,-0.394506732745
ACH-000092,-0.19050666903000002
ACH-000095,-0.381915761556
ACH-000097,-0.515554999778
ACH-000098,-0.267404897297
ACH-000099,-0.228056511017
ACH-000108,-0.4048606732
ACH-000113,-0.17335243192699998
ACH-000115,-0.011792902906200001
ACH-000116,-0.530699387356
ACH-000118,-0.0158696581824
ACH-000120,-0.5406376000399999
ACH-000123,-0.6712656294689999
ACH-000127,-0.550277116539
ACH-000128,-0.402035151309
ACH-000132,-0.355753603341
ACH-000133,-0.346786683618
ACH-000137,-0.16797954712299998
ACH-000138,-0.15605716196699998
ACH-000142,-0.30593048907299997
ACH-000143,-0.0952822585733
ACH-000146,-0.100765635124
ACH-000148,-0.34977578699199996
ACH-000150,-0.48426303465899995
ACH-000152,-0.554373595683
ACH-000153,-0.46407936991300003
ACH-000159,-0.293617508853
ACH-000160,-0.429559772354
ACH-000163,-0.38464859221299996
ACH-000167,-0.39905377623000005
ACH-000168,0.024390806878400003
ACH-000169,-0.272500095099
ACH-000178,-0.26492676961399997
ACH-000182,-0.164372123609
ACH-000183,-0.32660603708
ACH-000188,-0.561753902716
ACH-000189,0.049590180055900004
ACH-000190,-0.093417099372
ACH-000198,-0.16241563755000002
ACH-000204,-0.545707280221
ACH-000206,0.0475040627685
ACH-000207,-0.26623029297
ACH-000211,-0.283266595386
ACH-000215,-0.18038383487100002
ACH-000221,-0.49238642671099997
ACH-000222,-0.286175692259
ACH-000223,-0.333612337408
ACH-000226,-0.569154279942
ACH-000227,-0.334276886504
ACH-000228,-0.158593588476
ACH-000231,-0.34279841155900004
ACH-000232,-0.0872305732545
ACH-000233,-0.38818707511999995
ACH-000234,-0.615888667184
ACH-000235,-0.554284800061
ACH-000237,-0.745624123605
ACH-000238,-0.640099834111
ACH-000243,-0.37546043001
ACH-000244,-0.5988026103199999
ACH-000246,-0.370649719615
ACH-000248,-0.503479022535
ACH-000250,-0.573886092342
ACH-000251,-0.475566656832
ACH-000253,-0.328112137619
ACH-000255,-0.175978432691
ACH-000256,-0.330234755927
ACH-000257,0.120570712518
ACH-000258,-0.388536202363
ACH-000259,-0.201970271493
ACH-000260,-0.6236299996570001
ACH-000261,-0.5234964987830001
ACH-000262,-0.20874641296799998
ACH-000263,-0.0178242343108
ACH-000264,-0.651907521596
ACH-000265,-0.333985936566
ACH-000266,-0.40081768867
ACH-000272,-0.18492329127700002
ACH-000273,-0.426420669927
ACH-000274,-0.43980612729199997
ACH-000277,-0.16385976457
ACH-000278,-0.540337074545
ACH-000279,-0.218918371029
ACH-000280,-0.239691659766
ACH-000281,-0.137844127771
ACH-000288,-0.41753915412799997
ACH-000291,-0.293650548409
ACH-000293,0.162472945195
ACH-000294,-0.414313300283
ACH-000295,-0.158394554477
ACH-000296,-0.326384226539
ACH-000302,-0.256532274557
ACH-000304,-0.34475658630500006
ACH-000307,-0.599917727604
ACH-000308,-0.323028066481
ACH-000310,-0.567443194786
ACH-000311,-0.259440323033
ACH-000312,-0.7678153683969999
ACH-000315,-0.42884024215000005
ACH-000316,-0.17792921955899998
ACH-000317,0.00355908394136
ACH-000318,-0.569844543158
ACH-000319,-0.44032822552199996
ACH-000320,-0.36084461171899995
ACH-000322,-0.17672257643800002
ACH-000323,-0.236138575568
ACH-000324,-0.09476035048419999
ACH-000329,-0.348781328718
ACH-000330,-0.389868915749
ACH-000331,-0.477001287806
ACH-000332,-0.691924758688
ACH-000334,0.104293840239
ACH-000335,-0.288957537577
ACH-000336,-0.180731397617
ACH-000337,-0.0323669587608
ACH-000339,-0.281359396366
ACH-000341,-0.39463815055600004
ACH-000348,-0.0566628663611
ACH-000350,-0.821083382068
ACH-000352,-0.39732258142099997
ACH-000356,-0.125458601221
ACH-000361,-0.233987070194
ACH-000362,-0.019626246681999998
ACH-000363,-0.183617636567
ACH-000364,-0.615578311871
ACH-000365,-0.650977881644
ACH-000366,-0.147917131793
ACH-000368,-0.541142973483
ACH-000374,-0.42773663272100004
ACH-000375,-0.289938899943
ACH-000376,-0.138186262072
ACH-000381,-0.36295738022699997
ACH-000383,-0.493915381667
ACH-000387,-0.254746839411
ACH-000389,-0.440300920062
ACH-000390,-0.284645917285
ACH-000393,-0.130029631516
ACH-000395,-0.34449789213699994
ACH-000397,-0.659676091689
ACH-000401,-0.216701382505
ACH-000402,-0.037347667209099995
ACH-000403,-0.324754220979
ACH-000404,-0.556723787806
ACH-000406,-0.251890505162
ACH-000407,-0.45898419569300003
ACH-000408,-0.0677244004972
ACH-000410,-0.400559110075
ACH-000411,-0.168523725055
ACH-000414,-0.12632493590500002
ACH-000415,-0.529539240879
ACH-000416,-0.383999655612
ACH-000420,-0.323832762815
ACH-000421,-0.578203669241
ACH-000424,-0.22968428498500001
ACH-000425,-0.202263511512
ACH-000426,-0.437587528893
ACH-000427,-0.612241102811
ACH-000433,-0.28618697803800003
ACH-000436,-0.260454438639
ACH-000444,-0.42700501701399995
ACH-000445,-0.0625581363401
ACH-000448,-0.26006588333
ACH-000450,0.045788100371099996
ACH-000452,-0.38120365521099997
ACH-000454,-0.40527672450499996
ACH-000458,-0.551205095211
ACH-000459,-0.32228515569899996
ACH-000460,-0.542093449656
ACH-000461,-0.301492349407
ACH-000463,-0.524158066322
ACH-000464,-0.35092315776
ACH-000466,-0.277872975491
ACH-000467,-0.30408324146
ACH-000468,-0.389330737429
ACH-000469,-0.561304062881
ACH-000470,-0.274217262169
ACH-000471,-0.258742349215
ACH-000472,-0.312565662579
ACH-000473,-0.425823995938
ACH-000475,-0.36138063787299995
ACH-000476,-0.0647726489626
ACH-000477,-0.293223118853
ACH-000480,-0.508808446884
ACH-000481,-0.484420451023
ACH-000483,-0.493750905654
ACH-000484,-0.369492928626
ACH-000485,-0.386189786718
ACH-000486,-0.319940722837
ACH-000487,-0.12448017839299999
ACH-000488,-0.522060928764
ACH-000490,-0.411463793804
ACH-000491,-0.440714348905
ACH-000495,-0.25737843050500003
ACH-000496,-0.2640113247
ACH-000499,-0.282560488526
ACH-000500,-0.0805538157052
ACH-000502,-0.48370657323399996
ACH-000503,-0.7273587695649999
ACH-000505,-0.431675773258
ACH-000507,-0.683431071577
ACH-000510,-0.331288723352
ACH-000511,-0.275218509302
ACH-000512,-0.659160331057
ACH-000516,-0.413165051855
ACH-000517,-0.23114495721099998
ACH-000518,-0.503400197375
ACH-000520,-0.5194207747640001
ACH-000521,-0.359948986576
ACH-000522,-0.483920816327
ACH-000524,-0.23475135240800002
ACH-000527,-0.352797792495
ACH-000528,-0.504550289934
ACH-000537,-0.36437517607000003
ACH-000541,-0.22919513109099998
ACH-000542,-0.485005335946
ACH-000544,-0.43892676763899996
ACH-000545,-0.51117136201
ACH-000547,-0.40721475109300004
ACH-000548,-0.186163448266
ACH-000549,-0.534570799803
ACH-000550,-0.45771154709
ACH-000552,-0.502892297869
ACH-000556,-0.18217371006400002
ACH-000557,-0.20279689209600002
ACH-000570,-0.226918187599
ACH-000571,-0.14541803702
ACH-000573,-0.18916318898200002
ACH-000576,-0.31542947491900003
ACH-000580,-0.504415617767
ACH-000584,-0.322179555981
ACH-000585,-0.592723090107
ACH-000588,-0.313933486277
ACH-000589,-0.601702469975
ACH-000591,-0.321085213631
ACH-000593,-0.247893934219
ACH-000600,-0.364070409117
ACH-000601,-0.265177513474
ACH-000604,0.0810933265922
ACH-000605,-0.45061484588600004
ACH-000606,-0.868023864449
ACH-000608,-0.446387949243
