,YY1AP1 (55249)
ACH-000004,-0.043372547143800004
ACH-000007,0.1382034523
ACH-000009,-0.180266473662
ACH-000011,0.0177579144589
ACH-000012,-0.176683543245
ACH-000013,-0.0633947538279
ACH-000014,-0.0992623433553
ACH-000015,-0.0909344736262
ACH-000017,0.24573962692899998
ACH-000018,-0.106023759228
ACH-000019,-0.146082320366
ACH-000021,-0.275987885245
ACH-000022,-0.052095442367000006
ACH-000025,-0.144925381128
ACH-000028,-0.17258837005
ACH-000030,-0.10920362188100001
ACH-000035,-0.002908958245
ACH-000036,-0.09942063772639999
ACH-000037,0.0607383381545
ACH-000039,-0.135430835816
ACH-000040,-0.06498935581519999
ACH-000041,-0.14532914472300001
ACH-000042,0.0845116062988
ACH-000045,-0.041533237109599996
ACH-000047,0.00557983058502
ACH-000052,-0.277982724761
ACH-000053,-0.0765893526206
ACH-000054,0.0308534358227
ACH-000055,-0.24756291598400001
ACH-000060,0.024825221738200003
ACH-000067,0.08005336214389999
ACH-000070,0.0347858757042
ACH-000075,0.0113573919261
ACH-000078,-0.256310938156
ACH-000082,-0.09356919551889999
ACH-000085,-0.0075825289650699994
ACH-000086,-0.313934096118
ACH-000087,-0.0583401658996
ACH-000092,-0.11817151935699999
ACH-000095,-0.183722926679
ACH-000097,0.0146266821049
ACH-000098,-0.024649347364599998
ACH-000099,-0.0313319075624
ACH-000108,0.0330329269915
ACH-000113,0.0993622384419
ACH-000115,0.0113595660724
ACH-000116,-0.044084044595300007
ACH-000118,-0.128308417239
ACH-000120,-0.0968326612982
ACH-000123,-0.190195004961
ACH-000127,-0.08803660822529999
ACH-000128,-0.0872407426425
ACH-000132,-0.05917360851009999
ACH-000133,-0.16656866391
ACH-000137,-0.0349314908834
ACH-000138,-0.139244341088
ACH-000142,-0.119037470396
ACH-000143,-0.207506003739
ACH-000146,-0.09740964621850001
ACH-000148,-0.13852276414200002
ACH-000150,-0.092518501033
ACH-000152,-0.159035768948
ACH-000153,-0.34547024030199996
ACH-000159,-0.23560400064599998
ACH-000160,-0.0348745687514
ACH-000163,-0.176919709243
ACH-000167,0.166054879462
ACH-000168,-0.163440271439
ACH-000169,-0.045975138756999996
ACH-000178,0.0023731278959899997
ACH-000182,-0.237587308516
ACH-000183,0.054738710013800006
ACH-000188,-0.0730812238012
ACH-000189,0.0662606729869
ACH-000190,-0.186490497845
ACH-000198,-0.06667473088840001
ACH-000204,-0.35662586526699996
ACH-000206,0.09646252292860001
ACH-000207,0.00960132361616
ACH-000211,-0.0376379968004
ACH-000215,-0.199052054417
ACH-000221,-0.05640626553690001
ACH-000222,-0.053378180383599996
ACH-000223,-0.13160717557600002
ACH-000226,-0.0377229281984
ACH-000227,0.140276425568
ACH-000228,-0.158603223905
ACH-000231,-0.0622436688179
ACH-000232,-0.192553389111
ACH-000233,0.0333605520168
ACH-000234,-0.043316945942199994
ACH-000235,-0.0955709895702
ACH-000237,-0.061216711450300006
ACH-000238,0.011691039277899998
ACH-000243,-0.0910027588143
ACH-000244,-0.315021143152
ACH-000246,-0.18176581193799998
ACH-000248,-0.231391324243
ACH-000250,-0.112813222393
ACH-000251,0.08143143639980001
ACH-000253,0.05512629950180001
ACH-000255,-0.188907475181
ACH-000256,0.0199301580781
ACH-000257,-0.341777160559
ACH-000258,-0.0273748702617
ACH-000259,-0.0593076257632
ACH-000260,-0.146172485134
ACH-000261,-0.08111069496369999
ACH-000262,0.0171616751874
ACH-000263,-0.21122875230500002
ACH-000264,-0.317695621534
ACH-000265,0.045748067705699995
ACH-000266,-0.0522006377157
ACH-000272,-0.218730564364
ACH-000273,-0.107823565735
ACH-000274,0.0789208222685
ACH-000277,0.0633950093678
ACH-000278,-0.0131518981675
ACH-000279,-0.0131707564335
ACH-000280,-0.0154896312192
ACH-000281,0.146362506517
ACH-000288,-0.07834945126180001
ACH-000291,0.016976518244700003
ACH-000293,-0.0944896669658
ACH-000294,-0.112045720553
ACH-000295,0.0530778089364
ACH-000296,-0.0566597195209
ACH-000302,-0.13002423911900002
ACH-000304,0.07003405385030001
ACH-000307,0.108210263751
ACH-000308,-0.17330610165
ACH-000310,-0.178779002875
ACH-000311,-0.184416625043
ACH-000312,-0.0763215480905
ACH-000315,0.185171530867
ACH-000316,0.00242733685206
ACH-000317,-0.07898374871960001
ACH-000318,-0.136663215264
ACH-000319,-0.207849528482
ACH-000320,-0.157973187291
ACH-000322,-0.24320559604000003
ACH-000323,-0.0160016260343
ACH-000324,-0.140732700884
ACH-000329,-0.0748902519454
ACH-000330,-0.135971442124
