,APLP1 (333)
ACH-000004,-0.176273755467
ACH-000007,-0.34554222856399996
ACH-000009,-0.159417873201
ACH-000011,-0.274935615794
ACH-000012,-0.0870681846269
ACH-000013,-0.669448153604
ACH-000014,-0.106006717587
ACH-000015,-0.335353902414
ACH-000017,-0.23630235073199998
ACH-000018,-0.461912428957
ACH-000019,-0.17620468032699999
ACH-000021,-0.217060230031
ACH-000022,-0.23273803766800003
ACH-000025,0.0085025298617
ACH-000028,-0.254459332861
ACH-000030,-0.263607143514
ACH-000035,-0.159081488445
ACH-000036,-0.119797043472
ACH-000037,-0.112508131537
ACH-000039,-0.0231376455854
ACH-000040,-0.18240898123100002
ACH-000041,-0.127422148708
ACH-000042,-0.19367717011799998
ACH-000045,-0.158252012705
ACH-000047,-0.115272711892
ACH-000052,-0.18556797798099997
ACH-000053,-0.094172072063
ACH-000054,-0.215641310343
ACH-000055,-0.142134114022
ACH-000060,-0.289266876985
ACH-000067,-0.215892083814
ACH-000070,-0.346923248697
ACH-000075,-0.30202668031700003
ACH-000078,-0.0638382887865
ACH-000082,-0.30724802594
ACH-000085,-0.237293346127
ACH-000086,-0.244041765099
ACH-000087,-0.07812625146430001
ACH-000092,-0.433073411276
ACH-000095,-0.150486435063
ACH-000097,-0.34883918308300005
ACH-000098,-0.261932549865
ACH-000099,-0.253201882179
ACH-000108,-0.11071325230699999
ACH-000113,-0.23013341570700002
ACH-000115,-0.351692918559
ACH-000116,-0.204508883676
ACH-000118,-0.0788622877926
ACH-000120,-0.158633006575
ACH-000123,-0.0831844613794
ACH-000127,-0.0735040563523
ACH-000128,-0.196122057803
ACH-000132,-0.0741435364375
ACH-000133,-0.34869533346799997
ACH-000137,-0.663529806632
ACH-000138,-0.32691473532299997
ACH-000142,-0.216980780429
ACH-000143,-0.174978473798
ACH-000146,-0.154350820951
ACH-000148,0.0137546549305
ACH-000150,-0.0871211310547
ACH-000152,-0.253749802935
ACH-000153,-0.28781780332
ACH-000159,-0.25103837611900004
ACH-000160,-0.103906881325
ACH-000163,-0.200138191674
ACH-000167,-0.21990636235199998
ACH-000168,-0.00749877461762
ACH-000169,-0.167709005586
ACH-000178,-0.107367585438
ACH-000182,-0.0503252681934
ACH-000183,-0.247781698966
ACH-000188,-0.300598713209
ACH-000189,-0.243749667795
ACH-000190,-0.47950624173399997
ACH-000198,-0.258200903709
ACH-000204,0.0831050503357
ACH-000206,-0.061269218499
ACH-000207,-0.185327452366
ACH-000211,-0.16081579660599998
ACH-000215,-0.20241852341299998
ACH-000221,-0.266671155457
ACH-000222,-0.182818691581
ACH-000223,-0.105021459594
ACH-000226,-0.180573821352
ACH-000227,-0.36784775848800005
ACH-000228,-0.222055579351
ACH-000231,-0.20898351948199997
ACH-000232,-0.236973776114
ACH-000233,-0.19812803973200002
ACH-000234,-0.199424457975
ACH-000235,-0.155922044387
ACH-000237,-0.190945925953
ACH-000238,0.023501689078599997
ACH-000243,-0.156737460779
ACH-000244,-0.0757284971496
ACH-000246,-0.240456530339
ACH-000248,-0.23713508753499998
ACH-000250,-0.300259601475
ACH-000251,-0.801646302307
ACH-000253,-0.21492699250300001
ACH-000255,-0.34792271687200005
ACH-000256,-0.0750635125533
ACH-000257,-0.25541433594
ACH-000258,-0.230630016531
ACH-000259,-0.263464542716
ACH-000260,-0.133050525724
ACH-000261,-0.268912399834
ACH-000262,-0.39901249001100003
ACH-000263,0.0047224500235
ACH-000264,-0.07510366470539999
ACH-000265,-0.100599462981
ACH-000266,-0.256329931513
ACH-000272,-0.07395641158869999
ACH-000273,-0.101098120409
ACH-000274,-0.219310759942
ACH-000277,-0.25006433643000003
ACH-000278,-0.404377921272
ACH-000279,-0.07061425259739999
ACH-000280,-0.293207819526
ACH-000281,-0.029457133955799998
ACH-000288,-0.061280941321199996
ACH-000291,-0.321471328427
ACH-000293,-0.914824303101
ACH-000294,0.014483218491
ACH-000295,-0.257442850845
ACH-000296,-0.0876991777176
ACH-000302,-0.397196608893
ACH-000304,-0.22594627195099998
ACH-000307,0.029425147458799997
ACH-000308,-0.18555624667399997
ACH-000310,-0.0456750863401
ACH-000311,-0.28645456396499996
ACH-000312,-0.0155271313357
ACH-000315,-0.32781367014
ACH-000316,0.067719008573
ACH-000317,0.0356907610798
ACH-000318,-0.396587606811
ACH-000319,-0.212260885053
ACH-000320,0.107091312843
ACH-000322,-0.106461842172
ACH-000323,-0.220987855096
ACH-000324,-0.269002846713
ACH-000329,-0.19383076519200002
ACH-000330,-0.23632234078000003
ACH-000331,-0.057434036907599996
ACH-000332,-0.24868343886500002
ACH-000334,-0.21784059525199997
ACH-000335,-0.152946058798
ACH-000336,-0.224926045854
ACH-000337,0.0042286794150499995
ACH-000339,-0.10669313509600001
ACH-000341,-0.309535992451
ACH-000348,-0.231227104212
ACH-000350,-0.111473575967
ACH-000352,-0.10732862322
ACH-000356,-0.464924531967
ACH-000361,0.0668784279654
ACH-000362,-0.15596307187300001
ACH-000363,-0.28697432160799996
ACH-000364,-0.15881345768
ACH-000365,-0.139979607624
ACH-000366,-0.15250200768799999
ACH-000368,-0.240212236783
ACH-000374,0.0419153710282
ACH-000375,-0.579126048673
ACH-000376,-0.09363126564200001
ACH-000381,0.09419212320160002
ACH-000383,-0.08951804992000001
ACH-000387,-0.30709358693100003
ACH-000389,-0.214134982775
ACH-000390,-0.14701713907800001
ACH-000393,-0.09270795386669999
ACH-000395,-0.0718385211206
ACH-000397,-0.425463072145
ACH-000401,-0.316525973072
ACH-000402,0.151681700867
ACH-000403,-0.0652641843226
ACH-000404,-0.171261100278
ACH-000406,-0.06921578841489999
ACH-000407,-0.0730290270422
ACH-000408,-0.257582757409
ACH-000410,-0.254079195549
ACH-000411,-0.257563063492
ACH-000414,-0.247363361969
ACH-000415,-0.08741047541919998
ACH-000416,-0.228005916834
ACH-000420,-0.0907175901007
ACH-000421,-0.135733342727
ACH-000424,0.0920498101548
ACH-000425,-0.186190810785
ACH-000426,-0.130372993697
ACH-000427,-0.09866618730080001
ACH-000433,-0.0689037547557
ACH-000436,-0.10545739507600001
ACH-000444,-0.16995432625300003
ACH-000445,-0.22275381499400002
ACH-000448,-0.00718828293882
ACH-000450,-0.20685697040399997
ACH-000452,-0.053489967434900004
ACH-000454,-0.24152970021899997
ACH-000458,-0.312510804061
ACH-000459,-0.299689131497
ACH-000460,-0.1097413782
ACH-000461,-0.133276246926
ACH-000463,-0.199083156204
ACH-000464,-0.17406777223900002
ACH-000466,-0.24315001745499998
ACH-000467,-0.043055441774
ACH-000468,-0.176367512161
ACH-000469,-0.23021393964
ACH-000470,-0.309876486621
ACH-000471,-0.328267642277
ACH-000472,-0.210383572802
ACH-000473,-0.204579128682
ACH-000475,-0.234162037513
ACH-000476,-0.139574601966
ACH-000477,-0.230292460695
ACH-000480,-0.135876741279
ACH-000481,-0.259928100834
ACH-000483,-0.255900103923
ACH-000484,-0.34788765494499996
ACH-000485,-0.36052065594300003
ACH-000486,-0.457845682047
ACH-000487,-0.0677250086745
ACH-000488,-0.101804444594
ACH-000490,-0.221195039472
ACH-000491,-0.240837340939
ACH-000495,-0.0745002613555
