,TNP1 (7141)
ACH-000004,-0.17796562848900002
ACH-000007,-0.011402590170200002
ACH-000009,-0.122080245792
ACH-000011,0.032226347793900004
ACH-000012,-0.09742915183760001
ACH-000013,0.0123919134301
ACH-000014,-0.00317138141253
ACH-000015,-0.00773252661186
ACH-000017,0.0213522949596
ACH-000018,0.0160360749798
ACH-000019,-0.26540938229
ACH-000021,0.103605563925
ACH-000022,-0.0396549458678
ACH-000025,0.00958593403268
ACH-000028,-0.00201183226129
ACH-000030,-0.0358071806393
ACH-000035,0.333048200011
ACH-000036,-0.028994001611500002
ACH-000037,-0.281146028285
ACH-000039,0.05260956319630001
ACH-000040,-0.126395623047
ACH-000041,-0.178812142018
ACH-000042,-0.0665406149615
ACH-000045,-0.177836657273
ACH-000047,0.0479725830958
ACH-000052,-0.297019828557
ACH-000053,-0.11482001704500001
ACH-000054,-0.0815523498793
ACH-000055,-0.0337394388528
ACH-000060,0.00474705780359
ACH-000067,-0.0766105698224
ACH-000070,0.053795291248000005
ACH-000075,-0.126572266185
ACH-000078,-0.251560995743
ACH-000082,-0.0346003220219
ACH-000085,-0.111026390575
ACH-000086,-0.0100777613542
ACH-000087,-0.165387056899
ACH-000092,0.0563752488839
ACH-000095,-0.13460111749099998
ACH-000097,-0.037447547380300004
ACH-000098,-0.00421424814691
ACH-000099,-0.0116405589139
ACH-000108,-0.0811253066418
ACH-000113,-0.060883027751000005
ACH-000115,-0.0263875997331
ACH-000116,-0.00576115612693
ACH-000118,-0.0546716977559
ACH-000120,-0.0154055852473
ACH-000123,-0.00201113306756
ACH-000127,-0.0562337470147
ACH-000128,-0.131503600683
ACH-000132,0.107485201936
ACH-000133,-0.07330028076299999
ACH-000137,-0.140718997762
ACH-000138,0.0954965077949
ACH-000142,0.121760167684
ACH-000143,-0.0360982339586
ACH-000146,-0.026273013439
ACH-000148,0.0118144615316
ACH-000150,0.0122854316603
ACH-000152,-0.10366986722999999
ACH-000153,-0.28636549796
ACH-000159,-0.03643869794830001
ACH-000160,0.32893580003600004
ACH-000163,-0.209452330778
ACH-000167,0.0476451565154
ACH-000168,-0.269296525829
ACH-000169,-0.06523680284950001
ACH-000178,-0.0271555729011
ACH-000182,-0.0998013120444
ACH-000183,-0.0616298994794
