,PYGO2 (90780)
ACH-000004,-0.39084210090899996
ACH-000007,-0.288810232906
ACH-000009,-0.382178211428
ACH-000011,-0.0560488136032
ACH-000012,-0.15626770943499999
ACH-000013,-0.291707813195
ACH-000014,-0.14863217101099999
ACH-000015,-0.450557689
ACH-000017,-0.0940034146702
ACH-000018,-0.249979217667
ACH-000019,-0.417133436179
ACH-000021,-0.202790550972
ACH-000022,-0.177842074242
ACH-000025,-0.221452632755
ACH-000028,-0.340967649762
ACH-000030,-0.150969948085
ACH-000035,-0.17115845017200002
ACH-000036,-0.478582590766
ACH-000037,-0.139844571982
ACH-000039,-0.191346576463
ACH-000040,-0.368381878942
ACH-000041,-0.20740974232200002
ACH-000042,-0.200827927388
ACH-000045,-0.33119585282499997
ACH-000047,-0.193202760957
ACH-000052,-0.35090008042099996
ACH-000053,-0.273670859078
ACH-000054,-0.304680640669
ACH-000055,-0.420181192657
ACH-000060,-0.06666061558849999
ACH-000067,-0.0087337369944
ACH-000070,-0.264586463008
ACH-000075,-0.197840082836
ACH-000078,-0.269817645966
ACH-000082,-0.341144396168
ACH-000085,-0.12156675149900001
ACH-000086,-0.343067848338
ACH-000087,-0.33938045184
ACH-000092,-0.38992687626199996
ACH-000095,-0.057983624441200005
ACH-000097,-0.646129316909
ACH-000098,-0.28684635394499997
ACH-000099,-0.07756675439710001
ACH-000108,-0.141840631398
ACH-000113,-0.349111260531
ACH-000115,-0.502265809454
ACH-000116,-0.172252264978
ACH-000118,-0.130731059904
ACH-000120,-0.198884881498
ACH-000123,-0.33402514158700003
ACH-000127,-0.200343429037
ACH-000128,-0.5359957874310001
ACH-000132,-0.434729563292
ACH-000133,-0.232712001847
ACH-000137,-0.09472514297319999
ACH-000138,-0.04799967558090001
ACH-000142,-0.200184508438
ACH-000143,-0.140274929441
ACH-000146,-0.168841673658
ACH-000148,-0.275112224295
ACH-000150,-0.145871836645
ACH-000152,-0.196938133256
ACH-000153,-0.334540046332
ACH-000159,-0.18246591333299997
ACH-000160,0.12420466117699999
ACH-000163,-0.341206777628
ACH-000167,0.525382361166
ACH-000168,-0.228179149784
ACH-000169,-0.347038271999
ACH-000178,0.156703568339
ACH-000182,0.0494382755162
ACH-000183,-0.31211880093600003
ACH-000188,-0.23823610364199999
ACH-000189,-0.638848150964
ACH-000190,0.00398535717634
ACH-000198,-0.251997343007
ACH-000204,-0.274403376978
ACH-000206,-0.251273972932
ACH-000207,0.0173380639336
ACH-000211,-0.236771002632
ACH-000215,-0.220398129824
ACH-000221,-0.380023427085
ACH-000222,-0.144738390775
ACH-000223,0.015104395985399999
ACH-000226,-0.12919665996500002
ACH-000227,-0.14425449284000003
ACH-000228,-0.381054717634
ACH-000231,-0.26155550606100003
ACH-000232,-0.15570702792000002
ACH-000233,-0.44667901323799997
ACH-000234,-0.31663876228599996
ACH-000235,-0.166965067968
ACH-000237,-0.24159182402399998
ACH-000238,-0.16744006912
ACH-000243,-0.217031825337
ACH-000244,-0.107324040535
ACH-000246,-0.44933920369499997
ACH-000248,-0.0880077301101
ACH-000250,-0.22356015117400002
ACH-000251,-0.209020828779
ACH-000253,-0.211791759091
ACH-000255,-0.269623035565
ACH-000256,-0.36668209990500006
ACH-000257,-0.225000507414
ACH-000258,-0.110998606008
ACH-000259,-0.325020458276
ACH-000260,-0.26534592593
ACH-000261,-0.07958598204310001
ACH-000262,0.0133912827543
ACH-000263,-0.190644182534
ACH-000264,-0.26401910302299997
ACH-000265,-0.24226807836800002
ACH-000266,-0.157008958873
ACH-000272,-0.277529866931
ACH-000273,-0.22498204431999996
ACH-000274,0.0192842956125
ACH-000277,-0.15043444720899998
ACH-000278,-0.228798708001
ACH-000279,-0.13335374101
ACH-000280,0.0557139945516
ACH-000281,-0.104789502439
ACH-000288,-0.16988960283399998
ACH-000291,-0.0307850901193
ACH-000293,0.0112758470125
ACH-000294,-0.23174702587499998
ACH-000295,-0.0445978977367
ACH-000296,-0.326224537916
ACH-000302,-0.0887934621974
ACH-000304,-0.305254049851
ACH-000307,0.0626477925155
ACH-000308,-0.29291321704
ACH-000310,-0.219259515205
ACH-000311,-0.214421828468
ACH-000312,-0.29437615127300004
ACH-000315,-0.18606833945999998
ACH-000316,-0.180435131413
ACH-000317,-0.164925053072
ACH-000318,-0.19755080209000003
ACH-000319,-0.31679586100699997
ACH-000320,-0.337057759068
ACH-000322,-0.08087346700230001
ACH-000323,-0.307074827175
ACH-000324,-0.264839982566
ACH-000329,-0.0313709553972
ACH-000330,-0.187824493306
ACH-000331,-0.264353030439
ACH-000332,-0.249732285202
ACH-000334,-0.151259836625
ACH-000335,-0.10883674702299999
ACH-000336,-0.5770496292989999
ACH-000337,-0.39290449004100003
ACH-000339,-0.15306176621099998
ACH-000341,-0.451223949939
ACH-000348,-0.0683291106637
ACH-000350,-0.41003368613799995
ACH-000352,-0.191368706382
ACH-000356,-0.378334401395
ACH-000361,0.0397115623259
ACH-000362,-0.122312410999
ACH-000363,0.0425859894042
ACH-000364,-0.237079973711
ACH-000365,-0.282876678409
ACH-000366,-0.31860877341899996
ACH-000368,0.050561924997
ACH-000374,-0.176095936163
ACH-000375,-0.220598170399
ACH-000376,-0.288068545363
ACH-000381,-0.506503833057
ACH-000383,-0.25378929699499997
ACH-000387,-0.17084699164
ACH-000389,-0.421693178744
ACH-000390,-0.264993027575
ACH-000393,-0.106609665819
ACH-000395,-0.191128958073
ACH-000397,-0.175039874728
ACH-000401,-0.405402260343
ACH-000402,0.0312603060061
ACH-000403,-0.28708913124499996
ACH-000404,-0.190546839808
ACH-000406,-0.298413647739
ACH-000407,-0.30395180238
ACH-000408,0.09674883790069999
ACH-000410,-0.47650372608499997
ACH-000411,0.0965626944617
ACH-000414,-0.24528859635000003
ACH-000415,-0.256136095448
