,MCM4 (4173)
ACH-000461,-0.988716918399
ACH-000463,-1.37500475895
ACH-000464,-1.331976448
ACH-000466,-1.08762839463
ACH-000467,-1.3880720909600002
ACH-000468,-1.13614188353
ACH-000469,-1.28139005256
ACH-000470,-1.63556054274
ACH-000471,-1.29959999032
ACH-000472,-1.27407445976
ACH-000473,-1.00962370106
ACH-000475,-1.4523947094
ACH-000476,-1.16206007548
ACH-000477,-1.1688977460299999
ACH-000480,-1.1225096699
ACH-000481,-1.27065544396
ACH-000483,-0.6991714354180001
ACH-000484,-1.5694695577899997
ACH-000485,-1.18259389951
ACH-000486,-1.2513411522799998
ACH-000487,-1.12445257129
ACH-000488,-1.0665350533700002
ACH-000490,-1.01097744815
ACH-000491,-1.1705380225
ACH-000495,-1.4534246407499998
ACH-000496,-1.24121628323
ACH-000499,-1.14433970406
ACH-000500,-1.09630662344
ACH-000502,-1.03357067588
ACH-000503,-1.3052394619
ACH-000505,-1.40424157345
ACH-000507,-1.31915885518
ACH-000510,-1.1377763092
ACH-000511,-1.53355315735
ACH-000512,-1.41918901591
ACH-000516,-1.3733018607799998
ACH-000517,-1.3198363638600001
ACH-000518,-1.13688743836
ACH-000520,-1.15996692184
ACH-000521,-0.9856461759990001
ACH-000522,-1.47594198079
ACH-000524,-1.00716603099
ACH-000527,-0.983041287588
ACH-000528,-1.2369547817
ACH-000537,-1.33186306718
ACH-000541,-1.2810208759200001
ACH-000542,-1.1005944629
ACH-000544,-1.0535567928799998
ACH-000545,-1.28636536987
ACH-000547,-0.762536843691
ACH-000548,-0.748225990362
ACH-000549,-0.911158783197
ACH-000550,-1.14279885215
ACH-000552,-1.41500433471
ACH-000556,-0.995172672113
ACH-000557,-1.49165204685
ACH-000570,-1.2383884667799998
ACH-000571,-1.43721872412
ACH-000573,-1.20758248356
ACH-000576,-1.1191359385100002
ACH-000580,-1.35973300693
ACH-000584,-1.2130058209299999
ACH-000585,-1.07929680973
ACH-000588,-1.0455281994499999
ACH-000589,-1.22608461323
ACH-000591,-1.18379284639
ACH-000593,-1.14691447308
ACH-000600,-1.22814575561
ACH-000601,-1.1590534319399999
ACH-000604,-0.556301238533
ACH-000605,-0.9062268380830001
ACH-000606,-0.9607411568719999
ACH-000608,-1.0496440118700001
ACH-000614,-1.43466684229
ACH-000616,-1.08290307281
ACH-000618,-0.906978753947
ACH-000619,-1.1748789238
ACH-000620,-1.1286451430700002
ACH-000621,-1.39254394875
ACH-000622,-1.7916821653200001
ACH-000623,-1.31785978629
ACH-000624,-1.18214746417
ACH-000627,-1.0553959044399999
ACH-000630,-1.01500710364
ACH-000632,-1.45201140972
ACH-000633,-1.15033602202
ACH-000637,-1.02250027393
ACH-000638,-1.1924289401600001
ACH-000646,-0.894008172575
ACH-000647,-1.27856749815
ACH-000648,-1.00282586912
ACH-000649,-1.2114371733700002
ACH-000651,-1.28038090464
ACH-000652,-1.41200421445
ACH-000653,-1.14848052111
ACH-000657,-1.26865617304
ACH-000658,-1.07313700005
ACH-000661,-1.33474090095
ACH-000662,-1.63650909979
ACH-000663,-1.35231504058
ACH-000665,-1.14777837061
ACH-000671,-0.9023695822799999
ACH-000673,-1.18894010062
ACH-000676,-1.21672763557
ACH-000677,-1.29608606537
ACH-000681,-1.0541871734700001
ACH-000682,-1.0223401374799999
ACH-000683,-1.3633648681000001
ACH-000684,-1.0824385617399999
ACH-000688,-1.34509862194
ACH-000693,-1.20244349321
ACH-000694,-1.07871222364
ACH-000695,-1.58632836804
ACH-000696,-1.08976195862
ACH-000697,-1.13226435844
ACH-000699,-0.9793872153669999
ACH-000701,-0.7437680731370001
ACH-000706,-1.19052419544
ACH-000711,-1.06494348881
ACH-000713,-1.06893922838
ACH-000714,-1.18780259594
ACH-000718,-0.828616071557
ACH-000720,-1.31891221976
ACH-000721,-1.26651930938
ACH-000724,-1.04658631521
ACH-000725,-1.79323043257
ACH-000732,-0.968216528925
ACH-000734,-1.5418734892299997
ACH-000735,-0.793446670714
ACH-000736,-1.30881110398
ACH-000738,-1.07525893683
ACH-000746,-1.15831122165
ACH-000747,-1.07904325679
ACH-000748,-1.26094969573
ACH-000753,-1.1452032367
ACH-000756,-1.2148473544399998
ACH-000757,-1.1922065234299999
ACH-000758,-0.969761198248
ACH-000760,-1.2888375842200002
ACH-000763,-1.31582028921
ACH-000764,-1.0879022774200002
ACH-000765,-0.9303760555670001
ACH-000766,-1.23420837152
ACH-000767,-1.08803154912
ACH-000768,-1.4385914901299999
ACH-000769,-1.16577260902
ACH-000770,-1.30527302484
ACH-000771,-0.987980751197
ACH-000773,-1.0131999359000001
ACH-000776,-1.15867859536
ACH-000777,-0.738417876404
ACH-000778,-1.0855642561299998
ACH-000781,-1.13945522771
ACH-000782,-1.29631041124
ACH-000783,-1.81940823445
ACH-000784,-1.01868224421
ACH-000785,-1.40462926597
ACH-000787,-1.3634961780300001
ACH-000788,-1.3089740026999999
ACH-000791,-1.16412977483
ACH-000792,-0.987586044521
ACH-000794,-1.2528438653899998
ACH-000796,-1.5268203991999998
ACH-000799,-1.42443395833
ACH-000800,-1.15600885711
ACH-000802,-1.3254034404100001
ACH-000804,-1.45853003829
ACH-000805,-1.08212686645
ACH-000809,-1.22923872954
ACH-000810,-0.796830508915
ACH-000811,-1.45825742782
ACH-000817,-1.0074850458
ACH-000819,-1.35565675848
ACH-000820,-1.11668303236
ACH-000821,-1.0745916560200002
ACH-000822,-1.61440713192
ACH-000823,-1.3100274700599999
ACH-000824,-1.14437820203
ACH-000827,-1.27282648354
ACH-000829,-1.03119907781
ACH-000831,-1.21338881612
ACH-000832,-0.99829550562
ACH-000833,-1.16948292817
ACH-000834,-1.12208466203
ACH-000835,-1.24886691176
ACH-000836,-1.1557633788400001
ACH-000837,-1.0525852031
ACH-000838,-1.06636355627
ACH-000839,-1.11951163775
ACH-000840,-1.0585728695
ACH-000841,-1.25673905407
ACH-000843,-1.10218299298
ACH-000846,-1.22571236683
ACH-000847,-1.4098676426899999
ACH-000848,-1.0558851623
ACH-000849,-1.5335694785299998
