,ACACB (32)
ACH-000004,-0.10137585428
ACH-000007,-0.09679348125610002
ACH-000009,-0.153891331828
ACH-000011,-0.0349958118831
ACH-000012,-0.102653002636
ACH-000013,-0.0202155537401
ACH-000014,-0.0163921893119
ACH-000015,-0.163493162927
ACH-000017,-0.14317694629
ACH-000018,-0.171674069323
ACH-000019,0.13168011127499998
ACH-000021,-0.26128315910100003
ACH-000022,-0.127507874845
ACH-000025,-0.0391827886402
ACH-000028,0.034155407778599996
ACH-000030,-0.040435419648500004
ACH-000035,0.010145261548299998
ACH-000036,0.015057897626
ACH-000037,-0.114444194111
ACH-000039,-0.061014784233999995
ACH-000040,-0.0379073927332
ACH-000041,-0.122869947738
ACH-000042,-0.113290086752
ACH-000045,0.050776490196199994
ACH-000047,-0.0498145661115
ACH-000052,-0.136735710874
ACH-000053,-0.155518089101
ACH-000054,-0.116936948715
ACH-000055,0.016862188869
ACH-000060,-0.13288972006799998
ACH-000067,-0.14687549014100001
ACH-000070,-0.18136187015299998
ACH-000075,-0.10219523393300001
ACH-000078,-0.215484235247
ACH-000082,-0.072329260629
ACH-000085,-0.017421120906200002
ACH-000086,-0.0600164570079
ACH-000087,-0.169479257442
ACH-000092,-0.0637846132746
ACH-000095,-0.028460166308300002
ACH-000097,-0.0667249285701
ACH-000098,0.0258409652572
ACH-000099,-0.23895059875900002
ACH-000108,-0.205994093578
ACH-000113,0.0226508362244
ACH-000115,-0.117439469871
ACH-000116,-0.0954406107836
ACH-000118,-0.043868566237199993
ACH-000120,-0.025530044537
ACH-000123,-0.037919802476800005
ACH-000127,-0.0847532755817
ACH-000128,-0.022065796071000003
ACH-000132,-0.07678926246039999
ACH-000133,-0.040536977405
ACH-000137,-0.06806513551400001
ACH-000138,-0.216383236075
ACH-000142,-0.0355367064332
ACH-000143,-0.0448299127775
ACH-000146,-0.07388938704760001
ACH-000148,-0.172975692744
ACH-000150,-0.0915537458598
ACH-000152,-0.21486054995
ACH-000153,-0.207964321696
ACH-000159,-0.171464916035
ACH-000160,0.108024875937
ACH-000163,-0.266529308561
ACH-000167,-0.157039217906
ACH-000168,-0.0328643132752
ACH-000169,-0.111461655305
ACH-000178,0.045078871906900006
ACH-000182,-0.133913466826
ACH-000183,-0.114366123323
ACH-000188,-0.0319200062593
ACH-000189,-0.418597395246
ACH-000190,-0.36243541766500004
ACH-000198,-0.0185020065631
ACH-000204,-0.0162561001748
ACH-000206,-0.0551965321805
ACH-000207,0.0370543138876
ACH-000211,-0.08137064506839999
ACH-000215,-0.176970043191
ACH-000221,-0.0244434488325
ACH-000222,-0.0363627612839
ACH-000223,-0.0719264353968
ACH-000226,-0.0158847286457
ACH-000227,-0.143386989224
ACH-000228,-0.0468819888555
ACH-000231,-0.045424655951500005
ACH-000232,-0.13985895413899999
ACH-000233,-0.059831906651300004
ACH-000234,-0.00889385016429
ACH-000235,-0.06915104569839998
ACH-000237,-0.283461508788
ACH-000238,-0.158609354364
ACH-000243,-0.138967223763
ACH-000244,-0.0020650877293399996
ACH-000246,-0.0638590054415
ACH-000248,-0.0318588348527
ACH-000250,-0.121704354715
ACH-000251,-0.118311633598
ACH-000253,-0.155067650461
ACH-000255,0.04450597428780001
ACH-000256,0.0561478219909
ACH-000257,-0.264052989285
ACH-000258,-0.12516844591700002
ACH-000259,-0.125558450007
ACH-000260,0.0132902387836
ACH-000261,-0.00820137627834
ACH-000262,-0.0239700741786
ACH-000263,0.030416831560200003
ACH-000264,-0.0259842527417
ACH-000265,-0.151366817988
ACH-000266,-0.115906678062
ACH-000272,-0.0148015694784
ACH-000273,-0.0505560386058
ACH-000274,-0.0768778657758
ACH-000277,-0.09929280655999999
ACH-000278,-0.267697998695
ACH-000279,-0.0315662975084
ACH-000280,0.044897156040599996
ACH-000281,-0.39501654932700003
ACH-000288,-0.0993422638167
ACH-000291,-0.08909653391780001
ACH-000293,0.0255830957489
ACH-000294,-0.0749591726527
ACH-000295,-0.197853480227
ACH-000296,-0.0281012455553
ACH-000302,-0.0655983112047
ACH-000304,0.183242957965
ACH-000307,-0.0769687009739
ACH-000308,-0.0732036678806
ACH-000310,-0.22403955704300002
ACH-000311,-0.12483871790100001
ACH-000312,-0.267799927599
ACH-000315,-0.132992481014
ACH-000316,-0.0948859612648
ACH-000317,0.037989868802
ACH-000318,0.0006510404651340001
ACH-000319,-0.0989615019705
ACH-000320,-0.10574119301000001
ACH-000322,-0.0116036372786
ACH-000323,-0.110586859087
ACH-000324,-0.0546582718561
ACH-000329,-0.170945690411
ACH-000330,-0.129690925234
ACH-000331,-0.159558742799
ACH-000332,-0.10327969664999999
ACH-000334,-0.126743597074
ACH-000335,0.0662124876516
