,MFI2 (4241)
ACH-000004,-0.162974726795
ACH-000007,0.343970120697
ACH-000009,-0.08007233726639999
ACH-000011,-0.20323262534000003
ACH-000012,-0.0702354932902
ACH-000013,-0.13300702274
ACH-000014,0.0407409982282
ACH-000015,-0.0377461618234
ACH-000017,-0.0878520889054
ACH-000018,-0.280435924339
ACH-000019,0.205719795949
ACH-000021,-0.0481451240995
ACH-000022,-0.164667874214
ACH-000025,-0.0668090304127
ACH-000028,-0.033680177426
ACH-000030,-0.0946609690577
ACH-000035,0.039219035192699994
ACH-000036,-0.18258367550000001
ACH-000037,-0.114705219901
ACH-000039,-0.09744028974680001
ACH-000040,-0.045734421054100007
ACH-000041,-0.00020961815457900003
ACH-000042,-0.314361710204
ACH-000045,-0.017238181286
ACH-000047,-0.12135188638399999
ACH-000052,-0.07331047211780001
ACH-000053,-0.0940033626368
ACH-000054,-0.33732021156099995
ACH-000055,0.0914199813198
ACH-000060,-0.24000647500999997
ACH-000067,-0.124993332127
ACH-000070,-0.148460801083
ACH-000075,-0.302648434316
ACH-000078,-0.14338310687699998
ACH-000082,-0.22226185819299998
ACH-000085,-0.5453890881310001
ACH-000086,-0.0109332525814
ACH-000087,0.09333290842019999
ACH-000092,-0.156563737216
ACH-000095,0.0160592496144
ACH-000097,-0.07320720981460001
ACH-000098,-0.0400547721883
ACH-000099,-0.0302865770524
ACH-000108,-0.270356218719
ACH-000113,-0.156027459038
ACH-000115,0.013668573109500001
ACH-000116,-0.0854131632194
ACH-000118,0.074661446256
ACH-000120,-0.012119284220200002
ACH-000123,-0.047608929370599996
ACH-000127,-0.0898967843798
ACH-000128,-0.10020792112400001
ACH-000132,-0.114885663775
ACH-000133,-0.212364782666
ACH-000137,-0.243570048752
ACH-000138,0.0845666949158
ACH-000142,-0.19255235768399998
ACH-000143,-0.163870633817
ACH-000146,0.006067652755830001
ACH-000148,-0.0362586806363
ACH-000150,0.128197849077
ACH-000152,-0.148119381232
ACH-000153,-0.050589536162199994
ACH-000159,-0.113007252476
ACH-000160,-0.0113279778967
ACH-000163,-0.196135141378
ACH-000167,0.0893029230318
ACH-000168,-0.376896905674
ACH-000169,-0.110479342227
ACH-000178,0.014487226035400001
ACH-000182,-0.150847948668
ACH-000183,-0.149013316088
ACH-000188,-0.12614562467499998
ACH-000189,-0.21144685347699999
ACH-000190,-0.0397455286083
ACH-000198,-0.232049239457
ACH-000204,0.00203614206579
ACH-000206,0.00396779877717
ACH-000207,-0.17347942540999997
ACH-000211,-0.0140235366537
ACH-000215,-0.09105123698789999
ACH-000221,0.0225000887255
ACH-000222,0.0975740629751
ACH-000223,-0.0747810933792
ACH-000226,0.004464660836949999
ACH-000227,-0.207235046736
ACH-000228,0.0125014096083
ACH-000231,-0.153915896858
ACH-000232,-0.24291087983100002
ACH-000233,0.089379396194
ACH-000234,-0.22128308166299998
ACH-000235,-0.0634850703484
ACH-000237,-0.0176377469164
ACH-000238,-0.203478886803
ACH-000243,0.08635720722519999
ACH-000244,-0.167073270416
ACH-000246,-0.115213567767
ACH-000248,-0.0723420378653
ACH-000250,-0.14487602208900002
ACH-000251,0.041386795245599996
ACH-000253,-0.193927684377
ACH-000255,0.049666334089599994
ACH-000256,-0.119907520976
ACH-000257,-0.13393868804300002
ACH-000258,-0.144294552513
ACH-000259,-0.0681597694816
ACH-000260,0.00534901486669
ACH-000261,-0.0185690687515
ACH-000262,-0.226536216391
ACH-000263,0.710714449968
ACH-000264,-0.0818173568567
ACH-000265,0.0676810327249
ACH-000266,-0.19263808981400002
ACH-000272,-0.0334696076784
ACH-000273,-0.156516256938
ACH-000274,-0.0812360261542
ACH-000277,-0.156922968644
ACH-000278,-0.053793691682900005
ACH-000279,0.0369863217347
ACH-000280,-0.22276487739300002
ACH-000281,-0.0569698372604
ACH-000288,-0.00338901243395
ACH-000291,-0.00869213018727
ACH-000293,0.032498689145900005
ACH-000294,0.05141842922019999
ACH-000295,-0.108905356528
ACH-000296,0.0754091497667
ACH-000302,-0.0322053467865
ACH-000304,0.257449485211
ACH-000307,0.019750209461400003
ACH-000308,-0.19802335623700001
ACH-000310,0.012946283235599999
ACH-000311,0.0585785518666
ACH-000312,-0.008017488719630001
ACH-000315,0.0805462758888
ACH-000316,0.03546936231469999
ACH-000317,-0.09976095292819999
ACH-000318,0.128798602037
ACH-000319,0.0306527049954
ACH-000320,0.0667858663716
ACH-000322,-0.196457712293
ACH-000323,0.0178971463831
ACH-000324,-0.046378274472000006
ACH-000329,-0.143988789513
ACH-000330,0.26737158858300003
ACH-000331,-0.029191051619700002
ACH-000332,-0.0667727136913
ACH-000334,-0.599221661313
ACH-000335,-0.08038827414319999
ACH-000336,-0.0960360589371
ACH-000337,0.0316673925635
ACH-000339,-0.027511178291799998
ACH-000341,0.00416804734496
ACH-000348,-0.12091495583100001
ACH-000350,-0.305086044326
ACH-000352,-0.09262903644310001
ACH-000356,-0.138410214079
ACH-000361,-0.0733501746353
ACH-000362,0.0461920018062
ACH-000363,-0.08619622512450001
ACH-000364,-0.0489511859303
ACH-000365,-0.0884890635128
ACH-000366,-0.00223544227055
ACH-000368,-0.244235361938
ACH-000374,0.332650288985
ACH-000375,-0.124052214043
ACH-000376,0.0408993979465
ACH-000381,-0.18754339324000002
ACH-000383,0.006519636326340001
ACH-000387,-0.189779854916
ACH-000389,-0.058588936215699994
ACH-000390,-0.0176712657085
ACH-000393,-0.054053880834499995
ACH-000395,0.105977297553
ACH-000397,-0.048649771884699995
ACH-000401,-0.143385683829
ACH-000402,0.36186562577799997
ACH-000403,-0.09781670261919999
ACH-000404,-0.15775578913
ACH-000406,-0.0071285042376400005
ACH-000407,-0.0543932976076
ACH-000408,-0.050479750442399995
ACH-000410,-0.0331637937657
ACH-000411,-0.122774205141
ACH-000414,-0.0171553678892
ACH-000415,-0.0966628327111
ACH-000416,-0.134895518369
ACH-000420,0.006634053586149999
ACH-000421,-0.06351711157750001
ACH-000424,0.165937519846
ACH-000425,-0.0754956927442
ACH-000426,0.023635887165799997
ACH-000427,-0.0999977885945
ACH-000433,-0.126788954062
ACH-000436,-0.042945805250399996
ACH-000444,-0.09587368362700001
ACH-000445,0.0850932719431
ACH-000448,0.1281347783
ACH-000450,-0.142935246451
ACH-000452,0.038753901582599996
ACH-000454,-0.30525745553100003
ACH-000458,-0.07727504405410002
ACH-000459,-0.023763991713099997
ACH-000460,-0.0811987518362
ACH-000461,0.13407656143899999
ACH-000463,-0.109776810227
ACH-000464,0.029295111362299998
ACH-000466,-0.0355114644263
