,CDC14B (8555)
ACH-000004,-0.296569429704
ACH-000007,-0.0536637241538
ACH-000009,-0.351548465691
ACH-000011,-0.400944375258
ACH-000012,-0.21793596436
ACH-000013,-0.20929200497
ACH-000014,-0.23879428853
ACH-000015,-0.405302149863
ACH-000017,0.0113307583946
ACH-000018,-0.120376882663
ACH-000019,-0.180880777286
ACH-000021,-0.204178557057
ACH-000022,-0.328278073959
ACH-000025,-0.15726210897600001
ACH-000028,-0.08371933807450001
ACH-000030,-0.0960698257357
ACH-000035,-0.00881612837689
ACH-000036,-0.357941298522
ACH-000037,-0.0647663792062
ACH-000039,0.147805510872
ACH-000040,-0.304103023029
ACH-000041,-0.371683986677
ACH-000042,-0.215001982655
ACH-000045,-0.147996807171
ACH-000047,-0.21622304921799998
ACH-000052,0.0279189324157
ACH-000053,-0.033234007662299996
ACH-000054,-0.377352686474
ACH-000055,-0.170309358037
ACH-000060,-0.15740782037599998
ACH-000067,-0.38890704835100004
ACH-000070,-0.184592426714
ACH-000075,-0.567076847144
ACH-000078,-0.192174677002
ACH-000082,-0.10803857832800001
ACH-000085,-0.12401303030099999
ACH-000086,0.054005668297300004
ACH-000087,-0.38468770285899995
ACH-000092,-0.0784455512133
ACH-000095,-0.22177273732799999
ACH-000097,-0.312777162639
ACH-000098,-0.208906751535
ACH-000099,-0.112924206521
ACH-000108,-0.144703201335
ACH-000113,0.020327363763299997
ACH-000115,-0.0647641555809
ACH-000116,-0.0578751084143
ACH-000118,-0.215787210467
ACH-000120,-0.0804515942144
ACH-000123,0.0740882944554
ACH-000127,-0.168539698904
ACH-000128,-0.295775469203
ACH-000132,0.0386037387043
ACH-000133,-0.236403494606
ACH-000137,-0.206958788407
ACH-000138,-0.021943965383500002
ACH-000142,-0.25123224252500004
ACH-000143,-0.226835104877
ACH-000146,-0.19383565162900002
ACH-000148,-0.153802480494
ACH-000150,-0.197772795339
ACH-000152,-0.0709273764873
ACH-000153,-0.0915090543361
ACH-000159,-0.329830735502
ACH-000160,-0.44616669557800004
ACH-000163,-0.373584626031
ACH-000167,-0.0708904939688
ACH-000168,-0.24067850346099998
ACH-000169,-0.330463144443
ACH-000178,-0.186536464324
ACH-000182,-0.387499166992
