,RAD23A (5886)
ACH-000004,0.0225712803999
ACH-000007,-0.0824058467915
ACH-000009,0.047436601449600005
ACH-000011,-0.21677351055500002
ACH-000012,-0.0494710232564
ACH-000013,-0.12164560712200001
ACH-000014,-0.025317322874500003
ACH-000015,-0.20618968994000003
ACH-000017,-0.0290727903657
ACH-000018,-0.266985544634
ACH-000019,-0.0823995530633
ACH-000021,-0.19004771761199998
ACH-000022,0.0383013982686
ACH-000025,-0.21277992180100003
ACH-000028,-0.390260593718
ACH-000030,-0.191167433897
ACH-000035,-0.135647532818
ACH-000036,-0.232184451754
ACH-000037,-0.0923780110289
ACH-000039,-0.12099301597300001
ACH-000040,-0.164827728147
ACH-000041,-0.0991950016447
ACH-000042,-0.1851990061
ACH-000045,0.0116076833121
ACH-000047,0.120011083843
ACH-000052,-0.275580943613
ACH-000053,0.026715305737799996
ACH-000054,-0.143554287712
ACH-000055,-0.0948974296966
ACH-000060,-0.030435014196900003
ACH-000067,-0.34182823026299997
ACH-000070,-0.120445273923
ACH-000075,-0.0461371061226
ACH-000078,-0.013172157372700001
ACH-000082,0.0130890574029
ACH-000085,-0.125606024814
ACH-000086,-0.09811222103299999
ACH-000087,0.0738719375566
ACH-000092,-0.14652350869
ACH-000095,-0.047394135263300004
ACH-000097,-0.0229863748213
ACH-000098,-0.280421248068
ACH-000099,-0.07355474006110001
ACH-000108,-0.106885695985
ACH-000113,-0.0655629781448
ACH-000115,-0.40158018876
ACH-000116,-0.27078237696999996
ACH-000118,-0.328019605561
ACH-000120,-0.0521562181575
ACH-000123,-0.253462382972
ACH-000127,-0.206574171595
ACH-000128,-0.277378726239
ACH-000132,-0.0296470096394
ACH-000133,-0.16944025795499998
ACH-000137,-0.016551614357399998
ACH-000138,-0.09748992381110001
ACH-000142,-0.17605881376899998
ACH-000143,-0.0823919114733
ACH-000146,-0.146568257295
ACH-000148,-0.015553992893700002
ACH-000150,-0.177463540872
ACH-000152,0.011839470511700001
ACH-000153,0.0340788164882
ACH-000159,-0.0876570976005
ACH-000160,-0.009759659877509999
ACH-000163,-0.573657759757
ACH-000167,-0.281018845304
ACH-000168,0.0319872933761
ACH-000169,-0.033530370631400006
ACH-000178,-0.14344526553
ACH-000182,-0.115855322758
ACH-000183,0.0823391506293
ACH-000188,-0.399773532189
ACH-000189,0.19958573243799999
ACH-000190,0.0684564506596
ACH-000198,0.08240921130260001
ACH-000204,0.05466787642300001
ACH-000206,0.012749559981500002
ACH-000207,-0.0668049466986
ACH-000211,-0.116822445348
ACH-000215,-0.0257538544424
ACH-000221,0.0820468267584
ACH-000222,-0.0882470581742
ACH-000223,-0.29951252765299996
ACH-000226,-0.164217884751
ACH-000227,-0.243116208604
ACH-000228,-0.680883470769
ACH-000231,-0.0126113297359
ACH-000232,0.0267593649523
ACH-000233,-0.171100315159
ACH-000234,-0.327348016348
ACH-000235,-0.020362274067599998
ACH-000237,-0.18337199724599998
ACH-000238,-0.11370597723300001
ACH-000243,-0.32158689317
