,YPEL4 (219539)
ACH-000004,-0.348030968107
ACH-000007,-0.304935638286
ACH-000009,-0.14333916788599999
ACH-000011,-0.19198720396299998
ACH-000012,-0.36276066312
ACH-000013,-0.0569947186206
ACH-000014,-0.0325265628004
ACH-000015,-0.218378448779
ACH-000017,-0.09959900935480001
ACH-000018,-0.118311470264
ACH-000019,-0.58390876256
ACH-000021,-0.258804936917
ACH-000022,-0.24758169748000003
ACH-000025,-0.16250765031199998
ACH-000028,-0.517308449424
ACH-000030,-0.226867043406
ACH-000035,-0.298764366362
ACH-000036,-0.163988152884
ACH-000037,-0.244828010587
ACH-000039,-0.539980135633
ACH-000040,-0.329934986493
ACH-000041,-0.128702341367
ACH-000042,-0.497290568403
ACH-000045,-0.347507107343
ACH-000047,-0.138391645967
ACH-000052,-0.260747328883
ACH-000053,-0.209136194995
ACH-000054,-0.234942254469
ACH-000055,-0.267366755325
ACH-000060,-0.169627747398
ACH-000067,0.0628975217773
ACH-000070,-0.158582471402
ACH-000075,-0.196070488297
ACH-000078,-0.103660776197
ACH-000082,-0.138699712455
ACH-000085,0.341302074714
ACH-000086,-0.535763796933
ACH-000087,0.13288147402
ACH-000092,-0.020683816374599998
ACH-000095,-0.23501579296100003
ACH-000097,-0.24129093180599998
ACH-000098,-0.044802451500699995
ACH-000099,-0.175408107148
ACH-000108,-0.49754426069200003
ACH-000113,-0.114910169287
ACH-000115,-0.20307519650800002
ACH-000116,-0.155713935965
ACH-000118,-0.36403807682899997
ACH-000120,-0.21398805730700002
ACH-000123,-0.292282951682
ACH-000127,-0.051780249471399996
ACH-000128,0.0459392100127
ACH-000132,-0.340667592253
ACH-000133,-0.195397114281
ACH-000137,-0.486870830937
ACH-000138,-0.379952582827
ACH-000142,-0.42987317103399997
ACH-000143,-0.188472427232
ACH-000146,-0.186934662157
ACH-000148,-0.106981178334
ACH-000150,-0.15978659450899999
ACH-000152,-0.164402063071
ACH-000153,-0.26299935940499997
ACH-000159,-0.336424897153
ACH-000160,-0.561896412633
ACH-000163,-0.279312492578
ACH-000167,-0.0121238998115
ACH-000168,-0.33453886939
ACH-000169,-0.0524083316454
ACH-000178,-0.299756918276
ACH-000182,-0.118374172224
ACH-000183,-0.15991047833
ACH-000188,-0.480973751329
ACH-000189,-0.647584079194
ACH-000190,-0.033629866184999996
ACH-000198,-0.105081765735
ACH-000204,-0.294797575649
ACH-000206,-0.25586321549
ACH-000207,-0.055753917646199996
ACH-000211,-0.11378988232699999
ACH-000215,-0.142026912161
ACH-000221,-0.205410102835
ACH-000222,-0.567944571714
ACH-000223,-0.147051528726
ACH-000226,-0.253841654477
ACH-000227,-0.0427205469337
ACH-000228,-0.397264074482
ACH-000231,-0.24319509939800002
ACH-000232,-0.123744673568
ACH-000233,-0.199920318322
ACH-000234,-0.0744704905643
ACH-000235,-0.48546395744599996
ACH-000237,-0.170118726201
ACH-000238,-0.267862113496
ACH-000243,-0.41334401550399996
ACH-000244,0.17213342234700002
ACH-000246,-0.229058799197
ACH-000248,-0.22943848708200001
ACH-000250,-0.182611816411
