,IQUB (154865)
ACH-000004,0.246613659221
ACH-000007,0.09712923708139999
ACH-000009,0.21761081519099998
ACH-000011,0.18179432196800002
ACH-000012,0.206431225779
ACH-000013,0.40256471969700003
ACH-000014,0.10149500373999999
ACH-000015,0.18905420969700001
ACH-000017,0.175994703873
ACH-000018,0.325162830273
ACH-000019,0.446728578571
ACH-000021,0.0651946617773
ACH-000022,0.28074781603
ACH-000025,0.224497285227
ACH-000028,0.196779306267
ACH-000030,0.285499583725
ACH-000035,0.09148092513520001
ACH-000036,0.182247796451
ACH-000037,0.35084207497000003
ACH-000039,0.0665430935695
ACH-000040,0.186393464654
ACH-000041,0.189753225246
ACH-000042,0.144365231122
ACH-000045,0.265440351282
ACH-000047,0.146789585136
ACH-000052,0.23303816102400002
ACH-000053,0.339102295562
ACH-000054,0.213607652416
ACH-000055,0.264765933985
ACH-000060,0.25385040728
ACH-000067,0.42094261879699996
ACH-000070,0.288385888125
ACH-000075,-0.0519938913971
ACH-000078,0.253068901319
ACH-000082,0.294841937208
ACH-000085,0.177766746843
ACH-000086,0.271626736348
ACH-000087,0.159433781373
ACH-000092,0.175919098352
ACH-000095,0.131927449496
ACH-000097,0.119559220536
ACH-000098,0.369360672799
ACH-000099,0.25967455624
ACH-000108,0.309365835031
ACH-000113,0.26248061533399997
ACH-000115,0.184665456299
ACH-000116,0.254087458683
ACH-000118,0.277997367805
ACH-000120,0.284197678372
ACH-000123,0.11901260910900001
ACH-000127,0.252560334085
ACH-000128,0.22950194275
ACH-000132,0.348068107583
ACH-000133,0.29018714181
ACH-000137,0.00461641072866
ACH-000138,0.258813714835
ACH-000142,0.255223819991
ACH-000143,0.233111848141
ACH-000146,0.301060270036
ACH-000148,0.16765743386
ACH-000150,0.37673548424599995
ACH-000152,0.30097822038600003
ACH-000153,0.154843139449
ACH-000159,0.21221255049600002
ACH-000160,0.223783748635
ACH-000163,0.306146079156
ACH-000167,0.36651373199000004
ACH-000168,0.307193243471
ACH-000169,0.127926323234
ACH-000178,0.264791139423
ACH-000182,0.24028233236
ACH-000183,0.19221051890000002
ACH-000188,0.22303690874899998
