,SSB (6741)
ACH-000004,-0.425264880622
ACH-000007,-0.568052192477
ACH-000009,-0.569859547491
ACH-000011,-0.845437517479
ACH-000012,-0.277539215516
ACH-000013,-0.326704113047
ACH-000014,-0.45925990397
ACH-000015,-0.383744198342
ACH-000017,-0.00877956554645
ACH-000018,-0.858276784978
ACH-000019,-0.451885499704
ACH-000021,-0.363976235142
ACH-000022,-0.231070287607
ACH-000025,-0.780801419883
ACH-000028,-0.42404249894699997
ACH-000030,-0.6178071353710001
ACH-000035,-0.508288595537
ACH-000036,-0.545989518249
ACH-000037,-0.0246953856831
ACH-000039,-0.458158762055
ACH-000040,-0.431811441112
ACH-000041,-0.19833032711399998
ACH-000042,-0.41997905283299997
ACH-000045,-0.609155219565
ACH-000047,-0.307950511353
ACH-000052,-0.301202496545
ACH-000053,-0.360897685933
ACH-000054,-0.26055787310899997
ACH-000055,-0.753011903399
ACH-000060,-0.44605985756899996
ACH-000067,-0.462036738458
ACH-000070,-0.6098508244399999
ACH-000075,-0.40430119568899997
ACH-000078,-0.283489550315
ACH-000082,-0.37890993590300004
ACH-000085,-0.29669663683200004
ACH-000086,-0.467508952219
ACH-000087,-0.7144527907379999
ACH-000092,-0.930328926962
ACH-000095,-0.722062071639
ACH-000097,0.10003988433199999
ACH-000098,-0.781126007911
ACH-000099,-0.356101808001
ACH-000108,-0.6479327496630001
ACH-000113,-0.546917949412
ACH-000115,-0.147898164434
ACH-000116,-0.485751802182
ACH-000118,-0.38018306351899994
ACH-000120,-0.611997776228
ACH-000123,-0.518823748271
ACH-000127,-0.6387968297659999
ACH-000128,-0.525266365203
ACH-000132,-0.6485715387659999
ACH-000133,-0.434333925103
ACH-000137,-0.471450178897
ACH-000138,-0.335938903227
ACH-000142,-0.608483049914
ACH-000143,-0.433196815656
ACH-000146,-0.298997563208
ACH-000148,-0.6048754644659999
ACH-000150,-0.617163321221
ACH-000152,-0.278213712276
ACH-000153,-0.37032031635799995
ACH-000159,-0.454458175499
ACH-000160,-0.320920600818
ACH-000163,-0.314676098473
ACH-000167,-0.800741636252
ACH-000168,-0.513591339361
ACH-000169,-0.351582517955
ACH-000178,-0.6452876173569999
ACH-000182,-0.34912792553099997
ACH-000183,-0.14697065637
ACH-000188,-0.600933041721
ACH-000189,-0.45879284959600003
ACH-000190,-0.653407465473
ACH-000198,-0.532668480691
ACH-000204,-0.11086221010299999
ACH-000206,-0.520717244036
ACH-000207,-0.170298976562
ACH-000211,-0.330523810894
ACH-000215,-0.8182570937450001
ACH-000221,-0.46366628014399996
ACH-000222,-0.65879013949
ACH-000223,-0.512382528115
ACH-000226,-0.544549597724
ACH-000227,-0.704892431336
ACH-000228,-0.424216644305
ACH-000231,-0.814884552625
ACH-000232,-0.8373039700120001
ACH-000233,-0.239407389281
ACH-000234,-0.48493647021200004
ACH-000235,-0.451428122045
ACH-000237,-0.7887013905060001
ACH-000238,-0.681262759888
ACH-000243,-0.58114310499
ACH-000244,-0.555886947642
ACH-000246,-0.565475837043
ACH-000248,-0.0981264330271
ACH-000250,-0.47272880612499996
ACH-000251,-0.628674364558
ACH-000253,-0.26753132164
ACH-000255,-0.533387777275
ACH-000256,-0.187199852927
ACH-000257,-0.135381157172
ACH-000258,-0.7022043948639999
ACH-000259,-0.24768099180199998
ACH-000260,-0.563628644772
ACH-000261,-0.204185167772
ACH-000262,-0.597923974195
ACH-000263,-0.264844650616
ACH-000264,-0.10071813790300001
ACH-000265,-0.612055319499
ACH-000266,-0.305438286794
