,SMUG1 (23583)
ACH-000004,-0.613400704546
ACH-000007,-0.21457971471099999
ACH-000009,-0.423179491975
ACH-000011,-0.38001498684199997
ACH-000012,-0.18984005574700002
ACH-000013,-0.414977450625
ACH-000014,-0.293555092448
ACH-000015,-0.33377417809500004
ACH-000017,-0.429473856479
ACH-000018,-0.679274076336
ACH-000019,-0.376799317823
ACH-000021,-0.350649750215
ACH-000022,-0.529776751814
ACH-000025,-0.386256214163
ACH-000028,-0.473204817927
ACH-000030,-0.480609508599
ACH-000035,-0.537942882063
ACH-000036,-0.41653408519900004
ACH-000037,-0.402097562756
ACH-000039,-0.751881315189
ACH-000040,-0.701825710689
ACH-000041,-0.7213025195080001
ACH-000042,-0.35697158194
ACH-000045,-0.20853092062800002
ACH-000047,-0.457235820071
ACH-000052,-0.5514095045390001
ACH-000053,-0.315427260178
ACH-000054,-0.572770151244
ACH-000055,-0.47817535235799996
ACH-000060,-0.46519086412699995
ACH-000067,-0.695803711487
ACH-000070,-0.368854684256
ACH-000075,-0.475182110393
ACH-000078,-0.696556813146
ACH-000082,-0.6193830093280001
ACH-000085,-0.5123022341350001
ACH-000086,-0.340632249388
ACH-000087,-0.67456847311
ACH-000092,-0.265733757388
ACH-000095,-0.590023413846
ACH-000097,-0.6486257362569999
ACH-000098,-0.378497187375
ACH-000099,-0.43803870149199997
ACH-000108,-0.13534980191600002
ACH-000113,-0.544405277386
ACH-000115,-0.658452129801
ACH-000116,-0.47089962758500004
ACH-000118,-0.419449900603
ACH-000120,-0.5555593048040001
ACH-000123,-0.48883853535899996
ACH-000127,-0.6202052988710001
ACH-000128,-0.541379517811
ACH-000132,-0.34978303334399996
ACH-000133,-0.42314757280299997
ACH-000137,-0.395343644245
ACH-000138,-0.542084305598
ACH-000142,-0.369088105053
ACH-000143,-0.352957616967
ACH-000146,-0.45188126996699995
ACH-000148,-0.383900167824
ACH-000150,-0.451829718168
ACH-000152,-0.43518905557899995
ACH-000153,-0.576632292154
ACH-000159,-0.41666041738700005
ACH-000160,-0.221765016338
ACH-000163,-0.581851621893
ACH-000167,-0.12129185434699999
ACH-000168,-0.533439788187
ACH-000169,-0.254259396353
ACH-000178,-0.526174589721
ACH-000182,-0.53228656306
ACH-000183,-0.354408573664
ACH-000188,-0.223502142314
ACH-000189,-0.9405125014329999
ACH-000190,-0.534932445117
ACH-000198,-0.628113040779
ACH-000204,0.029811987116700002
ACH-000206,-0.352223386023
ACH-000207,-0.26839320696400004
ACH-000211,-0.628045528806
ACH-000215,-0.666084548945
ACH-000221,-0.404615204685
ACH-000222,-0.35804411533
ACH-000223,-0.677307163194
ACH-000226,-0.36456401316299997
ACH-000227,-0.760884687448
ACH-000228,-0.406045306374
ACH-000231,-0.382725498991
ACH-000232,-0.577392923518
ACH-000233,-0.500307175526
ACH-000234,-0.573395457857
ACH-000235,-0.551189383153
ACH-000237,-0.490278282485
ACH-000238,-0.451206936127
ACH-000243,-0.45604941237400004
ACH-000244,-0.19227580994600002
ACH-000246,-0.48697197978
ACH-000248,-0.293851643064
ACH-000250,-0.53547285853
ACH-000251,-0.37635413935199996
ACH-000253,-0.536892475585
ACH-000255,-0.434811730901
ACH-000256,-0.41624840647600003
ACH-000257,-0.42529203557800005
ACH-000258,-0.739626427528
ACH-000259,-0.519374588848
ACH-000260,-0.39182131768899997
ACH-000261,-0.44438116729099997
ACH-000262,-0.421346339931
ACH-000263,-0.858006036842
ACH-000264,-0.39587771031999996
ACH-000265,-0.433027044155
ACH-000266,-0.532870654819
ACH-000272,-0.36652804722599996
ACH-000273,-0.34528112080799994
ACH-000274,-0.44573799281900006
ACH-000277,-0.307927128301
ACH-000278,-0.506374521429
ACH-000279,-0.529663137046
ACH-000280,-0.34380532155
ACH-000281,-0.500387509174
ACH-000288,-0.503036062918
ACH-000291,-0.34428266996600004
ACH-000293,-0.6766291961049999
ACH-000294,-0.180698267156
ACH-000295,-0.40349132439400004
ACH-000296,-0.473897327341
ACH-000302,-0.45434145664399994
ACH-000304,-0.857918643405
ACH-000307,-0.27158191785999997
ACH-000308,-0.621520787531
ACH-000310,-0.49807126027599996
ACH-000311,-0.435610147171
ACH-000312,-0.434540617843
ACH-000315,-0.575216574664
ACH-000316,-0.252470099724
