,POLR2L (5441)
ACH-000004,-2.18108622374
ACH-000007,-1.77021524183
ACH-000009,-2.33455582091
ACH-000011,-2.29254742974
ACH-000012,-2.12158373929
ACH-000013,-2.4264598833099997
ACH-000014,-2.2504260305200003
ACH-000015,-2.09519003797
ACH-000017,-2.22821136176
ACH-000018,-1.61002479294
ACH-000019,-2.14181916199
ACH-000021,-2.13243935035
ACH-000022,-2.2147152898099995
ACH-000025,-1.9020130638
ACH-000028,-2.0589921386000003
ACH-000030,-2.39002629038
ACH-000035,-2.05281125799
ACH-000036,-1.9743626454499998
ACH-000037,-2.8352488185
ACH-000039,-1.9914799224400002
ACH-000040,-1.7777846743799999
ACH-000041,-2.2720146336
ACH-000042,-2.3722586578000002
ACH-000045,-2.45251654618
ACH-000047,-1.7322205928599999
ACH-000052,-1.93316453583
ACH-000053,-2.03429933059
ACH-000054,-2.07004844152
ACH-000055,-2.40947325692
ACH-000060,-2.17764204616
ACH-000067,-1.8487072204700001
ACH-000070,-2.02415770679
ACH-000075,-1.5205072776800002
ACH-000078,-2.36476671951
ACH-000082,-2.04223735252
ACH-000085,-1.8989432340599999
ACH-000086,-1.7744913878
ACH-000087,-1.9559969186400001
ACH-000092,-1.8160936946900001
ACH-000095,-2.43975328292
ACH-000097,-2.2360812262
ACH-000098,-1.9920522208200002
ACH-000099,-2.33263931792
ACH-000108,-1.93584461003
ACH-000113,-2.18472331585
ACH-000115,-2.60165045745
ACH-000116,-2.3484633715900003
ACH-000118,-1.98355612482
ACH-000120,-2.09179405195
ACH-000123,-2.13691210945
ACH-000127,-2.12754218964
ACH-000128,-2.34599430004
ACH-000132,-1.87139965903
ACH-000133,-1.9347937685799999
ACH-000137,-1.81071018574
ACH-000138,-2.23641216469
ACH-000142,-2.04137822209
ACH-000143,-2.0848870357
ACH-000146,-2.79137933482
ACH-000148,-2.31235386169
ACH-000150,-2.00968742715
ACH-000152,-1.75150444801
ACH-000153,-2.45014146816
ACH-000159,-2.3088446794
