,HOGA1 (112817)
ACH-000004,-0.12081327766
ACH-000007,0.0275249135654
ACH-000009,-0.148946962765
ACH-000011,-0.18951747653200002
ACH-000012,-0.10539381183
ACH-000013,0.108652172244
ACH-000014,-0.0101841578088
ACH-000015,-0.133287510052
ACH-000017,-0.131774934754
ACH-000018,-0.045044835800599994
ACH-000019,-0.213059224227
ACH-000021,-0.136736845356
ACH-000022,-0.152685925615
ACH-000025,-0.287683854318
ACH-000028,0.04604423936509999
ACH-000030,-0.0930995449539
ACH-000035,0.004710696313329999
ACH-000036,-0.129796112968
ACH-000037,0.141021975937
ACH-000039,-0.0798900589293
ACH-000040,-0.09936927790010001
ACH-000041,-0.0497411182718
ACH-000042,-0.257056002747
ACH-000045,-0.0710781534866
ACH-000047,-0.0765794761837
ACH-000052,0.150591144979
ACH-000053,-0.080346252959
ACH-000054,-0.16793982965399998
ACH-000055,-0.0421763763838
ACH-000060,-0.171057557645
ACH-000067,-0.0840926792133
ACH-000070,0.0918955389777
ACH-000075,0.0171462052114
ACH-000078,0.0758218539652
ACH-000082,-0.15833248901900002
ACH-000085,-0.16218071491
ACH-000086,-0.158813640199
ACH-000087,0.0850787273669
ACH-000092,0.020609276798300002
ACH-000095,-0.16004455897
ACH-000097,-0.15239028121200002
ACH-000098,-0.19751075925900002
ACH-000099,-0.06425610289099999
ACH-000108,-0.343638016002
ACH-000113,-0.32390213759500003
ACH-000115,-0.07522888434569999
ACH-000116,-0.0806251160853
ACH-000118,-0.11740324083499999
ACH-000120,-0.254744563837
ACH-000123,-0.140088976325
ACH-000127,-0.17977410510699998
ACH-000128,0.034869516481499996
ACH-000132,-0.160244388982
ACH-000133,-0.21386648867400002
ACH-000137,-0.118231184501
ACH-000138,0.0171149097787
ACH-000142,-0.08388084907639999
ACH-000143,0.0910249787912
ACH-000146,-0.07992639549939999
ACH-000148,-0.432500379594
ACH-000150,-0.129970349198
ACH-000152,-0.07919294757180001
ACH-000153,-0.518047683411
ACH-000159,-0.264553438074
ACH-000160,-0.22816173955
ACH-000163,-0.0946016046304
ACH-000167,-0.006783403505909999
ACH-000168,-0.126853490452
ACH-000169,-0.208240883752
ACH-000178,-0.08851161571239999
ACH-000182,-0.38530140450000006
ACH-000183,-0.255595179464
ACH-000188,0.00705043130041
ACH-000189,-0.21038496274000001
ACH-000190,0.0341531656918
ACH-000198,-0.272519660892
ACH-000204,-0.154206468989
ACH-000206,-0.24209288187
ACH-000207,-0.25659269986
ACH-000211,-0.05718929939259999
ACH-000215,-0.07185152533030001
ACH-000221,0.0191937098395
ACH-000222,-0.110641630116
ACH-000223,-0.24787096002700001
ACH-000226,-0.0505670626259
ACH-000227,-0.327732487795
ACH-000228,-0.23180055124899998
ACH-000231,-0.18985100014800002
ACH-000232,-0.134037204584
ACH-000233,-0.252693056703
ACH-000234,-0.263992095144
ACH-000235,-0.0890233868356
ACH-000237,-0.0264270260875
ACH-000238,-0.19533424179
ACH-000243,-0.249991240816
ACH-000244,0.13886878254100002
ACH-000246,-0.169817341401
ACH-000248,-0.10532207783299999
ACH-000250,-0.144779858197
ACH-000251,-0.0794455773577
ACH-000253,-0.099044260476
ACH-000255,-0.294021697179
ACH-000256,-0.005802680945850001
ACH-000257,-0.188981941891
