,CRAMP1L (57585)
ACH-000004,-0.154385709323
ACH-000007,-0.666961648182
ACH-000009,-0.390809759947
ACH-000011,-0.625027830821
ACH-000012,-0.3844703567
ACH-000013,-0.326826036079
ACH-000014,-0.45372500498
ACH-000015,-0.342702995745
ACH-000017,-0.6277530051210001
ACH-000018,-0.40762567168499997
ACH-000019,-0.491638166743
ACH-000021,-0.371491239744
ACH-000022,-0.519224805855
ACH-000025,-0.25035278119000004
ACH-000028,-0.618355170862
ACH-000030,-0.266969900183
ACH-000035,-0.167693591724
ACH-000036,-0.747226561098
ACH-000037,-0.12265448502599999
ACH-000039,-0.45283422125100004
ACH-000040,-0.378879232094
ACH-000041,-0.307969930705
ACH-000042,-0.277606814843
ACH-000045,-0.0557029631791
ACH-000047,-0.28044883154
ACH-000052,-0.306849755725
ACH-000053,0.279251481116
ACH-000054,-0.5596949127790001
ACH-000055,-0.599739921273
ACH-000060,-0.136272703219
ACH-000067,-0.199510160768
ACH-000070,-0.580433958867
ACH-000075,-0.518442813919
ACH-000078,-0.5102237067800001
ACH-000082,-0.5635149195870001
ACH-000085,-0.286566791523
ACH-000086,-0.360731588098
ACH-000087,-0.227592216451
ACH-000092,-0.61012385916
ACH-000095,-0.255107236819
ACH-000097,-0.358816518062
ACH-000098,-0.80774854878
ACH-000099,-0.557797761514
ACH-000108,-0.142997128229
ACH-000113,-0.158342015537
ACH-000115,-1.31164706975
ACH-000116,-0.45271231400899997
ACH-000118,-0.49351127108000004
ACH-000120,-0.439701823931
ACH-000123,-0.668117125587
ACH-000127,-0.263887354995
ACH-000128,-0.390344415773
ACH-000132,-0.7015754253409999
ACH-000133,-0.6293700386300001
ACH-000137,-0.401447438672
ACH-000138,-0.22676521995
ACH-000142,-0.329644816423
ACH-000143,-0.56073530709
ACH-000146,-0.591330362231
ACH-000148,-0.523018820452
ACH-000150,0.035562890728
ACH-000152,-0.23670198952100002
ACH-000153,-0.0657213912396
ACH-000159,-0.40458784881300003
ACH-000160,-0.24971476071600002
ACH-000163,0.028213324776499998
ACH-000167,0.353488028464
ACH-000168,-0.19451506879799998
ACH-000169,-0.7996842792919999
ACH-000178,-0.739978396079
ACH-000182,-0.0710725025924
ACH-000183,-0.845239995924
ACH-000188,-0.691276462303
ACH-000189,-0.298747872031
ACH-000190,-0.155962421918
ACH-000198,-0.486586669129
ACH-000204,-0.589407008508
ACH-000206,-0.488374535294
ACH-000207,-0.091829719117
ACH-000211,-0.306954173271
ACH-000215,-0.413942497908
ACH-000221,-0.642190997049
ACH-000222,-0.512480597375
ACH-000223,-0.19552451903700002
ACH-000226,-0.169014640427
ACH-000227,-0.571913840657
ACH-000228,-0.0046646616809700005
ACH-000231,-0.5264730468819999
ACH-000232,-0.104912533715
ACH-000233,-0.230619903116
ACH-000234,-0.450320492588
ACH-000235,-0.458578853201
ACH-000237,-0.535567476149
ACH-000238,-0.179808408513
ACH-000243,-0.608847288977
ACH-000244,-0.449817812809
ACH-000246,-0.478888585589
ACH-000248,-0.617153851537
ACH-000250,-0.696886082159
ACH-000251,-0.262949203861
ACH-000253,-0.77492142698
ACH-000255,0.243784684971
ACH-000256,-0.209841944319
ACH-000257,-0.302158780952
ACH-000258,-0.37860573205799997
ACH-000259,-0.637764848777
ACH-000260,-0.38791748094899997
ACH-000261,-0.385124780657
ACH-000262,-0.133380384537
ACH-000263,0.0103492473066
ACH-000264,-0.583766691434
ACH-000265,-0.018985535353200002
ACH-000266,-0.408319070854
ACH-000272,-0.403776331188
ACH-000273,-0.401037479854
ACH-000274,-0.40100555483000005
ACH-000277,-0.465758568213
ACH-000278,-0.302793069978
ACH-000279,-0.316508434102
ACH-000280,-0.47486915606799995
ACH-000281,-0.30023914902300003
ACH-000288,-0.21201684697099998
ACH-000291,-0.358380095288
ACH-000293,-0.402331678772
ACH-000294,-0.333539908787
ACH-000295,-0.45385315112499997
ACH-000296,-0.456625551347
ACH-000302,-0.345814903878
ACH-000304,-0.365931347737
ACH-000307,-0.39997346995800004
ACH-000308,-0.27569190723299997
ACH-000310,-0.37763204189000005
ACH-000311,-0.304270877748
ACH-000312,-0.464966444819
ACH-000315,-0.48204858108099996
ACH-000316,-0.347047946773
ACH-000317,-0.383805769164
ACH-000318,-0.294734743247
ACH-000319,-0.504879042877
ACH-000320,-0.45723213826000003
ACH-000322,-0.530524872922
ACH-000323,-0.26096447202399997
ACH-000324,-0.481481559905
ACH-000329,-0.499610286945
ACH-000330,-0.280932937323
ACH-000331,-0.44027326647500004
ACH-000332,-0.33885001754
ACH-000334,-0.36535622740199997
ACH-000335,-0.300978393616
ACH-000336,-0.658742328171
ACH-000337,-0.903900573708
ACH-000339,-0.00221889232035
ACH-000341,-0.33417015978500003
ACH-000348,-0.34608688058200004
ACH-000350,-0.612456768264
ACH-000352,-0.8010991505
ACH-000356,-0.859966032303
ACH-000361,-0.824113868291
ACH-000362,-0.36160436003300006
ACH-000363,-0.886369810832
ACH-000364,-0.484985756552
ACH-000365,-0.34093014124399995
ACH-000366,-0.819562775658
ACH-000368,-0.268821004382
ACH-000374,-0.17862673893199998
ACH-000375,-0.369704723843
ACH-000376,-0.453620485367
ACH-000381,-0.503048217532
ACH-000383,-0.47920571553499997
ACH-000387,-0.51359536586
ACH-000389,-0.26205985317200003
ACH-000390,-0.5963007554909999
ACH-000393,-0.416733907394
ACH-000395,-0.08257486432160001
