,AMTN (401138)
ACH-000004,0.010836033564799999
ACH-000007,0.0345071254943
ACH-000009,0.0212593052888
ACH-000011,0.0909680253696
ACH-000012,0.0418331842121
ACH-000013,0.184408248917
ACH-000014,0.0517880469219
ACH-000015,-0.0478830284456
ACH-000017,-0.00844366595412
ACH-000018,0.23511665048900002
ACH-000019,0.162336336139
ACH-000021,0.056854620370000004
ACH-000022,-0.0473045628394
ACH-000025,0.18424026748300001
ACH-000028,0.031023238931900003
ACH-000030,0.0300089991265
ACH-000035,0.144253326731
ACH-000036,-0.00052921954239
ACH-000037,0.219559588975
ACH-000039,-0.061444254865800005
ACH-000040,0.225551427406
ACH-000041,-0.09488343828230002
ACH-000042,0.0833755130374
ACH-000045,0.19491530359200002
ACH-000047,0.0322586070932
ACH-000052,0.0660488158281
ACH-000053,0.0515538603381
ACH-000054,0.0852904231489
ACH-000055,0.0908332137084
ACH-000060,0.0232555413939
ACH-000067,-0.168066187261
ACH-000070,-0.0654520324923
ACH-000075,0.0326033958686
ACH-000078,0.042473133291499994
ACH-000082,0.0221490148151
ACH-000085,0.31235799217300003
ACH-000086,0.214435562919
ACH-000087,-0.0200548905649
ACH-000092,0.194591479754
ACH-000095,0.04536815204419999
ACH-000097,0.163720695913
ACH-000098,0.0905413922449
ACH-000099,-0.0889135777909
ACH-000108,0.11863502609099999
ACH-000113,0.0773880494481
ACH-000115,0.0445510615886
ACH-000116,-0.0345672954845
ACH-000118,0.0477332811202
ACH-000120,0.031674523267700004
ACH-000123,0.048181816592699996
ACH-000127,0.032363321366
ACH-000128,0.000269824781834
ACH-000132,0.1924534422
ACH-000133,0.187909900911
ACH-000137,0.0879530957832
ACH-000138,0.0955874015807
ACH-000142,0.0989107651307
ACH-000143,0.019423393901900003
ACH-000146,0.0688596239135
ACH-000148,-0.0219067362685
ACH-000150,0.08700797566150001
ACH-000152,0.100178193105
ACH-000153,-0.0732160842427
ACH-000159,0.052279525615300006
ACH-000160,0.0823969665668
ACH-000163,0.115016339751
ACH-000167,-0.0986446695055
ACH-000168,0.107110333264
ACH-000169,0.155132170521
ACH-000178,0.0547848104556
ACH-000182,0.0059892815484600005
ACH-000183,-0.11473692435900001
ACH-000188,0.135516558737
ACH-000189,-0.0424818856217
ACH-000190,0.120119502152
ACH-000198,0.13572606842
ACH-000204,0.0720740402928
ACH-000206,0.05995324485280001
ACH-000207,0.125381574352
ACH-000211,-0.0492116610011
ACH-000215,-0.00042312257776799995
ACH-000221,0.025704594736099998
ACH-000222,0.0186182706616
ACH-000223,0.07929125617819999
ACH-000226,-0.00034915701493400006
ACH-000227,-0.05800674149209999
ACH-000228,0.0253443059469
ACH-000231,0.0335008629175
ACH-000232,0.110374971596
ACH-000233,0.09550383620950001
ACH-000234,0.141650695229
ACH-000235,0.0632772098761
ACH-000237,0.0787193889656
ACH-000238,0.0629670545679
ACH-000243,-0.0152170372055
ACH-000244,-0.151859821177
ACH-000246,0.15168654726800002
ACH-000248,-0.062160920291599996
ACH-000250,0.0405291611278
ACH-000251,0.14054436343
ACH-000253,0.129109856523
ACH-000255,0.07048673313710001
ACH-000256,0.167501309857
ACH-000257,-0.0660349881291
ACH-000258,-0.0672070472638
ACH-000259,0.0329438676155
ACH-000260,0.0197434899087
ACH-000261,-0.021215244963599996
ACH-000262,0.15671154998700002
ACH-000263,0.190544938955
ACH-000264,-0.00180835876521
ACH-000265,0.0318476977518
ACH-000266,0.0637349826409
ACH-000272,0.071664809561
ACH-000273,0.111337398622
ACH-000274,0.116236041052
ACH-000277,0.00676973567219
ACH-000278,0.23922896895
ACH-000279,0.0627396772634
ACH-000280,0.101009491373
ACH-000281,0.057556090944
ACH-000288,0.114106565007
ACH-000291,0.0891087397301
ACH-000293,0.137729264688
ACH-000294,-0.0439816789759
ACH-000295,0.312880815117
ACH-000296,-0.0521798024569
ACH-000302,0.112957105699
ACH-000304,0.0582183269329
ACH-000307,0.0682430880066
ACH-000308,-0.0142614666279
ACH-000310,0.0196174766448
ACH-000311,0.0475009634709
ACH-000312,0.049196031512099996
ACH-000315,0.244400281025
ACH-000316,-0.0678675216158
ACH-000317,-0.0372209132205
ACH-000318,-0.0194495038945
ACH-000319,0.180842350365
ACH-000320,-0.15376549038100001
ACH-000322,0.0313394083431
ACH-000323,-0.22711540489300003
ACH-000324,0.004116547065139999
ACH-000329,0.0929603327176
ACH-000330,-0.0170136599234
ACH-000331,0.19258034466899998
ACH-000332,0.043605518129
ACH-000334,0.278357608975
ACH-000335,0.223618186221
ACH-000336,0.219454503113
