,ANKS6 (203286)
ACH-000004,-0.173653781532
ACH-000007,-0.5878327321069999
ACH-000009,-0.430205320395
ACH-000011,-0.29693461755600004
ACH-000012,-0.44339900410599997
ACH-000013,-0.487704973579
ACH-000014,-0.6751653403919999
ACH-000015,-0.366323853008
ACH-000017,-0.40385731530599994
ACH-000018,-0.47360394647299997
ACH-000019,-0.557193962612
ACH-000021,-0.516515518794
ACH-000022,-0.325342258946
ACH-000025,-0.39767997576499997
ACH-000028,-0.40239413100999993
ACH-000030,-0.46397686722900006
ACH-000035,-0.308299712603
ACH-000036,-0.519950579527
ACH-000037,-0.78873162573
ACH-000039,-0.0737851785734
ACH-000040,-0.616647911202
ACH-000041,-0.389135197156
ACH-000042,-0.45068117653399997
ACH-000045,-0.12048448376399999
ACH-000047,-0.5288785991830001
ACH-000052,-0.357019394024
ACH-000053,-0.313055789666
ACH-000054,-0.48405411775799995
ACH-000055,-0.342963483847
ACH-000060,-0.375514701922
ACH-000067,-0.774678966898
ACH-000070,-0.636232880076
ACH-000075,-0.619900100293
ACH-000078,-0.437100856662
ACH-000082,-0.644142223803
ACH-000085,-0.469564237256
ACH-000086,-0.46332618843
ACH-000087,-0.594047140043
ACH-000092,-0.399532868455
ACH-000095,-0.357055119011
ACH-000097,-0.652196675189
ACH-000098,-0.461569208979
ACH-000099,-0.442411365254
ACH-000108,-0.08649872389489999
ACH-000113,-0.257911148735
ACH-000115,-0.36772358184
ACH-000116,-0.557663886756
ACH-000118,-0.37970467486299997
ACH-000120,0.021464115750299998
ACH-000123,-0.48692871434100005
ACH-000127,-0.43731874364900003
ACH-000128,-0.658053582556
ACH-000132,-0.5851021070929999
ACH-000133,-0.653234774164
ACH-000137,-0.6076614615779999
ACH-000138,-0.20298260443
ACH-000142,-0.374605491339
ACH-000143,-0.455154780573
ACH-000146,-0.20547896684500003
ACH-000148,-0.593722767245
ACH-000150,-0.160976136628
ACH-000152,-0.611427180903
ACH-000153,-0.211875452727
ACH-000159,-0.463161882866
ACH-000160,-0.408464564086
ACH-000163,-0.498093111097
ACH-000167,-0.190865556244
ACH-000168,-0.789702578956
ACH-000169,-0.437660963317
ACH-000178,-0.541572919663
ACH-000182,-0.632820277794
ACH-000183,-0.200852250755
ACH-000188,-0.5999387200649999
ACH-000189,-0.47146300666100005
ACH-000190,-0.491411997179
ACH-000198,-0.393674594356
ACH-000204,-0.482420443741
ACH-000206,-0.29291466348
ACH-000207,-0.467753257536
ACH-000211,-0.64753081603
ACH-000215,-0.567813270711
ACH-000221,-0.46616172978200004
ACH-000222,-0.202795105697
ACH-000223,-0.438655340558
ACH-000226,-0.519078111458
ACH-000227,-0.86772360302
ACH-000228,-0.296895757607
ACH-000231,-0.4996194424
ACH-000232,-0.537128689984
ACH-000233,-0.246311581304
ACH-000234,-0.300345993523
