,CHTOP (26097)
ACH-000004,-0.283994522177
ACH-000007,-0.587541392416
ACH-000009,-0.636858159891
ACH-000011,-0.396398800267
ACH-000012,-0.454000153698
ACH-000013,-0.34929423221699996
ACH-000014,-0.724811058468
ACH-000015,-0.712603203162
ACH-000017,-0.31532584048900003
ACH-000018,-0.386761866395
ACH-000019,-0.490679238159
ACH-000021,-0.496011451294
ACH-000022,-0.417139160366
ACH-000025,-0.7722673212379999
ACH-000028,-0.822830897684
ACH-000030,-0.394841598495
ACH-000035,-0.6152065820220001
ACH-000036,-0.519870845828
ACH-000037,-0.0726323329451
ACH-000039,-0.9469235904469999
ACH-000040,-0.6889672091079999
ACH-000041,-0.730790714556
ACH-000042,-0.649469853809
ACH-000045,-0.564511932482
ACH-000047,-0.49556196416000003
ACH-000052,-0.72818193886
ACH-000053,-0.400045826621
ACH-000054,-0.450216842003
ACH-000055,-0.0457041041701
ACH-000060,-0.42285468699600004
ACH-000067,-0.472482397501
ACH-000070,-0.790601815363
ACH-000075,-0.237945725008
ACH-000078,-0.425846933446
ACH-000082,-0.382688670526
ACH-000085,-0.17295386222
ACH-000086,-0.509893039963
ACH-000087,-0.5086194699750001
ACH-000092,-0.483585618113
ACH-000095,-0.320727378786
ACH-000097,-0.789970551267
ACH-000098,-0.45764993426899997
ACH-000099,-0.623520583764
ACH-000108,-0.723396287428
ACH-000113,-0.5032253057899999
ACH-000115,-1.0059591512100001
ACH-000116,-0.514221392913
ACH-000118,-0.9774806352009999
ACH-000120,-0.491301736461
ACH-000123,-0.549650895232
ACH-000127,-0.81940046638
ACH-000128,-0.371689417911
ACH-000132,-0.638220436434
ACH-000133,-0.46713657120200003
ACH-000137,-0.49722640248800004
ACH-000138,-0.668228069952
ACH-000142,-0.5628962930210001
ACH-000143,-0.569027439515
ACH-000146,-0.59241489887
ACH-000148,-0.424109396336
ACH-000150,-0.581529072539
ACH-000152,-0.6057006171679999
ACH-000153,-0.690801435289
ACH-000159,-0.400261516826
ACH-000160,-0.382414741919
ACH-000163,-0.803027938196
ACH-000167,-0.39499578692599996
ACH-000168,-0.493509421
ACH-000169,-0.481472528745
ACH-000178,-0.38022348271799994
ACH-000182,-0.319248958578
ACH-000183,-0.311942740291
ACH-000188,-0.551962346344
ACH-000189,-0.53144596112
ACH-000190,-0.521462580517
ACH-000198,-0.9633519021070001
ACH-000204,-1.0684169563700001
ACH-000206,-0.324553955484
ACH-000207,-0.503007634096
ACH-000211,-0.550952142553
ACH-000215,-0.546114288398
ACH-000221,-0.697824317909
ACH-000222,-0.739885984812
ACH-000223,-0.642849231237
ACH-000226,-0.749317393342
ACH-000227,-0.345761185898
ACH-000228,-0.397432553225
ACH-000231,-0.415744430146
ACH-000232,-0.404268139714
ACH-000233,-0.478258606642
ACH-000234,-0.495764007724
ACH-000235,-0.558018976052
ACH-000237,-0.09077349865869999
ACH-000238,-0.5021818812919999
ACH-000243,-0.6724859194030001
ACH-000244,-0.667423718117
ACH-000246,-0.474278922267
ACH-000248,-0.609541571362
ACH-000250,-0.293307234363
ACH-000251,-0.516977536803
ACH-000253,-0.18771424176100002
ACH-000255,-0.466117705965
ACH-000256,-0.49020348250100004
ACH-000257,-0.311459475175
ACH-000258,-0.42730224973700004
ACH-000259,-0.243330240779
ACH-000260,-0.531011703323
ACH-000261,-0.39307171607
ACH-000262,-0.549738647711
ACH-000263,-0.564296240079
ACH-000264,-0.967482176602
ACH-000265,-0.422636006449
ACH-000266,-0.493949436417
ACH-000272,-0.5294019948950001
ACH-000273,-0.382882223377
ACH-000274,-0.41365560284
ACH-000277,-0.571653510814
ACH-000278,-0.533081602353
ACH-000279,-0.148079038834
ACH-000280,-0.6871774342820001
ACH-000281,-0.642348399144
ACH-000288,-0.7754449384350001
ACH-000291,-0.402653408612
ACH-000293,-0.569608404729
ACH-000294,-0.23887815826499997
ACH-000295,-0.524577484701
ACH-000296,-0.530076904921
ACH-000302,-0.189084463911
ACH-000304,-0.44303450662
ACH-000307,-0.212695469243
ACH-000308,-0.727621139259
ACH-000310,-0.430108350955
ACH-000311,-0.652578349495
ACH-000312,-0.29670050626999994
ACH-000315,-0.798904610588
ACH-000316,-0.662219296263
ACH-000317,-0.5355227534629999
ACH-000318,-0.6967646512160001
ACH-000319,-0.8303662131370001
ACH-000320,-0.852977239522
ACH-000322,-0.523274333357
ACH-000323,-0.425853800291
ACH-000324,-0.710785987519
ACH-000329,-0.32403749562199996
ACH-000330,-0.6373216918860001
ACH-000331,-0.48460611851400004
ACH-000332,-0.312344456073
ACH-000334,-0.596471198836
ACH-000335,-0.59094764711
ACH-000336,-0.581037051263
ACH-000337,-0.333660661681
ACH-000339,-0.46429183300899995
ACH-000341,-0.38639026384499997
ACH-000348,-0.406302166699
ACH-000350,-0.513364335511
ACH-000352,-0.470761198962
ACH-000356,-0.43666883886600005
ACH-000361,-0.49987852437299996
ACH-000362,-0.6974177406029999
ACH-000363,-0.848018312863
ACH-000364,-0.708464978371
ACH-000365,-0.277208452875
ACH-000366,-0.539926953601
ACH-000368,-0.316604688357
ACH-000374,-0.516158466853
ACH-000375,-0.39378150368799997
ACH-000376,-0.35804769266
ACH-000381,-0.924406742414
ACH-000383,-0.54743003898
ACH-000387,-0.822581310678
ACH-000389,-0.19264848004700003
ACH-000390,-0.596949963484
ACH-000393,-0.45806384908
ACH-000395,-0.499279713255
ACH-000397,-0.5367740065550001
ACH-000401,-0.345173433367
ACH-000402,-0.6364848598139999
ACH-000403,-0.38891292198399996
ACH-000404,-0.367457581774
ACH-000406,-0.638215214665
ACH-000407,-0.197670490671
ACH-000408,-0.242942412326
ACH-000410,-0.49330384487400003
ACH-000411,-0.451472574646
ACH-000414,-0.544735027702
ACH-000415,-0.32831731039
ACH-000416,-0.568887324905
ACH-000420,-0.530201986767
ACH-000421,-0.416824174414
ACH-000424,-0.396298427217
ACH-000425,-0.383784147684
ACH-000426,-0.593369535365
ACH-000427,-0.27945137267700004
ACH-000433,-0.557491332538
ACH-000436,-0.6667364516790001
ACH-000444,-0.579747227554
ACH-000445,-0.517236758478
ACH-000448,-0.52905620883
ACH-000450,-0.548103770718
ACH-000452,-0.627670299631
ACH-000454,-0.610772742349
ACH-000458,-0.215377610279
ACH-000459,-0.441043750464
ACH-000460,-0.598165670926
ACH-000461,-0.127244536325
ACH-000463,-0.34128780617399995
ACH-000464,-0.328790208092
ACH-000466,-0.395441524229
ACH-000467,-0.34115077873899996
ACH-000468,-0.464334891111
ACH-000469,-0.48698172694200004
ACH-000470,-0.0851842595525
ACH-000471,-0.575707112168
ACH-000472,-0.234174408983
ACH-000473,-0.580769341877
ACH-000475,-0.467652125063
ACH-000476,-0.604243099648
ACH-000477,-0.137376306695
ACH-000480,-0.840845616205
ACH-000481,-0.307641733552
ACH-000483,-0.584068121895
ACH-000484,-0.489552470606
