,EED (8726)
ACH-000004,-0.451797574572
ACH-000007,-0.524298447234
ACH-000009,-0.0948374468842
ACH-000011,-0.302227217933
ACH-000012,0.043234153677199995
ACH-000013,-0.7287808098880001
ACH-000014,-0.527034651975
ACH-000015,-0.482072884693
ACH-000017,-1.03149533511
ACH-000018,-0.446672198696
ACH-000019,-0.8090783958230001
ACH-000021,-0.18994583286800001
ACH-000022,-0.253303102457
ACH-000025,0.288187229092
ACH-000028,-0.415676225664
ACH-000030,-0.336011587431
ACH-000035,-0.529872181988
ACH-000036,0.256176131292
ACH-000037,-0.466090973557
ACH-000039,-0.48105844082099997
ACH-000040,-0.40885103076800006
ACH-000041,-0.176131608989
ACH-000042,-0.57082752865
ACH-000045,-0.440658684046
ACH-000047,-0.725724248216
ACH-000052,-0.837113970365
ACH-000053,-0.009439639932319999
ACH-000054,0.07003767372510002
ACH-000055,-0.710768481401
ACH-000060,0.0686329765118
ACH-000067,-0.08814913215510001
ACH-000070,-0.532340209105
ACH-000075,0.030338876030700002
ACH-000078,-0.20287524484000002
ACH-000082,-0.67736868208
ACH-000085,-0.24654249762
ACH-000086,-0.551654984775
ACH-000087,-0.328126193519
ACH-000092,-0.6090229925949999
ACH-000095,-0.44600473262699997
ACH-000097,-0.7597587149089999
ACH-000098,-0.69456542296
ACH-000099,-0.551076439208
ACH-000108,0.09844091879619998
ACH-000113,-0.48382731072499996
ACH-000115,-0.7885435961949999
ACH-000116,-0.558759530394
ACH-000118,-0.517091062131
ACH-000120,-0.666564560013
ACH-000123,-0.708776169989
ACH-000127,-0.0370284601938
ACH-000128,-0.659524775064
ACH-000132,-0.406132721832
ACH-000133,-0.09517299917130001
ACH-000137,-0.5338418658990001
ACH-000138,0.198092964923
ACH-000142,-0.276175532329
ACH-000143,-0.621035708836
ACH-000146,-0.351768545365
ACH-000148,-0.429892578939
ACH-000150,0.142704414017
ACH-000152,-0.32486395470199997
ACH-000153,-0.396140405931
ACH-000159,-0.5207736654540001
ACH-000160,0.09463398352050001
ACH-000163,-0.42572516293799995
ACH-000167,0.17196301735
ACH-000168,0.0585992844417
ACH-000169,-0.5586491962100001
ACH-000178,-0.608939411267
ACH-000182,-0.0924112662679
ACH-000183,-0.688907035349
ACH-000188,-0.195586617926
ACH-000189,-0.823571098177
ACH-000190,-0.149227329902
ACH-000198,-0.867684616621
ACH-000204,-0.045170123165800005
ACH-000206,-0.718162305342
ACH-000207,-0.48044964063100004
