,PDHA2 (5161)
ACH-000004,-0.24187055776099997
ACH-000007,-0.021038036980499997
ACH-000009,-0.132043818581
ACH-000011,-0.253564150694
ACH-000012,0.0050958060745
ACH-000013,-0.121251718129
ACH-000014,-0.00149414219071
ACH-000015,-0.445066841597
ACH-000017,-0.198607876704
ACH-000018,-0.441699429749
ACH-000019,-0.58213987328
ACH-000021,-0.176450613435
ACH-000022,-0.21630781482099998
ACH-000025,-0.156804808696
ACH-000028,-0.315166966446
ACH-000030,-0.158726653262
ACH-000035,-0.289280130893
ACH-000036,-0.24068685956900002
ACH-000037,-0.272348805033
ACH-000039,0.0906869691185
ACH-000040,-0.0802168713903
ACH-000041,-0.379517704672
ACH-000042,-0.161757763479
ACH-000045,-0.260078970352
ACH-000047,-0.204376580139
ACH-000052,-0.375830486299
ACH-000053,-0.0917810457413
ACH-000054,-0.19723957166900002
ACH-000055,-0.11374278955299999
ACH-000060,-0.249687667885
ACH-000067,-0.333077808426
ACH-000070,-0.474696593848
ACH-000075,-0.084223049812
ACH-000078,-0.206591180248
ACH-000082,-0.17232837937399997
ACH-000085,-0.30415106561599997
ACH-000086,-0.24903308482500003
ACH-000087,-0.25954165429299997
ACH-000092,-0.27536555414299996
ACH-000095,-0.08878365222439999
ACH-000097,-0.37440572339100003
ACH-000098,-0.367181333046
ACH-000099,-0.212387319358
ACH-000108,-0.134649304219
ACH-000113,-0.12031778365399999
ACH-000115,-0.226405496846
ACH-000116,-0.0853817103751
ACH-000118,-0.245931926012
ACH-000120,-0.221208474831
ACH-000123,-0.0757434097418
ACH-000127,-0.20002187859499998
ACH-000128,-0.0211020515579
ACH-000132,-0.35702250852
ACH-000133,0.031251691747900004
ACH-000137,-0.0450092010169
ACH-000138,-0.13847509077099998
ACH-000142,-0.22345952816700002
ACH-000143,-0.140286907002
ACH-000146,-0.0157837490228
ACH-000148,-0.144272098994
ACH-000150,-0.22547105567499998
ACH-000152,-0.354567053311
ACH-000153,-0.14333238054000003
ACH-000159,-0.32491500424
ACH-000160,-0.14349640590999999
ACH-000163,-0.104201559594
ACH-000167,-0.00450369081315
ACH-000168,0.116635732177
ACH-000169,-0.118656033531
ACH-000178,-0.283910273632
ACH-000182,-0.227683831198
ACH-000183,-0.0185987811599
ACH-000188,0.013945336790200002
ACH-000189,-0.36003963446599996
ACH-000190,-0.0133508760486
ACH-000198,-0.251993097511
ACH-000204,-0.157783740018
ACH-000206,-0.152314014776
ACH-000207,-0.217043819064
ACH-000211,-0.35861601059500003
ACH-000215,-0.347955221223
ACH-000221,-0.199655267421
ACH-000222,-0.22849813178599998
ACH-000223,-0.11881134384299999
ACH-000226,-0.167991763933
ACH-000227,-0.5029135966730001
ACH-000228,-0.37179013094
ACH-000231,-0.0959335492072
ACH-000232,-0.334203493739
ACH-000233,0.100784606742
ACH-000234,-0.215156284988
ACH-000235,-0.08858790676139999
ACH-000237,-0.34534010829800005
ACH-000238,-0.176024627408
ACH-000243,-0.239684397912
ACH-000244,-0.070073062751
ACH-000246,-0.08657201692960001
ACH-000248,-0.369035321461
ACH-000250,-0.312481952542
ACH-000251,-0.048984358511699994
ACH-000253,-0.282034495266
ACH-000255,-0.319930806953
ACH-000256,-0.0887415129783
ACH-000257,-0.48541790020400005
ACH-000258,-0.57774389352
ACH-000259,-0.33043375974
ACH-000260,-0.26604669267
ACH-000261,-0.235200562217
ACH-000262,-0.469737120366
ACH-000263,-0.24261437026000002
ACH-000264,-0.132259454646
ACH-000265,-0.222673462695
ACH-000266,-0.130950594464
ACH-000272,-0.239041745311
ACH-000273,-0.313133144836
ACH-000274,-0.111754063125
ACH-000277,-0.203905560166
ACH-000278,-0.18274296471999998
ACH-000279,-0.21071019072500002
ACH-000280,-0.147403904067
ACH-000281,-0.49295700740000004
ACH-000288,-0.172998454129
ACH-000291,-0.0603418216461
ACH-000293,-0.313430044532
ACH-000294,-0.248733662856
ACH-000295,-0.128659516829
ACH-000296,-0.128199778158
ACH-000302,-0.347334045869
ACH-000304,-0.49526851988000004
ACH-000307,-0.269040375281
ACH-000308,-0.285337726026
ACH-000310,-0.262065600977
ACH-000311,-0.192283066823
ACH-000312,-0.371495412645
ACH-000315,-0.173112246699
ACH-000316,0.114319161454
