,MCIDAS (345643)
ACH-000004,-0.0563321058741
ACH-000007,-0.160612658353
ACH-000009,-0.0401154566398
ACH-000011,0.011009397205100002
ACH-000012,-0.024173553593700003
ACH-000013,-0.09862422797260001
ACH-000014,-0.104929619934
ACH-000015,-0.21654394866
ACH-000017,-0.19947036501600002
ACH-000018,-0.149569662267
ACH-000019,-0.21854406208000002
ACH-000021,-0.21278272411200003
ACH-000022,-0.022226427243200002
ACH-000025,0.0898731499341
ACH-000028,0.053841234122
ACH-000030,-0.12946268238
ACH-000035,-0.135028012615
ACH-000036,-0.115331351593
ACH-000037,-0.127101835104
ACH-000039,-0.22057117181299998
ACH-000040,-0.254891123924
ACH-000041,-0.207166872755
ACH-000042,-0.11427341423000001
ACH-000045,-0.205494925704
ACH-000047,-0.194762665722
ACH-000052,-0.260163413533
ACH-000053,-0.150185382095
ACH-000054,-0.0195755337325
ACH-000055,-0.294246611601
ACH-000060,-0.035640642349199995
ACH-000067,-0.168384743339
ACH-000070,0.23374318524300003
ACH-000075,0.198931053907
ACH-000078,-0.0678890970591
ACH-000082,-0.105782491443
ACH-000085,-0.112899768548
ACH-000086,-0.0883838366838
ACH-000087,-0.0184916426383
ACH-000092,-0.0140453369269
ACH-000095,0.0203933470048
ACH-000097,-0.214780987412
ACH-000098,-0.0638671984018
ACH-000099,-0.07579013927600001
ACH-000108,-0.248323239229
ACH-000113,0.156823330265
ACH-000115,-0.027657133843700003
ACH-000116,-0.013028262591200001
ACH-000118,-0.0356074456058
ACH-000120,-0.288427350982
ACH-000123,-0.0563031462479
ACH-000127,-0.22210180901299997
ACH-000128,-0.202433635275
ACH-000132,-0.19154050871300002
ACH-000133,0.13774510313
ACH-000137,-0.130205176132
ACH-000138,0.00249808029564
ACH-000142,-0.22251740413600002
ACH-000143,-0.0955588120154
ACH-000146,-0.07111856762860001
ACH-000148,-0.0104869089918
ACH-000150,-0.13834185495100002
ACH-000152,0.266530713079
ACH-000153,0.257359580207
ACH-000159,-0.060150591186199996
ACH-000160,-0.234530027964
ACH-000163,-0.23926397894200002
ACH-000167,0.189110377249
ACH-000168,-0.10807573110600001
ACH-000169,-0.0908952266543
ACH-000178,0.012828512932200001
ACH-000182,0.0941448962178
ACH-000183,-0.170067975148
ACH-000188,-0.37368909009999995
ACH-000189,-0.0766415329997
ACH-000190,-0.138200095896
ACH-000198,-0.16692016639499999
ACH-000204,-0.208824575546
ACH-000206,-0.22180884015299998
ACH-000207,-0.11829163582699999
ACH-000211,0.0465731846348
ACH-000215,0.00011144206063200001
ACH-000221,-0.07551569358110001
ACH-000222,-0.550627003233
ACH-000223,-0.135215347618
ACH-000226,-0.26614952056499996
ACH-000227,0.0640063346317
ACH-000228,-0.236777111428
ACH-000231,-0.122684283627
ACH-000232,-0.105657609049
ACH-000233,0.13554878762599998
ACH-000234,0.07518072756699999
ACH-000235,-0.222544059855
ACH-000237,-0.108929465896
ACH-000238,-0.136356180392
ACH-000243,-0.0648074620316
ACH-000244,0.0800841008979
ACH-000246,-0.0978441679622
ACH-000248,-0.167491022608
ACH-000250,0.034073524053500004
ACH-000251,-0.33779531667900003
ACH-000253,0.0906870902609
ACH-000255,-0.20821058019299998
ACH-000256,-0.032908968771000004
ACH-000257,-0.132997337588
ACH-000258,-0.00067222564799
ACH-000259,-0.238640053985
ACH-000260,-0.0803469696781
ACH-000261,-0.14489698114
ACH-000262,-0.0711660937782
ACH-000263,-0.26499343784400003
ACH-000264,0.0158926194726
ACH-000265,-0.0249160987372
ACH-000266,-0.210198733975
ACH-000272,-0.033728843476800004
ACH-000273,0.0018426217741
ACH-000274,-0.154239501162
ACH-000277,-0.0301806588905
ACH-000278,-0.0404044749741
ACH-000279,-0.147258780483
ACH-000280,-0.0967804729621
ACH-000281,0.0588945281343
ACH-000288,-0.0352056261918
ACH-000291,0.128655129602
ACH-000293,-0.39145085191699996
ACH-000294,0.035240904534499996
ACH-000295,-0.189677605751
ACH-000296,-0.020723330356299998
ACH-000302,-0.137623009757
ACH-000304,0.352578271535
ACH-000307,0.0497851939184
ACH-000308,-0.0141909735209
ACH-000310,-0.103504691562
ACH-000311,0.143185985003
ACH-000312,-0.101869637128
ACH-000315,-0.0364679017533
ACH-000316,0.147716721524
ACH-000317,0.0334563496478
ACH-000318,0.016099895834700003
ACH-000319,-0.32305375576400003
ACH-000320,-0.307862832381
ACH-000322,0.0925190216649
ACH-000323,-0.13456454215
ACH-000324,-0.06995031937889999
ACH-000329,-0.0881588148118
ACH-000330,0.0269888667685
ACH-000331,-0.120331130839
ACH-000332,-0.10727320568399999
ACH-000334,-0.0515876504472
ACH-000335,-0.220654873866
ACH-000336,-0.0993871408079
ACH-000337,-0.133589045062
ACH-000339,-0.19081842685699998
ACH-000341,-0.160885939787
ACH-000348,0.0013758811580899999
ACH-000350,-0.281156602981
ACH-000352,0.009972320401559999
ACH-000356,-0.21736594325999997
ACH-000361,0.153074640703
ACH-000362,-0.09527935881
ACH-000363,-0.05144058844330001
ACH-000364,-0.163864655084
ACH-000365,-0.0132318196773
ACH-000366,-0.115368006245
ACH-000368,-0.0947491303318
ACH-000374,-0.0571163003132
ACH-000375,-0.0761445709672
ACH-000376,0.08908055360860001
ACH-000381,-0.263792046549
ACH-000383,-0.07785267288530001
ACH-000387,-0.031221996988400003
ACH-000389,-0.169040627004
ACH-000390,-0.078580981489
ACH-000393,0.09485889418469999
ACH-000395,0.10208673854900001
ACH-000397,0.231347808626
ACH-000401,-0.192902518993
ACH-000402,-0.058289256519
ACH-000403,-0.037320013296900004
ACH-000404,-0.392741165405
ACH-000406,-0.100862294333
ACH-000407,-0.294500148651
ACH-000408,0.06284158769930001
ACH-000410,0.008131662377350002
ACH-000411,-0.135189083404
ACH-000414,-0.07205434681839999
ACH-000415,-0.12362950165200001
ACH-000416,-0.118609823566
