,UBE2V2 (7336)
ACH-000004,0.004374186877779999
ACH-000007,-0.31476917158000006
ACH-000009,-0.00196189138798
ACH-000011,-0.159319934127
ACH-000012,-0.13096591668
ACH-000013,-0.066133480115
ACH-000014,-0.359683844004
ACH-000015,-0.116843351835
ACH-000017,-0.29728259162099996
ACH-000018,-0.0936785709707
ACH-000019,-0.189952698563
ACH-000021,-0.146282517018
ACH-000022,-0.10746083045499999
ACH-000025,-0.39249334090899995
ACH-000028,-0.211427668029
ACH-000030,-0.22689340645599998
ACH-000035,-0.22336653438499998
ACH-000036,-0.307088191651
ACH-000037,-0.11469146232100001
ACH-000039,-0.17139944743000002
ACH-000040,-0.175619603808
ACH-000041,-0.162101605872
ACH-000042,-0.09609108388049999
ACH-000045,-0.07976612746619999
ACH-000047,-0.373053153142
ACH-000052,-0.159441884866
ACH-000053,-0.16915998939
ACH-000054,-0.24147019367699998
ACH-000055,-0.05875783831680001
ACH-000060,-0.38811543372100005
ACH-000067,-0.36039541833300004
ACH-000070,-0.173101209014
ACH-000075,-0.222104008825
ACH-000078,0.00636721309847
ACH-000082,-0.137724847242
ACH-000085,-0.228404525673
ACH-000086,-0.0733254542115
ACH-000087,-0.33405703399000003
ACH-000092,-0.423811894882
ACH-000095,-0.107006607116
ACH-000097,-0.185561673835
ACH-000098,-0.10446101579
ACH-000099,-0.006694631295779999
ACH-000108,-0.109043478395
ACH-000113,0.007798102249209999
ACH-000115,-0.0722461548044
ACH-000116,-0.207955605988
ACH-000118,-0.227580061144
ACH-000120,-0.141321831936
ACH-000123,-0.219139080258
ACH-000127,-0.303799101801
ACH-000128,-0.107065978358
ACH-000132,-0.0784491932679
ACH-000133,-0.39053206947700003
ACH-000137,-0.11489326507099999
ACH-000138,-0.27294405168200003
ACH-000142,-0.0712844250847
ACH-000143,-0.0410335409771
ACH-000146,-0.18899062444000003
ACH-000148,-0.0674987443947
ACH-000150,-0.314384953041
ACH-000152,-0.416450217185
ACH-000153,-0.933460229025
ACH-000159,-0.152510922003
ACH-000160,-0.0752779799572
ACH-000163,-0.245163690013
ACH-000167,0.247264206299
ACH-000168,-0.213416019317
ACH-000169,-0.098683720604
ACH-000178,-0.0807414508525
ACH-000182,-0.238567762802
ACH-000183,-0.0458887399022
ACH-000188,-0.08534487406989999
ACH-000189,0.212193660718
ACH-000190,-0.36238735150799994
ACH-000198,-0.460635379454
ACH-000204,-0.0340682283532
ACH-000206,-0.028291904985099998
ACH-000207,0.0985592275816
ACH-000211,-0.140871959242
ACH-000215,-0.148443261754
ACH-000221,-0.149797264177
ACH-000222,-0.0847783829032
ACH-000223,-0.13676490774299999
ACH-000226,-0.251562904463
ACH-000227,-0.22935563582199997
ACH-000228,-0.307022894805
ACH-000231,-0.144334635366
ACH-000232,-0.38183299857299996
ACH-000233,0.04752696764909999
ACH-000234,-0.135907182237
ACH-000235,-0.261690299723
ACH-000237,-0.0888648762194
ACH-000238,0.08269316156560001
ACH-000243,-0.228607970068
ACH-000244,-0.275933214036
ACH-000246,0.041665325574199996
ACH-000248,-0.173941345274
ACH-000250,-0.240026501803
ACH-000251,-0.11575050334300001
ACH-000253,-0.0712864764484
ACH-000255,-0.17071927834199999
ACH-000256,-0.219250995974
ACH-000257,-0.187983490131
ACH-000258,-0.14804379340600002
ACH-000259,0.0223116287597
ACH-000260,-0.11896193178600001
ACH-000261,-0.292805571834
ACH-000262,-0.249691685047
ACH-000263,-0.0622958106661
ACH-000264,-0.134676086272
ACH-000265,-0.238725163972
ACH-000266,-0.140181752679
ACH-000272,-0.121341576426
ACH-000273,-0.169277358062
ACH-000274,-0.000917736426896
ACH-000277,-0.07599665916039999
ACH-000278,-0.154148627112
ACH-000279,-0.155792594192
ACH-000280,-0.0408789421363
ACH-000281,-0.138598000486
ACH-000288,0.014355209917600002
ACH-000291,0.0265760607356
ACH-000293,-0.111579581537
ACH-000294,-0.116247583573
ACH-000295,-0.178887692221
ACH-000296,-0.0357755366293
ACH-000302,-0.0541006471231
ACH-000304,-0.311641570827
ACH-000307,-0.215811785678
ACH-000308,-0.18899966473700003
ACH-000310,-0.34060387917900004
ACH-000311,-0.236309296094
ACH-000312,-0.141903171068
ACH-000315,-0.158628350324
ACH-000316,-0.26057849079900003
ACH-000317,-0.06508064521649999
ACH-000318,0.04996271141480001
ACH-000319,-0.0838826514007
ACH-000320,-0.274438443412
ACH-000322,-0.127782346262
ACH-000323,-0.33916671270099996
ACH-000324,-0.19503228833099998
ACH-000329,-0.16945314050500002
ACH-000330,-0.240917691937
ACH-000331,-0.19870991606600003
ACH-000332,-0.21653911597699999
ACH-000334,-0.055713007318799995
ACH-000335,-0.0823673239685
ACH-000336,-0.0393106869572
ACH-000337,-0.0719621553657
ACH-000339,-0.209268345046
ACH-000341,-0.0730999632863
ACH-000348,-0.25973244785
ACH-000350,-0.12108082139200001
ACH-000352,-0.250818869386
ACH-000356,0.006648247615
ACH-000361,-0.315545338468
ACH-000362,-0.277846752759
ACH-000363,-0.128650559353
ACH-000364,-0.17214158528499998
ACH-000365,-0.197195060507
ACH-000366,-0.00298225018399
ACH-000368,-0.13201637442800002
ACH-000374,-0.046969726319500006
ACH-000375,-0.146006591644
ACH-000376,-0.25257651292399996
ACH-000381,0.0376697488202
ACH-000383,-0.0638421731364
ACH-000387,-0.144737351727
ACH-000389,-0.10177020274700001
ACH-000390,-0.0312932667662
ACH-000393,-0.16578869985300002
ACH-000395,-0.0848013149465
ACH-000397,-0.047607225275600004
ACH-000401,0.00221470390915
ACH-000402,-0.107860812217
ACH-000403,-0.125348274805
ACH-000404,-0.0651692224226
ACH-000406,-0.0636736414479
ACH-000407,0.0983318214801
ACH-000408,-0.326796417302
ACH-000410,-0.0994128942341
ACH-000411,-0.151293725224
ACH-000414,-0.367126193772
ACH-000415,-0.118422601973
ACH-000416,-0.05874343058400001
ACH-000420,-0.0658995533328
ACH-000421,-0.21332431947500002
ACH-000424,-0.224069273909
ACH-000425,-0.20325399593
ACH-000426,0.24163594170400002
ACH-000427,-0.173184821206
ACH-000433,-0.237198855336
ACH-000436,-0.156973757824
ACH-000444,-0.08403899415660002
ACH-000445,-0.018156816439799998
ACH-000448,-0.259548572337
ACH-000450,0.27523960283599996
ACH-000452,-0.0774016000143
ACH-000454,-0.013813051676
ACH-000458,-0.0067418467712
ACH-000459,0.126338243055
ACH-000460,-0.137886572599
ACH-000461,-0.0206957242121
ACH-000463,-0.285285420713
ACH-000464,-0.25928618035100004
ACH-000466,-0.102315687983
ACH-000467,-0.318452195667
