,HNRNPCL1 (343069)
ACH-000004,-0.525605178647
ACH-000007,-0.577859292627
ACH-000009,-0.618160699127
ACH-000011,-0.362304575151
ACH-000012,-0.6974991502060001
ACH-000013,-0.38056530350999995
ACH-000014,-0.7044888043649999
ACH-000015,-0.31178410151700003
ACH-000017,-0.43377743338299996
ACH-000018,-0.632981396889
ACH-000019,-0.265778052121
ACH-000021,-0.280871465007
ACH-000022,-0.237521713544
ACH-000025,-0.6888882809199999
ACH-000028,-0.39081937058399996
ACH-000030,-0.432890790912
ACH-000035,-0.460986651937
ACH-000036,-0.213220730685
ACH-000037,-0.476556076797
ACH-000039,-0.583302959614
ACH-000040,-0.6990245780840001
ACH-000041,-0.185607184071
ACH-000042,-0.5175270975949999
ACH-000045,-0.674137040401
ACH-000047,-0.423208415983
ACH-000052,-0.45346305603500003
ACH-000053,-0.5741570784660001
ACH-000054,-0.5455656936909999
ACH-000055,-0.20313111003800002
ACH-000060,-0.52433848026
ACH-000067,-0.43798885826800005
ACH-000070,-0.531080948348
ACH-000075,-0.551994222344
ACH-000078,-0.36189935779700005
ACH-000082,-0.412850800375
ACH-000085,-0.670160603528
ACH-000086,-0.55590551321
ACH-000087,-0.522378502896
ACH-000092,-0.5066652251730001
ACH-000095,-0.5701721289580001
ACH-000097,-0.507319238366
ACH-000098,-0.484721729996
ACH-000099,-0.42787408474399996
ACH-000108,-0.436079100177
ACH-000113,-0.720762628098
ACH-000115,-0.527705618832
ACH-000116,-0.411158233838
ACH-000118,-0.329627015306
ACH-000120,-0.31417583252
ACH-000123,-0.439695573309
ACH-000127,-0.45660452236500004
ACH-000128,-0.774149177283
ACH-000132,-0.36255716987099995
ACH-000133,-0.250356211492
ACH-000137,-0.137318453811
ACH-000138,-0.27816538405
ACH-000142,-0.539848293911
ACH-000143,-0.270008185874
ACH-000146,-0.5838416429209999
ACH-000148,-0.488677092705
ACH-000150,-0.8283061989820001
ACH-000152,-0.540815767107
ACH-000153,-0.463559176216
ACH-000159,-0.39601646520499995
ACH-000160,-0.568056591465
ACH-000163,-0.34443974342600003
ACH-000167,-0.9284696656829999
ACH-000168,-0.6726831609180001
ACH-000169,-0.418862473814
ACH-000178,-0.442848571036
ACH-000182,-0.313001777287
ACH-000183,-0.421234178274
ACH-000188,-0.41664874392800005
ACH-000189,-0.934838177254
ACH-000190,-0.666918954061
ACH-000198,-0.476594013675
ACH-000204,-0.46754224853
ACH-000206,-0.48878772871200005
ACH-000207,-0.47403388724699996
ACH-000211,-0.335947749026
ACH-000215,-0.583751632605
ACH-000221,-0.36869149495
ACH-000222,-0.591082140594
ACH-000223,-0.411282569217
ACH-000226,-0.43157527328999995
ACH-000227,-0.123852759177
ACH-000228,-0.6965165355490001
ACH-000231,-0.34980494238399995
ACH-000232,-0.36527736084299994
ACH-000233,-0.49883509841799994
ACH-000234,-0.523639659114
ACH-000235,-0.429544976065
ACH-000237,-0.637527458791
ACH-000238,-0.43357250379900003
ACH-000243,-0.39180278026999993
ACH-000244,-0.42244774033
ACH-000246,-0.438621874849
ACH-000248,-0.40158316476899997
ACH-000250,-0.543450559716
ACH-000251,-0.535176205413
ACH-000253,-0.49387796546999996
ACH-000255,-0.48973931757600003
ACH-000256,-0.7087919456659999
ACH-000257,-0.315512889831
ACH-000258,-0.619513268649
ACH-000259,-0.560236628054
ACH-000260,-0.374435045765
ACH-000261,-0.37016149612599997
ACH-000262,-0.205434307063
ACH-000263,-0.29403173309
ACH-000264,-0.30485255520599996
ACH-000265,-0.4883460734100001
ACH-000266,-0.41896919936
ACH-000272,-0.6818354499320001
ACH-000273,-0.509271344302
ACH-000274,-0.518463222905
ACH-000277,-0.46419840748
ACH-000278,-0.464104621874
ACH-000279,-0.52750207647
ACH-000280,-0.674351104919
ACH-000281,-0.614555033421
ACH-000288,-0.435705344173
ACH-000291,-0.61909157034
ACH-000293,-0.487526048935
ACH-000294,-0.668041006778
ACH-000295,-0.321897454243
ACH-000296,-0.556553895605
ACH-000302,-0.407742528595
ACH-000304,-0.355335453612
ACH-000307,-0.36105713369599995
ACH-000308,-0.426706954276
ACH-000310,-0.563397369981
ACH-000311,-0.263471835642
ACH-000312,-0.442108456156
ACH-000315,-0.306726702097
ACH-000316,-0.641224973011
ACH-000317,-0.418532276511
ACH-000318,-0.497514440476
ACH-000319,-0.471021369659
ACH-000320,-0.576207259083
ACH-000322,-0.6804646406939999
ACH-000323,-0.608725908474
ACH-000324,-0.6656090158160001
ACH-000329,-0.45244230124799995
ACH-000330,-0.373384641083
ACH-000331,-0.587957959721
ACH-000332,-0.408127827557
ACH-000334,-0.439248942095
ACH-000335,-0.387756473098
ACH-000336,-0.54052738466
ACH-000337,-0.538667893674
ACH-000339,-0.341211519923
ACH-000341,-0.265027036814
ACH-000348,-0.349906774379
ACH-000350,-0.606450382494
ACH-000352,-0.46293048379600005
ACH-000356,-0.515068885886
ACH-000361,-0.729706970577
ACH-000362,-0.35412048663199996
ACH-000363,-0.419485435952
ACH-000364,-0.45964464391300003
ACH-000365,-0.542170973594
ACH-000366,-0.42464027935599996
ACH-000368,-0.309260437475
ACH-000374,-0.538592286115
ACH-000375,-0.39346178581200003
ACH-000376,-0.517211573383
ACH-000381,-0.351099465537
ACH-000383,-0.333419702659
ACH-000387,-0.387012414712
ACH-000389,-0.8657810892219999
ACH-000390,-0.312021857172
ACH-000393,-0.45310596172
ACH-000395,-0.448933865727
ACH-000397,-0.409680595147
ACH-000401,-0.48035283202600004
ACH-000402,-1.0046696925799998
ACH-000403,-0.385737061271
ACH-000404,-0.5890848104290001
ACH-000406,-0.551564840541
ACH-000407,-0.485358805206
ACH-000408,-0.30916109077
ACH-000410,-0.44391112706600006
ACH-000411,-0.556092507116
ACH-000414,-0.324780798926
ACH-000415,-0.5862917286129999
ACH-000416,-0.556449138774
ACH-000420,-0.441825626111
ACH-000421,-0.330149432716
ACH-000424,-0.48165757849
ACH-000425,-0.513719054151
ACH-000426,-0.459199688662
ACH-000427,-0.506636329674
ACH-000433,-0.269933748662
ACH-000436,-0.289699120834
ACH-000444,-0.508601299159
ACH-000445,-0.649185038126
ACH-000448,-0.39605965192000003
ACH-000450,-0.280028840675
ACH-000452,-0.402882351669
ACH-000454,-0.493393590415
ACH-000458,-0.44508644384999996
ACH-000459,-0.5400312340810001
ACH-000460,-0.414832166569
ACH-000461,-0.518853890173
ACH-000463,-0.532077827796
ACH-000464,-0.673433820835
ACH-000466,-0.5719970816219999
ACH-000467,-0.33656930028800003
ACH-000468,-0.368825227861
ACH-000469,-0.44673824618
ACH-000470,-0.490943659855
ACH-000471,-0.330936301722
ACH-000472,-0.43214688975500004
ACH-000473,-0.243957115302
ACH-000475,-0.48745723289899995
ACH-000476,-0.319346769251
ACH-000477,-0.46068071564499996
ACH-000480,-0.361036371849
ACH-000481,-0.476644099631
ACH-000483,-0.24768133729699998
ACH-000484,-0.5314627696
ACH-000485,-0.39271276880999995
ACH-000486,-0.403974828691
ACH-000487,-0.150166654115
ACH-000488,-0.573182452437
ACH-000490,-0.30055232709199997
ACH-000491,-0.329646251419
ACH-000495,-0.45372922579999997
ACH-000496,-0.491811671708
ACH-000499,-0.282735732498
ACH-000500,-0.297596552901
ACH-000502,-0.456375841975
ACH-000503,-0.253652403024
ACH-000505,-0.587833091008
ACH-000507,-0.626856134411
ACH-000510,-0.394979385693
ACH-000511,-0.686161430456
ACH-000512,-0.845856397176
ACH-000516,-0.385798144382
ACH-000517,-0.547688244387
ACH-000518,-0.503359630578
ACH-000520,-0.519807809352
ACH-000521,-0.46448615417800004
ACH-000522,-0.558569176097
ACH-000524,-0.416152397629
ACH-000527,-0.361363693569
ACH-000528,-0.41451910994400004
ACH-000537,-0.42871378829000006
ACH-000541,-0.554812553712
ACH-000542,-0.49022032947
ACH-000544,-0.283256645946
ACH-000545,-0.412430111205
ACH-000547,-0.462011242308
ACH-000548,-0.47009081325
ACH-000549,-0.702352280017
ACH-000550,-0.861533833143
ACH-000552,-0.256253767545
ACH-000556,-0.34228037663500005
ACH-000557,-0.44269979802500004
