,GATC (283459)
ACH-000004,-0.103129479225
ACH-000007,-0.565705776953
ACH-000009,-0.22993191399000001
ACH-000011,-0.11979732761600001
ACH-000012,-0.36386216054399995
ACH-000013,-0.350755065693
ACH-000014,-0.419545665735
ACH-000015,-0.395920906099
ACH-000017,-0.25929649617600004
ACH-000018,-0.887654557168
ACH-000019,-0.168583595904
ACH-000021,-0.337794993768
ACH-000022,-0.439502178287
ACH-000025,-0.61122568542
ACH-000028,-0.555480119489
ACH-000030,-0.454203071577
ACH-000035,-0.7302507821850001
ACH-000036,0.07693462494219999
ACH-000037,-0.330525576468
ACH-000039,-0.338126659328
ACH-000040,-0.327211479039
ACH-000041,-0.452566954464
ACH-000042,-0.40831200223
ACH-000045,-0.48989060478600005
ACH-000047,-0.44772908560099994
ACH-000052,-0.24121434998100003
ACH-000053,-0.374815069921
ACH-000054,-0.33585880333499996
ACH-000055,-0.535216701482
ACH-000060,-0.520624688503
ACH-000067,-0.514891468477
ACH-000070,-0.282220544393
ACH-000075,-0.38902205017200003
ACH-000078,-0.11305515897900001
ACH-000082,-0.198182847088
ACH-000085,-0.29063145302099996
ACH-000086,-0.30980032440099997
ACH-000087,-0.231547887054
ACH-000092,-0.31705366404
ACH-000095,-0.162930477128
ACH-000097,-0.278506969495
ACH-000098,-0.311678860189
ACH-000099,-0.35088461356899997
ACH-000108,-0.215742120299
ACH-000113,-0.651310845066
ACH-000115,-0.21084212665899998
ACH-000116,-0.210746188147
ACH-000118,-0.677858257163
ACH-000120,-0.48550274493
ACH-000123,-0.475384324915
ACH-000127,-0.456110014489
ACH-000128,-0.301112207056
ACH-000132,-0.43230642912199996
ACH-000133,-0.42817439769
ACH-000137,-0.289438484522
ACH-000138,-0.339690769402
ACH-000142,-0.24789036645399998
ACH-000143,-0.38482446858400005
ACH-000146,-0.303179214815
ACH-000148,-0.600471846747
ACH-000150,-0.778328232769
ACH-000152,-0.25938535235800003
ACH-000153,-0.494022750184
ACH-000159,-0.19178277142
ACH-000160,-0.42676147325400005
ACH-000163,-0.361260467702
ACH-000167,-0.427873750842
ACH-000168,-0.08417749639979999
ACH-000169,-0.352754577925
ACH-000178,-0.475637931003
ACH-000182,-0.582716641649
ACH-000183,-0.589427225272
ACH-000188,-0.243126553918
ACH-000189,-0.8058753028650001
ACH-000190,-0.504128068599
ACH-000198,-0.19923507566100002
ACH-000204,-0.38454183297399996
ACH-000206,-1.0015880292000001
ACH-000207,-0.519649009855
ACH-000211,-0.416509462982
ACH-000215,-0.411432265928
ACH-000221,-0.856857417618
ACH-000222,-0.326397119428
ACH-000223,-0.316607912162
ACH-000226,-0.252677313221
ACH-000227,-0.327468695894
ACH-000228,-0.0380065176337
ACH-000231,-0.38713986460199995
ACH-000232,-0.506487759944
ACH-000233,-0.41790046184199997
ACH-000234,-0.142597344975
ACH-000235,-0.44135340471199996
ACH-000237,-0.14276989082900002
ACH-000238,-0.470564001087
ACH-000243,-0.29044581564599997
ACH-000244,-0.564281299055
ACH-000246,-0.42647761991300004
ACH-000248,-0.42866097949299997
ACH-000250,-0.10855750691199999
ACH-000251,-0.296216066582
ACH-000253,-0.312597194884
ACH-000255,-0.33903150052000003
ACH-000256,-0.24889261283199998
ACH-000257,-0.287948661882
ACH-000258,-0.0945762379444
ACH-000259,-0.624175710951
ACH-000260,-0.226329989399
ACH-000261,-0.320826284558
ACH-000262,-0.28007093111
ACH-000263,-0.433668118494
ACH-000264,-0.398553277068
ACH-000265,-0.537687734542
ACH-000266,-0.329388910797
ACH-000272,-0.281994537653
ACH-000273,-0.327252486388
ACH-000274,-0.264394102241
ACH-000277,-0.30365914932599997
ACH-000278,-0.16278843444399999
ACH-000279,-0.5805496194659999
ACH-000280,-0.49347449270800003
ACH-000281,-0.647698149353
ACH-000288,-0.588948584115
ACH-000291,-0.594791143601
ACH-000293,-0.0629243829746
ACH-000294,-0.289294716696
ACH-000295,-0.47854613921000005
ACH-000296,-0.105901746948
ACH-000302,-0.5199180966070001
ACH-000304,-0.374235511208
ACH-000307,-0.40698761600100003
ACH-000308,-0.362560140224
ACH-000310,-0.0122378755905
ACH-000311,-0.282659375069
ACH-000312,-0.5172577350240001
ACH-000315,-0.659016503308
ACH-000316,-0.480710763598
ACH-000317,-0.812778117198
ACH-000318,-0.336711349141
ACH-000319,-0.202950618857
ACH-000320,-0.40319976916
ACH-000322,-0.460542498084
ACH-000323,-0.345386028487
ACH-000324,-0.390496676396
ACH-000329,-0.47603210823299996
ACH-000330,-0.30689949771499997
ACH-000331,-0.27894802059
ACH-000332,-0.202969680412
ACH-000334,-0.24935544313400002
ACH-000335,-0.365649895371
ACH-000336,-0.41197289599
ACH-000337,-0.0334256953007
ACH-000339,-0.44233129265
ACH-000341,-0.585289992307
ACH-000348,-0.33146229792
ACH-000350,-0.306141236551
ACH-000352,-0.359900695871
ACH-000356,-0.27550491994000004
ACH-000361,-0.230062581054
ACH-000362,-0.242375058428
ACH-000363,-0.422487896213
ACH-000364,-0.463099353529
ACH-000365,-0.44502085366099997
ACH-000366,-0.23204698402100002
ACH-000368,-0.186433294514
ACH-000374,-0.8202742626360001
ACH-000375,-0.31180011469999996
ACH-000376,-0.546599161496
ACH-000381,-0.263794166022
ACH-000383,-0.422389348589
ACH-000387,-0.431414200455
ACH-000389,0.194138973445
ACH-000390,-0.264544786961
ACH-000393,-0.274197777469
ACH-000395,-0.321392745869
ACH-000397,-0.077975979461
