,MRPS18B (28973)
ACH-000004,-0.565226585058
ACH-000007,-0.9100481012270001
ACH-000009,-0.586037387036
ACH-000011,-0.487087943318
ACH-000012,-0.9354749799140001
ACH-000013,-0.905023054957
ACH-000014,-0.598419070004
ACH-000015,-0.804119853812
ACH-000017,-0.0411870300558
ACH-000018,-0.959455978082
ACH-000019,-0.9966227148810001
ACH-000021,-0.487862223122
ACH-000022,-0.700387262642
ACH-000025,-0.583838490693
ACH-000028,-0.885617456673
ACH-000030,-0.6201956870449999
ACH-000035,-1.01976699671
ACH-000036,-0.352393937899
ACH-000037,-0.49714372825900005
ACH-000039,-0.569691622997
ACH-000040,-0.231877513163
ACH-000041,-0.572138984406
ACH-000042,-0.658505129063
ACH-000045,-0.891862364024
ACH-000047,-0.697036166789
ACH-000052,-0.494973024587
ACH-000053,-0.612782426694
ACH-000054,-0.679733590815
ACH-000055,-0.709051011308
ACH-000060,-0.531552023986
ACH-000067,-0.6173042485279999
ACH-000070,-0.772768656532
ACH-000075,-0.422550798336
ACH-000078,-0.7320560580500001
ACH-000082,-0.621720377851
ACH-000085,-0.566901070055
ACH-000086,-0.760665183693
ACH-000087,-0.9420758425700001
ACH-000092,-0.513956781426
ACH-000095,-0.40608784975199996
ACH-000097,-0.714537853291
ACH-000098,-0.546136386254
ACH-000099,-0.5216869297469999
ACH-000108,-0.5596496587950001
ACH-000113,-0.487438649903
ACH-000115,-0.577791088186
ACH-000116,-0.830776068833
ACH-000118,-0.7989295892730001
ACH-000120,-0.5466286142450001
ACH-000123,-0.6791652994320001
ACH-000127,-0.70463683241
ACH-000128,-0.500163721646
ACH-000132,-0.671744701977
ACH-000133,-0.590043854226
ACH-000137,-0.474897363867
ACH-000138,-0.651616231288
ACH-000142,-0.46814139766199997
ACH-000143,-0.721333512552
ACH-000146,-1.00765498022
ACH-000148,-0.60365395092
ACH-000150,-0.8032536818289999
ACH-000152,-0.544883800208
ACH-000153,-1.09249079725
ACH-000159,-0.645348059533
ACH-000160,-0.8918434970229999
ACH-000163,-0.7148659787639999
ACH-000167,-0.772783408591
ACH-000168,-0.403623718652
ACH-000169,-0.645860843532
ACH-000178,-0.8180746461830001
ACH-000182,-1.37338336286
ACH-000183,-0.459658817231
ACH-000188,-0.677402209558
ACH-000189,-0.832757166736
ACH-000190,-1.03901048546
ACH-000198,-0.478175060831
ACH-000204,-0.523630227657
ACH-000206,-0.806866294535
ACH-000207,-0.981433098886
ACH-000211,-0.506511062122
ACH-000215,-0.604907520384
ACH-000221,-0.7377847673450001
ACH-000222,-0.773468700914
ACH-000223,-0.715225979612
ACH-000226,-0.831325494012
ACH-000227,-0.47373950138000004
ACH-000228,-0.80012900341
ACH-000231,-0.579170822449
ACH-000232,-0.615544575264
ACH-000233,-0.651964502291
ACH-000234,-0.5372221689760001
ACH-000235,-0.669324369991
ACH-000237,-0.330485412287
ACH-000238,-0.83476777688
ACH-000243,-0.631048896259
ACH-000244,-0.363340784261
ACH-000246,-0.7202916028640001
ACH-000248,-0.7194561283859999
ACH-000250,-0.440066263376
ACH-000251,-0.550394375531
ACH-000253,-0.507987510898
ACH-000255,-0.610270216858
ACH-000256,-0.685345672389
ACH-000257,-0.531259628789
ACH-000258,-0.289738559071
ACH-000259,-0.895027103167
ACH-000260,-0.538973298842
ACH-000261,-0.5537221391699999
ACH-000262,-0.5307448634309999
ACH-000263,-0.45085471106299996
ACH-000264,-0.611066168887
ACH-000265,-0.8389946293549999
ACH-000266,-0.541531866865
ACH-000272,-0.531838542289
ACH-000273,-0.685680590072
ACH-000274,-0.49380414690499996
ACH-000277,-0.7775001673899999
ACH-000278,-0.271538003531
ACH-000279,-0.6800988265379999
ACH-000280,-0.7578957604530001
ACH-000281,-0.749690355783
ACH-000288,-0.797799104372
ACH-000291,-0.566744141066
ACH-000293,-0.771757557092
ACH-000294,-0.305806970128
ACH-000295,-0.336551107143
ACH-000296,-0.152097713573
ACH-000302,-0.733155713449
ACH-000304,-0.902638393017
ACH-000307,-0.747853304887
ACH-000308,-0.6798924583499999
ACH-000310,-0.445995499506
