,MT1H (4496)
ACH-000004,-0.254363169565
ACH-000007,0.0781996149319
ACH-000009,-0.152965518997
ACH-000011,-0.255900343967
ACH-000012,-0.31263108962499997
ACH-000013,-0.203255195804
ACH-000014,-0.172128780901
ACH-000015,-0.070989639004
ACH-000017,-0.226366283703
ACH-000018,-0.267490757392
ACH-000019,-0.13644431727700002
ACH-000021,-0.35519393379600006
ACH-000022,-0.192694123775
ACH-000025,-0.276165652481
ACH-000028,-0.16899196571800001
ACH-000030,-0.130933513082
ACH-000035,-0.22167819857299997
ACH-000036,-0.147700142458
ACH-000037,-0.211129272568
ACH-000039,-0.50239198715
ACH-000040,-0.34850310706
ACH-000041,-0.17986777894499997
ACH-000042,-0.313878606188
ACH-000045,-0.27702484459000004
ACH-000047,-0.163899775349
ACH-000052,-0.244804967758
ACH-000053,-0.25269471279399996
ACH-000054,-0.158634258049
ACH-000055,-0.503969945762
ACH-000060,-0.0765231472322
ACH-000067,-0.0664231505841
ACH-000070,-0.210462397409
ACH-000075,-0.273869353022
ACH-000078,-0.18837477635299998
ACH-000082,-0.302348105921
ACH-000085,0.015570468147299999
ACH-000086,-0.291712054647
ACH-000087,-0.37587667217
ACH-000092,-0.31798252203899996
ACH-000095,-0.251365847884
ACH-000097,-0.249334075717
ACH-000098,-0.345815500884
ACH-000099,-0.130836125551
ACH-000108,-0.334640720309
ACH-000113,-0.25387713289299996
ACH-000115,-0.0657039883639
ACH-000116,-0.18941474533
ACH-000118,-0.367001175529
ACH-000120,-0.30496782819699997
ACH-000123,-0.187585811043
ACH-000127,-0.465554313988
ACH-000128,-0.423714112011
ACH-000132,-0.327835226522
ACH-000133,-0.09021873970370001
ACH-000137,-0.18141836522500002
ACH-000138,-0.20634183567400002
ACH-000142,-0.17483350506099998
ACH-000143,-0.342836771255
ACH-000146,-0.25218871179900004
ACH-000148,-0.10321617400000001
ACH-000150,-0.319885901596
ACH-000152,-0.17810388407299999
ACH-000153,-0.182278440861
ACH-000159,-0.20547297591699998
ACH-000160,-0.17697633164999999
ACH-000163,-0.29519659367
ACH-000167,-0.294665279318
ACH-000168,-0.21378645640000002
ACH-000169,-0.23701990641800003
ACH-000178,-0.29544034117199997
ACH-000182,-0.199744750927
ACH-000183,-0.40464626207099996
ACH-000188,-0.23977545216899998
