,NSFL1C (55968)
ACH-000004,-0.375383568122
ACH-000007,-0.425359852755
ACH-000009,0.0327991184133
ACH-000011,-0.27943202379
ACH-000012,-0.191223970145
ACH-000013,-0.3245942154
ACH-000014,-0.12390178113
ACH-000015,-0.23027509893800002
ACH-000017,-0.374770324252
ACH-000018,-0.20682953783500002
ACH-000019,-0.132246882501
ACH-000021,0.0700192448687
ACH-000022,-0.304432202231
ACH-000025,-0.302304276583
ACH-000028,-0.205931576129
ACH-000030,-0.14754404423
ACH-000035,-0.245809304416
ACH-000036,-0.4698024719899999
ACH-000037,-0.21597333574000002
ACH-000039,-0.04445487304219999
ACH-000040,-0.37308295807400005
ACH-000041,0.06469732152
ACH-000042,-0.214795891465
ACH-000045,-0.20640935709600003
ACH-000047,-0.240434074263
ACH-000052,-0.07167657142139999
ACH-000053,-0.28375352311
ACH-000054,-0.134391046143
ACH-000055,-0.49140819236500005
ACH-000060,-0.207077227452
ACH-000067,-0.24859305648699997
ACH-000070,-0.34932690804600003
ACH-000075,-0.24169131687399997
ACH-000078,-0.21987245437
ACH-000082,-0.292745597029
ACH-000085,-0.342928748971
ACH-000086,-0.308024371899
ACH-000087,-0.109058114562
ACH-000092,-0.322067942348
ACH-000095,-0.235015844594
ACH-000097,-0.166065565422
ACH-000098,-0.324585383974
ACH-000099,-0.226209309461
ACH-000108,-0.16962445249400002
ACH-000113,-0.24488551889199997
ACH-000115,-0.313891628812
ACH-000116,-0.208005372146
ACH-000118,-0.509649380756
ACH-000120,-0.113302588738
ACH-000123,-0.36704786970799996
ACH-000127,-0.35367534318800004
ACH-000128,-0.4880059359
ACH-000132,-0.43983703606200003
ACH-000133,-0.316175864406
ACH-000137,-0.319230591926
ACH-000138,-0.128555363053
ACH-000142,-0.151966603074
ACH-000143,-0.115361190872
ACH-000146,-0.195195947667
ACH-000148,-0.323078895937
ACH-000150,-0.328812872342
ACH-000152,-0.390448354649
ACH-000153,-0.06498202512519999
ACH-000159,-0.131531609937
ACH-000160,-0.19479774447700002
ACH-000163,-0.142833926206
ACH-000167,-0.497320923136
ACH-000168,-0.304645934996
ACH-000169,-0.190874452771
ACH-000178,-0.383890847197
ACH-000182,-0.158090515018
ACH-000183,-0.14169305651699998
ACH-000188,-0.200590163832
ACH-000189,0.0496148848148
ACH-000190,-0.275710543888
ACH-000198,-0.336563788896
ACH-000204,0.245347537738
ACH-000206,-0.270445568278
ACH-000207,-0.22542704057100002
ACH-000211,-0.434190744053
ACH-000215,-0.31821225390700003
ACH-000221,-0.07762516677289999
ACH-000222,-0.07753255693649999
ACH-000223,-0.255249643008
ACH-000226,-0.11433943009299999
ACH-000227,-0.105621197124
ACH-000228,-0.221747765435
ACH-000231,-0.35070829732000003
ACH-000232,-0.112204196322
ACH-000233,-0.22157712086599998
ACH-000234,-0.387369715331
ACH-000235,-0.22779248721200002
ACH-000237,-0.293700679142
ACH-000238,-0.22209551367199998
ACH-000243,-0.33589830758699996
ACH-000244,-0.19220534735999997
ACH-000246,-0.32759055530299996
ACH-000248,-0.371283062456
ACH-000250,-0.31073930596500005
ACH-000251,-0.35281082956200005
ACH-000253,-0.294795526333
ACH-000255,-0.0516989881934
ACH-000256,-0.24856528305300002
ACH-000257,-0.30917060992199996
ACH-000258,-0.354585442217
ACH-000259,-0.152771007992
ACH-000260,-0.259671282798
ACH-000261,-0.130402382201
ACH-000262,-0.28840426419799997
ACH-000263,-0.382471418164
ACH-000264,-0.209329036148
ACH-000265,-0.066407509117
ACH-000266,-0.253361922817
ACH-000272,-0.311016596199
ACH-000273,-0.356682741969
ACH-000274,-0.30821553276700003
ACH-000277,-0.231773273875
ACH-000278,-0.35581176810099996
ACH-000279,-0.0893003198671
ACH-000280,-0.285588301314
ACH-000281,-0.386375986462
ACH-000288,-0.28830273591999994
ACH-000291,-0.174268377291
ACH-000293,-0.306096631391
ACH-000294,-0.578373400581
ACH-000295,-0.14206486777000002
ACH-000296,-0.09552501638630001
ACH-000302,-0.213630998929
ACH-000304,-0.6078107565850001
ACH-000307,-0.17701960772599998
ACH-000308,-0.40025800486999996
ACH-000310,-0.132530433037
ACH-000311,-0.0579539549373
ACH-000312,0.119863638116
ACH-000315,-0.351157511566
ACH-000316,0.00565651031806
ACH-000317,0.0710399011953
ACH-000318,-0.067061633487
ACH-000319,-0.151327564692
ACH-000320,-0.291623657569
ACH-000322,-0.06076346574969999
ACH-000323,-0.252567234857
ACH-000324,-0.154549765036
ACH-000329,-0.36185672429300003
ACH-000330,-0.17504559646600001
ACH-000331,-0.393342536643
ACH-000332,-0.351716568546
ACH-000334,-0.101646095194
ACH-000335,-0.504744592742
ACH-000336,-0.232617425075
ACH-000337,-0.299612843263
ACH-000339,-0.186614335165
ACH-000341,-0.294654498595
ACH-000348,-0.18049647886700002
ACH-000350,-0.13043116034000002
ACH-000352,-0.18839395511799997
ACH-000356,-0.275526846266
ACH-000361,-0.43391739849699995
ACH-000362,-0.28911407105500003
ACH-000363,-0.429661748755
ACH-000364,-0.159057369309
ACH-000365,-0.0173139899909
ACH-000366,-0.313539878052
ACH-000368,-0.31976263260800003
ACH-000374,-0.252578755805
ACH-000375,-0.0714152210748
ACH-000376,-0.42174629849100004
ACH-000381,-0.326465520535
ACH-000383,-0.057040070678500004
ACH-000387,-0.256886831305
ACH-000389,-0.688626155405
ACH-000390,-0.221075043706
ACH-000393,-0.197276463096
ACH-000395,-0.1481770049
ACH-000397,-0.264426065191
ACH-000401,-0.215022645177
ACH-000402,0.323783378636
ACH-000403,-0.27947854770799996
ACH-000404,-0.5017241643320001
ACH-000406,-0.139401167773
ACH-000407,-0.322394371841
ACH-000408,-0.259106462857
ACH-000410,-0.41896591132600003
ACH-000411,-0.36322171263
ACH-000414,-0.237920115272
ACH-000415,-0.0595220612234
ACH-000416,-0.30001069028
ACH-000420,-0.317744725416
ACH-000421,-0.0933248525495
ACH-000424,-0.307629070379
ACH-000425,-0.438747506909
ACH-000426,-0.555437782443
ACH-000427,-0.48010043088
ACH-000433,-0.24000204706999997
ACH-000436,-0.511272440407
ACH-000444,-0.012880341944799999
ACH-000445,-0.175151121228
ACH-000448,-0.0971221006845
ACH-000450,-0.370641650065
ACH-000452,0.0533557986056
ACH-000454,-0.185640816445
ACH-000458,-0.224119609868
ACH-000459,-0.0937849289277
ACH-000460,-0.224930377113
ACH-000461,-0.19176876506999999
ACH-000463,-0.256530945517
ACH-000464,-0.25670397606999995
ACH-000466,-0.219215165825
ACH-000467,-0.43411671025
ACH-000468,-0.0788187101833
ACH-000469,-0.352956849873
ACH-000470,-0.22215682017299998
ACH-000471,-0.05267997833909999
