,SDAD1 (55153)
ACH-000004,-0.5884404824
ACH-000007,-0.972102020867
ACH-000009,-0.798391577438
ACH-000011,-0.78039475227
ACH-000012,-0.973462668846
ACH-000013,-0.5608950941790001
ACH-000014,-0.628346540632
ACH-000015,-0.68027456653
ACH-000017,-0.7509814374339999
ACH-000018,-0.57437844105
ACH-000019,-0.816791754473
ACH-000021,-0.671935950881
ACH-000022,-0.7514656346649999
ACH-000025,-0.62750164644
ACH-000028,-0.680531197555
ACH-000030,-0.748787350704
ACH-000035,-0.6907492280140001
ACH-000036,-1.1567807294799999
ACH-000037,-1.09738425856
ACH-000039,-0.514467381471
ACH-000040,-0.63369642625
ACH-000041,-0.443732598415
ACH-000042,-0.7124456721979999
ACH-000045,-0.546537316534
ACH-000047,-0.7301484875480001
ACH-000052,-0.8338795691249999
ACH-000053,-0.647342106763
ACH-000054,-1.04154570839
ACH-000055,-0.6732442571520001
ACH-000060,-0.868409408257
ACH-000067,-0.7528153870550001
ACH-000070,-0.7630354666529999
ACH-000075,-0.8124370622229999
ACH-000078,-0.8997992742669999
ACH-000082,-0.721182925966
ACH-000085,-0.609654354215
ACH-000086,-0.9756136149510001
ACH-000087,-1.07590183127
ACH-000092,-0.490112062702
ACH-000095,-0.780668563588
ACH-000097,-0.7362037256209999
ACH-000098,-0.7721778401459999
ACH-000099,-0.559637326851
ACH-000108,-0.739251088862
ACH-000113,-0.427369183406
ACH-000115,-0.45166885569799997
ACH-000116,-0.812597001247
ACH-000118,-0.647137810864
ACH-000120,-0.798719872097
ACH-000123,-0.653406963886
ACH-000127,-0.714678410561
ACH-000128,-1.06455275675
ACH-000132,-0.82571165979
ACH-000133,-0.860773609577
ACH-000137,-0.650927856433
ACH-000138,-0.618588919209
ACH-000142,-0.8107775746729999
ACH-000143,-0.877135529789
ACH-000146,-0.466896892011
ACH-000148,-0.775468831937
ACH-000150,-0.831379382679
ACH-000152,-0.7289371397200001
ACH-000153,-0.741946675292
ACH-000159,-1.0962115370299998
ACH-000160,-0.45762874768
ACH-000163,-0.808143514188
ACH-000167,-0.746341063647
ACH-000168,-0.634994344417
ACH-000169,-0.875047226358
ACH-000178,-0.731732538343
ACH-000182,-0.738821472774
ACH-000183,-0.547838121122
ACH-000188,-0.8296790641339999
ACH-000189,-1.07632545187
ACH-000190,-1.0694820574400001
ACH-000198,-0.560097207433
ACH-000204,-1.03956986794
ACH-000206,-0.575204939379
ACH-000207,-0.6150127175469999
ACH-000211,-0.660845803767
ACH-000215,-0.634800168444
ACH-000221,-0.586280139495
ACH-000222,-0.373549200584
ACH-000223,-0.7772653366500001
ACH-000226,-0.717716478697
ACH-000227,-0.6625907190899999
ACH-000228,-0.56959196236
ACH-000231,-0.7535410379199999
ACH-000232,-0.39205207556999994
ACH-000233,-0.56137156437
ACH-000234,-0.826239556585
ACH-000235,-0.669295231196
ACH-000237,-0.7630902466159999
ACH-000238,-0.75116422943
ACH-000243,-0.710066617752
ACH-000244,-0.62055031319
ACH-000246,-0.698722780285
ACH-000248,-0.6462730854150001
ACH-000250,-0.558588664472
ACH-000251,-0.595001120475
ACH-000253,-0.894346712055
ACH-000255,-0.615817980687
ACH-000256,-0.8103543002179999
ACH-000257,-0.831054930043
ACH-000258,-0.633735975449
ACH-000259,-0.561575503307
ACH-000260,-0.560583743789
ACH-000261,-0.6307852510149999
ACH-000262,-0.6218016448629999
ACH-000263,-0.662631587399
ACH-000264,-0.810228171212
ACH-000265,-0.754545860167
ACH-000266,-0.7209320843699999
ACH-000272,-0.833044892443
ACH-000273,-0.983716243939
ACH-000274,-0.7480578296879999
ACH-000277,-0.8616749210760001
ACH-000278,-0.682205417397
ACH-000279,-0.849179088019
ACH-000280,-0.833437562548
ACH-000281,-0.771543626929
ACH-000288,-0.624017515344
ACH-000291,-0.723516616918
ACH-000293,-0.837374311269
ACH-000294,-0.528321486499
ACH-000295,-0.661650252423
ACH-000296,-0.641410598244
ACH-000302,-0.750714067941
ACH-000304,-0.45204055174400004
ACH-000307,-0.7598726418100001
ACH-000308,-0.664744108159
ACH-000310,-0.835326588033
ACH-000311,-0.9682569243700001
ACH-000312,-0.711409901972
ACH-000315,-0.904372861292
ACH-000316,-0.64910196239
ACH-000317,-0.8024873817470001
ACH-000318,-0.660822153649
ACH-000319,-0.736704994679
ACH-000320,-0.7246045395909999
ACH-000322,-0.72850365038
ACH-000323,-1.02840248465
ACH-000324,-0.823881244819
ACH-000329,-0.547495094655
ACH-000330,-0.544173477398
ACH-000331,-0.705113432816
ACH-000332,-0.7220215761750001
ACH-000334,-0.8492547773260001
ACH-000335,-0.835488751936
ACH-000336,-1.02402112339
ACH-000337,-1.16083721369
ACH-000339,-0.762870594057
ACH-000341,-0.763591068
ACH-000348,-0.666663883085
ACH-000350,-0.632140633799
ACH-000352,-0.681476773319
ACH-000356,-0.778704944709
ACH-000361,-0.9197168209909999
ACH-000362,-0.672440797611
ACH-000363,-0.61360487545
ACH-000364,-0.748501134612
ACH-000365,-0.8384305552789999
ACH-000366,-0.479239022958
ACH-000368,-0.570989885304
ACH-000374,-0.869792292717
ACH-000375,-0.700112941364
ACH-000376,-0.561923621081
ACH-000381,-0.6793342075640001
ACH-000383,-0.7745755710179999
ACH-000387,-0.780199773452
ACH-000389,-0.47601754776
ACH-000390,-0.635069868358
ACH-000393,-0.774177984797
ACH-000395,-0.736417199335
ACH-000397,-0.7770959611589999
ACH-000401,-0.794260592983
ACH-000402,0.304140300037
ACH-000403,-0.8629989472540001
ACH-000404,-0.677141591626
ACH-000406,-0.604210589195
ACH-000407,-0.523225538981
ACH-000408,-0.609770476422
ACH-000410,-0.526193295617
ACH-000411,-0.673212837964
ACH-000414,-0.637085765801
ACH-000415,-0.656147295206
ACH-000416,-0.610637278411
